name,label,concept,predicateType,group,limit,attributes,required
B25004_001E,Estimate!!Total,VACANCY STATUS,int,B25004,0,"B25004_001EA,B25004_001M,B25004_001MA",NA
B25004_002E,Estimate!!Total!!For rent,VACANCY STATUS,int,B25004,0,"B25004_002EA,B25004_002M,B25004_002MA",NA
B25004_003E,"Estimate!!Total!!Rented, not occupied",VACANCY STATUS,int,B25004,0,"B25004_003EA,B25004_003M,B25004_003MA",NA
B25004_004E,Estimate!!Total!!For sale only,VACANCY STATUS,int,B25004,0,"B25004_004EA,B25004_004M,B25004_004MA",NA
B25004_005E,"Estimate!!Total!!Sold, not occupied",VACANCY STATUS,int,B25004,0,"B25004_005EA,B25004_005M,B25004_005MA",NA
B25004_006E,"Estimate!!Total!!For seasonal, recreational, or occasional use",VACANCY STATUS,int,B25004,0,"B25004_006EA,B25004_006M,B25004_006MA",NA
B25004_007E,Estimate!!Total!!For migrant workers,VACANCY STATUS,int,B25004,0,"B25004_007EA,B25004_007M,B25004_007MA",NA
B25004_008E,Estimate!!Total!!Other vacant,VACANCY STATUS,int,B25004,0,"B25004_008EA,B25004_008M,B25004_008MA",NA
