"","state","county","tract","Total_2010","White_2010","American_Indian_2010","Black_2010","B25006_009E","Pacific_Islander_2010","Asian_2010","Two_plus_races_2010","Other_Race_2010","B25006_010E","(White_Percent = White_2010/Total_2010) * 100","(Black_Percent_2010 = Black_2010/Total_2010) * 100","(Indian_Percent_2010 = American_Indian_2010/Total_2010) * 100","(Asian_Percent_2010 = Asian_2010/Total_2010) * 100","*...","(Other_Percent_2010 = Other_Race_2010/Total_2010) * 100"
"1","04","013","010101",1777,1752,0,0,0,0,11,0,14,0,98.5931344963421,0,0,0.619020821609454,0,0.787844682048396
"2","04","013","010102",1845,1729,0,0,13,0,48,68,0,55,93.7127371273713,0,0,2.60162601626016,3.68563685636856,0
"3","04","013","030401",1864,1864,0,0,0,0,0,0,0,0,100,0,0,0,0,0
"4","04","013","030402",1656,1613,10,0,0,0,0,13,20,13,97.4033816425121,0,0.603864734299517,0,0.785024154589372,1.20772946859903
"5","04","013","040502",2435,2205,0,33,0,0,0,71,126,71,90.5544147843943,1.35523613963039,0,0,2.91581108829569,5.17453798767967
"6","04","013","040506",3358,3332,0,0,0,0,0,11,15,11,99.2257296009529,0,0,0,0.327575938058368,0.446694460988684
"7","04","013","040507",4125,4075,9,14,0,0,27,0,0,0,98.7878787878788,0.339393939393939,0.218181818181818,0.654545454545455,0,0
"8","04","013","040512",1080,1049,0,0,0,0,0,31,0,31,97.1296296296296,0,0,0,2.87037037037037,0
"9","04","013","040513",1668,1668,0,0,0,0,0,0,0,0,100,0,0,0,0,0
"10","04","013","040514",1950,1909,0,17,0,0,24,0,0,0,97.8974358974359,0.871794871794872,0,1.23076923076923,0,0
"11","04","013","040515",1818,1692,5,37,0,0,0,0,84,0,93.0693069306931,2.03520352035203,0.275027502750275,0,0,4.62046204620462
"12","04","013","040516",645,602,10,12,17,0,0,17,4,0,93.3333333333333,1.86046511627907,1.55038759689922,0,2.63565891472868,0.62015503875969
"13","04","013","040517",1979,1726,0,0,5,0,40,20,193,15,87.2157655381506,0,0,2.02122283981809,1.01061141990905,9.75240020212228
"14","04","013","040518",2065,1780,0,30,9,34,22,93,106,84,86.1985472154964,1.45278450363196,0,1.06537530266344,4.50363196125908,5.13317191283293
"15","04","013","040519",1135,1080,9,19,0,0,21,0,6,0,95.1541850220264,1.67400881057269,0.79295154185022,1.85022026431718,0,0.52863436123348
"16","04","013","040520",1168,1022,0,70,0,0,35,0,41,0,87.5,5.99315068493151,0,2.99657534246575,0,3.51027397260274
"17","04","013","040521",1052,870,0,93,0,0,42,30,17,30,82.6996197718631,8.84030418250951,0,3.99239543726236,2.85171102661597,1.61596958174905
"18","04","013","040522",2493,2443,0,35,0,0,0,15,0,15,97.9943842759727,1.40393100681909,0,0,0.601684717208183,0
"19","04","013","040523",1644,1603,0,8,0,0,18,15,0,15,97.5060827250608,0.48661800486618,0,1.09489051094891,0.912408759124087,0
"20","04","013","040524",640,640,0,0,0,0,0,0,0,0,100,0,0,0,0,0
"21","04","013","040525",1703,1652,3,27,0,0,8,13,0,13,97.0052847915443,1.58543746330006,0.176159718144451,0.469759248385203,0.763358778625954,0
"22","04","013","040526",1271,1254,0,17,0,0,0,0,0,0,98.6624704956727,1.3375295043273,0,0,0,0
"23","04","013","040527",1716,1573,0,23,5,0,38,18,64,13,91.6666666666667,1.34032634032634,0,2.21445221445221,1.04895104895105,3.72960372960373
"24","04","013","040528",3344,3251,11,24,0,0,33,25,0,25,97.2188995215311,0.717703349282297,0.328947368421053,0.986842105263158,0.747607655502392,0
"25","04","013","040529",1738,1664,12,39,0,0,14,9,0,9,95.7422324510932,2.2439585730725,0.690448791714614,0.805523590333717,0.517836593785961,0
"26","04","013","040530",1219,1082,27,33,0,21,0,18,38,18,88.7612797374898,2.70713699753897,2.2149302707137,0,1.4766201804758,3.11730926989336
"27","04","013","040531",1432,1293,0,28,0,0,15,57,39,57,90.2932960893855,1.95530726256983,0,1.04748603351955,3.9804469273743,2.72346368715084
"28","04","013","050603",1019,890,16,31,0,0,0,17,65,17,87.3405299313052,3.04219823356232,1.57016683022571,0,1.66830225711482,6.37880274779195
"29","04","013","050604",992,883,0,28,14,0,10,14,57,0,89.0120967741936,2.82258064516129,0,1.00806451612903,1.41129032258065,5.74596774193548
"30","04","013","050605",1341,1145,0,70,0,0,96,21,9,21,85.3840417598807,5.2199850857569,0,7.15883668903803,1.56599552572707,0.671140939597315
"31","04","013","050606",2104,1874,0,85,18,0,49,18,78,0,89.0684410646388,4.03992395437262,0,2.32889733840304,0.855513307984791,3.70722433460076
"32","04","013","050607",2009,1646,0,146,18,22,32,35,128,17,81.9313091090094,7.26729716276755,0,1.59283225485316,1.74216027874564,6.37132901941264
"33","04","013","050608",2314,1911,0,203,0,0,34,0,166,0,82.5842696629213,8.77268798617113,0,1.46931719965428,0,7.17372515125324
"34","04","013","050609",1591,1333,18,46,29,0,37,65,92,36,83.7837837837838,2.89126335637964,1.1313639220616,2.32558139534884,4.08548082966688,5.78252671275927
"35","04","013","050610",2042,1698,0,155,0,0,50,12,127,12,83.1537708129285,7.59059745347698,0,2.44857982370225,0.587659157688541,6.21939275220372
"36","04","013","050611",719,583,12,11,0,0,0,7,106,7,81.0848400556328,1.52990264255911,1.66898470097357,0,0.973574408901252,14.7426981919332
"37","04","013","050701",1601,1322,20,52,0,0,14,23,170,23,82.5733916302311,3.24797001873829,1.24921923797626,0.874453466583385,1.4366021236727,10.6183635227983
"38","04","013","050702",1689,1192,62,69,25,32,35,44,255,19,70.5743043220841,4.08525754884547,3.67081113084665,2.07223208999408,2.60509177027827,15.0976909413854
"39","04","013","060801",1713,1281,13,43,36,0,0,36,340,0,74.7810858143608,2.51021599532983,0.758902510215995,0,2.1015761821366,19.8482194979568
"40","04","013","060802",433,331,22,42,0,0,18,0,20,0,76.4434180138568,9.69976905311778,5.08083140877598,4.15704387990762,0,4.6189376443418
"41","04","013","060901",1177,737,10,218,0,0,10,40,162,40,62.6168224299065,18.5216652506372,0.849617672047579,0.849617672047579,3.39847068819031,13.7638062871708
"42","04","013","060902",754,379,0,57,0,0,0,0,318,0,50.2652519893899,7.55968169761273,0,0,0,42.1750663129974
"43","04","013","060903",1215,887,20,92,0,0,0,9,207,9,73.0041152263374,7.57201646090535,1.64609053497942,0,0.740740740740741,17.037037037037
"44","04","013","060904",857,508,12,11,0,0,0,0,326,0,59.2765460910152,1.28354725787631,1.4002333722287,0,0,38.0396732788798
"45","04","013","061009",2005,1605,43,109,24,0,22,54,172,30,80.0498753117207,5.43640897755611,2.14463840399003,1.09725685785536,2.69326683291771,8.5785536159601
