,state,county,tract,Total,White,Black,AmericanIndian_Alaskn,Asian,PacificIsland,Other_Race,Hispanic_Latino
611,4,13,522709,1662,1360,41,12,163,0,56,182
612,4,13,522711,6952,5648,235,32,575,15,264,668
613,4,13,522712,2293,1796,71,61,41,3,259,477
614,4,13,522713,5969,4976,195,36,302,12,246,671
615,4,13,522714,3800,2941,124,25,414,2,199,434
616,4,13,522715,726,487,18,15,3,2,174,253
617,4,13,522716,1358,1196,31,10,61,0,46,116
618,4,13,522717,7827,6783,254,48,376,2,184,597
619,4,13,522718,5738,4680,183,39,321,10,341,699
620,4,13,522719,3651,2871,120,41,61,21,409,850
621,4,13,522720,7017,6276,102,22,412,8,89,399
622,4,13,522721,5051,3917,239,59,459,4,215,542
623,4,13,522722,5377,4403,159,32,479,2,174,521
624,4,13,522723,6083,5050,195,52,320,3,310,721
625,4,13,522724,2958,2566,74,23,68,1,136,351
626,4,13,522725,3312,2743,112,20,250,17,93,342
627,4,13,522726,7113,5693,377,99,397,11,324,899
628,4,13,522727,3113,2677,82,27,81,5,156,380
629,4,13,522729,4401,3401,134,47,91,6,619,958
630,4,13,522730,4814,3977,145,10,366,1,200,478
631,4,13,522731,4878,4105,136,29,250,6,235,642
632,4,13,522732,2371,1869,46,51,101,9,243,494
633,4,13,522735,1994,1892,18,11,23,0,37,105
634,4,13,522736,4729,3981,77,42,65,1,431,1142
635,4,13,522737,2829,2762,16,5,13,3,16,47
636,4,13,522738,2909,2506,68,17,181,1,85,256
637,4,13,522739,3901,3253,86,26,207,6,222,551
638,4,13,522740,4437,3687,160,15,219,4,192,476
639,4,13,522741,3819,3280,154,18,113,7,154,444
640,4,13,522742,3078,2803,46,26,64,0,84,326
641,4,13,522743,6017,5131,155,46,157,0,334,792
642,4,13,522744,3194,2702,73,18,90,6,211,501
643,4,13,522745,4816,4150,48,34,36,8,392,887
644,4,13,522746,2645,2216,1,15,9,1,335,686
645,4,13,522747,3531,2854,28,29,19,2,526,1139
646,4,13,522748,1845,1501,66,23,113,1,82,200
647,4,13,522749,670,607,16,6,6,0,24,80
648,4,13,522757,522,464,4,5,0,0,46,66
649,4,13,522800,1039,759,53,79,18,8,76,129
650,4,13,522901,3672,2974,171,58,109,7,261,569
651,4,13,522902,9209,4663,353,138,169,5,3546,5629
652,4,13,523002,6611,4365,181,127,65,4,1628,3315
653,4,13,523003,6320,4658,216,81,159,6,973,1931
654,4,13,523005,4911,4098,115,47,213,12,255,708
655,4,13,523006,5981,4509,220,74,248,11,710,1302
656,4,13,523102,5595,3059,372,189,100,9,1659,2759
657,4,13,523103,6543,4857,366,134,381,10,529,1006
658,4,13,523104,6456,3249,202,118,144,8,2462,3861
659,4,13,723301,2911,2564,98,18,40,4,91,324
660,4,13,723302,5417,3202,89,558,8,4,1362,2093
661,4,13,940700,143,1,0,142,0,0,0,3
662,4,13,941000,2662,57,4,2497,1,1,42,287
663,4,13,941100,37,2,0,35,0,0,0,20
