,state,county,tract,Total,White,Black,AmericanIndian_Alaskn,Asian,PacificIsland,Other_Race,Hispanic_Latino
322,4,13,111800,3551,3053,160,50,39,2,186,558
323,4,13,111900,2612,2192,68,25,30,1,238,609
324,4,13,112000,1856,1416,45,29,13,0,299,707
325,4,13,112100,4204,2484,50,63,15,12,1421,3589
326,4,13,112201,4734,2568,119,70,11,4,1757,4061
327,4,13,112202,4617,2828,148,50,85,6,1344,3482
328,4,13,112301,5961,2030,250,78,47,4,3281,5031
329,4,13,112302,7744,2622,747,166,193,14,3623,5321
330,4,13,112401,5729,2247,365,117,112,0,2691,4070
331,4,13,112402,5210,2276,345,65,44,10,2250,3892
332,4,13,112502,5325,2222,376,127,54,23,2266,3628
333,4,13,112503,7892,3764,452,132,88,12,3101,5068
334,4,13,112504,3494,1555,339,58,32,11,1309,2395
335,4,13,112505,6867,3643,412,136,39,5,2326,4870
336,4,13,112506,5281,2743,358,119,54,11,1681,3223
337,4,13,112507,2699,1024,314,48,14,10,1147,2029
338,4,13,112508,2074,1298,97,35,25,0,547,1033
339,4,13,112601,3147,1352,182,54,14,3,1406,2527
340,4,13,112602,7382,3748,62,139,9,7,3127,6137
341,4,13,112700,7826,2431,137,133,28,2,4859,7043
342,4,13,112800,1030,769,8,24,2,0,166,732
343,4,13,112900,6255,4461,246,165,30,4,1172,4172
344,4,13,113000,1615,1161,121,134,13,0,147,545
345,4,13,113100,2381,1579,251,145,58,1,271,637
346,4,13,113201,3455,2330,76,93,5,6,803,3091
347,4,13,113202,3308,1914,69,111,4,0,1097,2918
348,4,13,113203,3172,1573,88,109,4,2,1205,2534
349,4,13,113300,6422,4082,450,182,52,3,1432,5098
350,4,13,113400,1073,703,124,44,5,0,182,310
351,4,13,113500,8010,4123,421,202,23,14,2863,6487
352,4,13,113601,2633,1519,128,45,8,5,852,2187
353,4,13,113602,3306,1423,83,112,28,1,1534,2737
354,4,13,113700,6952,3159,636,361,121,22,2257,3851
355,4,13,113800,2319,1136,74,87,32,0,827,1508
356,4,13,113900,1471,826,175,42,8,1,344,1099
357,4,13,114000,2477,1369,385,79,20,5,519,1624
358,4,13,114100,1929,961,408,67,10,1,469,581
359,4,13,114200,2056,785,175,81,7,7,862,1731
360,4,13,114301,1401,716,165,73,6,0,392,757
361,4,13,114302,2829,1249,495,81,24,8,820,2084
362,4,13,114401,2152,738,384,37,13,0,885,1577
363,4,13,114402,2381,1092,151,59,23,3,924,1911
364,4,13,114500,6203,2283,247,107,26,0,3363,4828
365,4,13,114600,2109,749,32,44,10,5,1179,1855
366,4,13,114701,947,267,24,5,0,0,594,853
367,4,13,114702,862,215,55,32,0,0,540,748
368,4,13,114703,6838,3328,624,289,23,1,2486,2997
369,4,13,114800,3216,1091,840,98,13,8,1073,2090
370,4,13,114900,2906,1597,287,89,77,0,748,2259
371,4,13,115000,3229,1135,87,99,2,3,1791,2980
372,4,13,115100,201,79,3,0,0,0,113,180
373,4,13,115200,3113,603,986,63,5,12,1282,1768
374,4,13,115300,2394,1011,503,40,17,0,740,1686
375,4,13,115400,2879,1541,28,45,4,0,1072,2527
376,4,13,115500,3979,2420,195,79,25,3,1114,2954
377,4,13,115600,2672,949,1050,47,13,0,543,1558
378,4,13,115700,5194,3298,263,134,21,10,1285,4388
379,4,13,115801,4532,2925,458,90,9,7,895,3647
380,4,13,115802,2938,1547,96,73,11,0,1117,2381
381,4,13,115900,4118,2102,822,53,3,4,1025,2935
382,4,13,116000,4711,749,2651,55,4,1,1042,1853
383,4,13,116100,3987,889,766,31,8,5,2187,3073
384,4,13,116202,5256,2211,859,152,115,17,1695,2779
385,4,13,116203,2120,1160,381,78,26,4,381,767
386,4,13,116204,3700,1489,505,103,90,36,1244,2002
387,4,13,116205,4270,2679,565,87,74,10,687,1258
388,4,13,116300,6357,1620,2441,95,52,8,1965,3127
389,4,13,116400,4711,1949,627,54,28,0,1880,3485
390,4,13,116500,4786,2541,517,86,20,7,1395,3664
391,4,13,116601,5788,4085,140,130,42,10,1194,2637
392,4,13,116602,3369,1460,409,72,22,1,1222,2695
393,4,13,116702,7436,2933,870,192,24,19,3099,5181
394,4,13,116703,3063,1026,721,64,21,5,1140,1859
395,4,13,116704,5500,2775,1206,110,103,2,1120,1798
396,4,13,116705,3235,2165,154,69,31,9,691,1449
397,4,13,116707,3069,2809,44,30,55,0,83,314
398,4,13,116708,5395,4927,110,41,120,2,115,374
399,4,13,116709,2354,1914,141,27,83,0,114,318
400,4,13,116710,5117,4583,134,15,178,1,104,365
401,4,13,116711,2005,1690,118,10,82,13,40,169
402,4,13,116712,5156,4214,238,71,271,6,189,641
403,4,13,116713,6619,5596,281,22,357,7,198,532
404,4,13,116714,3768,3255,104,29,217,3,81,282
405,4,13,116715,2250,1982,62,23,53,2,79,201
406,4,13,116717,3553,2729,237,50,155,6,232,544
407,4,13,116718,1882,1499,88,36,92,2,109,247
408,4,13,116719,6774,5654,256,48,427,5,215,632
409,4,13,116720,3719,3164,163,21,153,8,137,347
410,4,13,116721,3987,3525,117,19,177,6,79,290
411,4,13,116725,4441,3912,119,25,182,10,88,279
412,4,13,116726,2908,2504,127,19,145,0,35,211
413,4,13,116727,3692,3195,82,16,266,1,45,214
414,4,13,116728,4345,3831,142,10,194,4,87,245
415,4,13,116729,4927,4447,57,2,232,4,77,296
416,4,13,216802,6110,5630,78,43,211,17,69,241
417,4,13,216806,3087,2934,17,7,73,1,26,110
418,4,13,216807,5353,5028,28,10,144,1,54,149
419,4,13,216809,4456,4215,62,15,76,8,21,122
420,4,13,216810,1312,1234,14,1,30,0,15,56
421,4,13,216811,7238,6934,41,22,143,6,25,202
422,4,13,216812,4846,4617,35,7,73,4,36,185
423,4,13,216813,4137,3949,42,2,89,1,14,115
424,4,13,216814,9122,8528,135,52,172,5,106,442
425,4,13,216815,9355,8767,111,21,288,0,53,338
426,4,13,216816,5733,5478,28,8,117,7,29,172
427,4,13,216817,9,9,0,0,0,0,0,0
428,4,13,216818,5976,5711,56,43,49,2,41,184
429,4,13,216819,5583,5407,25,19,50,7,31,140
430,4,13,216820,4116,3952,23,22,22,0,40,149
431,4,13,216821,4593,4441,15,15,59,3,21,145
432,4,13,216822,2516,2403,14,3,46,0,21,74
433,4,13,216823,6419,6080,51,4,145,8,69,254
434,4,13,216824,5523,5121,103,13,128,1,72,239
435,4,13,216825,14658,13698,176,29,417,15,85,434
436,4,13,216826,5117,4846,38,15,120,2,33,180
437,4,13,216827,10969,10120,172,42,328,3,121,541
438,4,13,216828,7696,7385,71,8,122,6,33,160
439,4,13,216829,2356,2257,21,6,29,5,17,75
440,4,13,216901,2831,2711,28,12,31,3,15,122
441,4,13,216902,4030,3811,46,13,43,2,48,257
442,4,13,217001,4287,4117,27,26,45,0,36,141
443,4,13,217002,5708,5376,53,25,77,3,74,335
444,4,13,217101,2827,2608,26,13,42,4,77,231
445,4,13,217102,2801,2605,41,14,40,4,49,217
446,4,13,217201,856,780,23,7,13,2,26,102
447,4,13,217202,6889,6159,128,50,89,7,296,1025
448,4,13,217300,2425,2320,26,6,24,0,23,79
449,4,13,217400,3363,3107,37,39,33,0,87,274
450,4,13,217500,6827,5371,126,86,118,7,892,2093
451,4,13,217600,4673,4098,94,82,101,3,189,533
452,4,13,217700,5222,4826,38,21,76,5,168,416
453,4,13,217800,6293,5603,100,71,78,16,265,702
454,4,13,217900,3833,3543,39,15,77,4,75,295
455,4,13,218000,5614,4776,116,74,70,6,372,793
456,4,13,218100,2037,1728,29,19,56,2,149,366
457,4,13,218200,5825,4486,130,270,57,2,697,1595
458,4,13,218300,4694,4136,131,80,93,4,128,322
459,4,13,318400,4446,3320,66,112,114,3,689,1401
460,4,13,318501,3333,2857,42,46,90,9,191,484
461,4,13,318502,2139,1800,32,30,57,0,170,336
462,4,13,318600,1,1,0,0,0,0,0,0
463,4,13,318700,2693,2315,75,27,68,16,129,187
464,4,13,318800,6239,4283,312,240,273,43,833,1836
465,4,13,318900,6753,5329,194,174,168,27,655,1359
466,4,13,319000,3823,3246,100,55,121,9,163,312
467,4,13,319101,3188,1451,139,57,997,13,361,730
468,4,13,319102,10084,6893,311,282,1067,31,1068,2216
469,4,13,319200,9321,5674,356,372,349,8,2062,3552
470,4,13,319300,1902,1091,35,65,51,14,599,1013
471,4,13,319401,5621,4752,304,59,125,15,221,652
472,4,13,319402,4326,3714,115,63,155,5,181,443
473,4,13,319403,5009,4037,202,115,162,17,318,753
474,4,13,319404,3472,3108,58,16,73,10,128,320
475,4,13,319500,5584,4825,116,58,170,5,239,598
476,4,13,319600,5652,4552,140,101,155,21,484,1004
477,4,13,319702,8382,5605,524,313,381,65,1133,2099
478,4,13,319703,4094,3189,192,95,93,13,398,797
479,4,13,319704,1206,813,44,69,41,23,162,332
480,4,13,319800,7050,5216,400,182,275,33,658,1472
481,4,13,319902,2720,2236,103,45,44,6,218,478
482,4,13,319903,6048,5203,152,41,223,5,245,537
483,4,13,319904,5387,4664,142,43,137,4,271,632
484,4,13,319905,5382,4509,180,68,216,8,242,618
485,4,13,319906,3016,2553,91,13,220,1,70,212
486,4,13,319907,2473,2310,32,5,67,0,32,142
487,4,13,319908,2327,1980,69,25,74,3,89,360
488,4,13,319909,2512,2274,68,10,105,0,33,159
489,4,13,319910,3914,3294,75,18,338,8,74,327
490,4,13,320001,5948,4128,542,167,277,12,541,1128
491,4,13,320002,5228,913,56,2310,7,11,1632,3782
492,4,13,320007,5950,4113,449,194,280,19,670,1417
493,4,13,420101,5037,4744,56,17,68,1,80,253
494,4,13,420102,4326,4010,30,37,13,3,155,485
495,4,13,420103,4254,3761,81,57,14,1,256,566
