GISJOIN,STATE,COUNTY,TRACTA,HousingUnits_1990,HousingUnits_2000,HousingUnits_2010,VacantForSale_1990,ForSalePercent_1990,VacantForSale_2000,ForSalePercent_2000,VacantForSale_2010,ForSalePercent_2010,Forsale_2015,HousingUnits_2015,ForSalePercent_2015
G0400130060903,Arizona,Maricopa County,60903,88.37,617.96,1546.00,1.33,1.51,1.90,0.31,53.00,3.43,0.00,1546.00,0.00
G0400130060904,Arizona,Maricopa County,60904,204.63,428.04,1145.00,2.67,1.30,16.10,3.76,39.00,3.41,63.00,1145.00,5.50
G0400130061009,Arizona,Maricopa County,61009,34.12,32.00,3528.00,0.00,0.00,1.00,3.13,111.00,3.15,13.00,3528.00,0.37
G0400130061010,Arizona,Maricopa County,61010,1432.00,1629.00,2260.00,29.00,2.03,21.00,1.29,77.00,3.41,0.00,2260.00,0.00
G0400130061011,Arizona,Maricopa County,61011,298.70,389.48,1845.00,6.00,2.01,15.00,3.85,61.00,3.31,22.00,1845.00,1.19
G0400130061012,Arizona,Maricopa County,61012,317.00,1698.00,3201.00,4.00,1.26,14.00,0.82,52.00,1.62,26.00,3201.00,0.81
G0400130061013,Arizona,Maricopa County,61013,6.00,7.00,1917.00,0.00,0.00,0.00,0.00,62.00,3.23,0.00,1917.00,0.00
G0400130061014,Arizona,Maricopa County,61014,3.00,4.00,2223.00,0.00,0.00,0.00,0.00,62.00,2.79,0.00,2223.00,0.00
G0400130061015,Arizona,Maricopa County,61015,1.00,1942.00,2003.00,0.00,0.00,70.00,3.60,45.00,2.25,87.00,2003.00,4.34
G0400130061016,Arizona,Maricopa County,61016,28.98,28.95,1505.00,0.00,0.00,0.00,0.00,97.00,6.45,135.00,1505.00,8.97
G0400130061017,Arizona,Maricopa County,61017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,0.00,0.00
G0400130061018,Arizona,Maricopa County,61018,2.88,1550.98,3169.00,0.00,0.00,34.08,2.20,46.00,1.45,58.00,3169.00,1.83
G0400130061019,Arizona,Maricopa County,61019,408.00,672.00,1133.00,7.00,1.72,3.00,0.45,37.00,3.27,38.00,1133.00,3.35
G0400130061020,Arizona,Maricopa County,61020,3.00,113.02,1312.00,0.00,0.00,1.92,1.70,27.00,2.06,150.00,1312.00,11.43
G0400130061021,Arizona,Maricopa County,61021,0.00,0.00,579.00,0.00,0.00,0.00,0.00,34.00,5.87,0.00,579.00,0.00
G0400130061022,Arizona,Maricopa County,61022,22.00,812.00,3390.00,0.00,0.00,41.00,5.05,129.00,3.81,0.00,3390.00,0.00
G0400130061023,Arizona,Maricopa County,61023,216.00,497.00,3309.00,0.00,0.00,3.00,0.60,138.00,4.17,26.00,3309.00,0.79
G0400130061024,Arizona,Maricopa County,61024,64.00,70.00,698.00,1.00,1.56,0.00,0.00,29.00,4.15,65.00,698.00,9.31
G0400130061025,Arizona,Maricopa County,61025,0.00,0.00,2629.00,0.00,0.00,0.00,0.00,120.00,4.56,55.00,2629.00,2.09
G0400130061026,Arizona,Maricopa County,61026,6.00,6.00,1917.00,0.00,0.00,3.00,50.00,59.00,3.08,36.00,1917.00,1.88
G0400130061027,Arizona,Maricopa County,61027,0.00,759.00,2199.00,0.00,0.00,26.00,3.43,53.00,2.41,0.00,2199.00,0.00
G0400130061028,Arizona,Maricopa County,61028,26.00,22.00,1101.00,0.00,0.00,1.00,4.55,18.00,1.63,63.00,1101.00,5.72
G0400130061029,Arizona,Maricopa County,61029,1.54,1067.00,2148.00,0.00,0.00,14.00,1.31,46.00,2.14,13.00,2148.00,0.61
G0400130061030,Arizona,Maricopa County,61030,3.03,7.04,2522.00,0.00,0.00,0.00,0.00,169.00,6.70,43.00,2522.00,1.70
G0400130061031,Arizona,Maricopa County,61031,139.97,179.96,1243.00,0.00,0.00,0.00,0.00,58.00,4.67,38.00,1243.00,3.06
G0400130061032,Arizona,Maricopa County,61032,9.00,7.00,1928.00,0.00,0.00,0.00,0.00,51.00,2.65,10.00,1928.00,0.52
G0400130061033,Arizona,Maricopa County,61033,1.00,313.00,2195.00,0.00,0.00,0.00,0.00,73.00,3.33,0.00,2195.00,0.00
G0400130061034,Arizona,Maricopa County,61034,0.00,0.00,2358.00,0.00,0.00,0.00,0.00,90.00,3.82,0.00,2358.00,0.00
G0400130061035,Arizona,Maricopa County,61035,1.46,16.00,2366.00,0.00,0.00,0.00,0.00,89.00,3.76,62.00,2366.00,2.62
G0400130061036,Arizona,Maricopa County,61036,6.00,9.00,852.00,0.00,0.00,0.00,0.00,63.00,7.39,15.00,852.00,1.76
G0400130061037,Arizona,Maricopa County,61037,0.00,0.00,1444.00,0.00,0.00,0.00,0.00,127.00,8.80,36.00,1444.00,2.49
G0400130061038,Arizona,Maricopa County,61038,2.00,3.00,1550.00,0.00,0.00,0.00,0.00,63.00,4.06,0.00,1550.00,0.00
