GISJOIN,STATE,COUNTY,TRACTA,HousingUnits_1990,HousingUnits_2000,HousingUnits_2010,VacantForSale_1990,ForSalePercent_1990,VacantForSale_2000,ForSalePercent_2000,VacantForSale_2010,ForSalePercent_2010,Forsale_2015,HousingUnits_2015,ForSalePercent_2015
G0400130093104,Arizona,Maricopa County,93104,1601.00,1541.00,1830.00,11.00,0.69,18.00,1.17,27.00,1.48,13.00,1830.00,0.71
G0400130093105,Arizona,Maricopa County,93105,2182.00,2195.00,2234.00,8.00,0.37,14.00,0.64,16.00,0.72,13.00,2234.00,0.58
G0400130093106,Arizona,Maricopa County,93106,1132.00,1141.00,1194.00,22.00,1.94,4.00,0.35,19.00,1.59,260.00,1194.00,21.78
G0400130093200,Arizona,Maricopa County,93200,1449.00,1420.00,1534.00,43.00,2.97,26.00,1.83,53.00,3.46,0.00,1534.00,0.00
G0400130103205,Arizona,Maricopa County,103205,1043.00,1043.00,1045.00,15.00,1.44,4.00,0.38,33.00,3.16,0.00,1045.00,0.00
G0400130103206,Arizona,Maricopa County,103206,940.00,941.00,976.00,19.00,2.02,8.00,0.85,21.00,2.15,42.00,976.00,4.30
G0400130103207,Arizona,Maricopa County,103207,958.00,950.00,941.00,23.00,2.40,9.00,0.95,15.00,1.59,15.00,941.00,1.59
G0400130103208,Arizona,Maricopa County,103208,1961.00,1971.00,2687.00,53.00,2.70,9.00,0.46,85.00,3.16,78.00,2687.00,2.90
G0400130103209,Arizona,Maricopa County,103209,1964.94,2698.00,2545.00,54.00,2.75,19.00,0.70,95.00,3.73,23.00,2545.00,0.90
G0400130103210,Arizona,Maricopa County,103210,2942.00,3493.00,3496.00,37.00,1.26,5.00,0.14,41.00,1.17,0.00,3496.00,0.00
G0400130103211,Arizona,Maricopa County,103211,1561.00,1789.00,1800.00,36.00,2.31,7.00,0.39,33.00,1.83,127.00,1800.00,7.06
G0400130103212,Arizona,Maricopa County,103212,1435.00,1656.00,1681.00,38.00,2.65,5.00,0.30,31.00,1.84,0.00,1681.00,0.00
G0400130103214,Arizona,Maricopa County,103214,1280.00,1530.00,1537.00,41.00,3.20,7.00,0.46,29.00,1.89,20.00,1537.00,1.30
G0400130103215,Arizona,Maricopa County,103215,918.00,995.00,1009.00,13.00,1.42,11.00,1.11,19.00,1.88,0.00,1009.00,0.00
G0400130103216,Arizona,Maricopa County,103216,1873.00,2104.00,2229.00,47.00,2.51,14.00,0.67,36.00,1.62,0.00,2229.00,0.00
G0400130103217,Arizona,Maricopa County,103217,1889.00,2612.00,2738.00,57.00,3.02,7.00,0.27,39.00,1.42,0.00,2738.00,0.00
G0400130103219,Arizona,Maricopa County,103219,832.00,1568.00,1798.00,17.00,2.04,25.00,1.59,64.00,3.56,24.00,1798.00,1.33
G0400130103220,Arizona,Maricopa County,103220,285.00,1731.00,1734.00,11.00,3.86,6.00,0.35,20.00,1.15,55.00,1734.00,3.17
G0400130103302,Arizona,Maricopa County,103302,2675.39,2507.40,2506.00,48.02,1.79,18.00,0.72,67.00,2.67,0.00,2506.00,0.00
G0400130103303,Arizona,Maricopa County,103303,1419.00,1685.00,1730.00,41.00,2.89,30.00,1.78,47.00,2.72,116.00,1730.00,6.71
G0400130103304,Arizona,Maricopa County,103304,1618.00,1641.00,1942.00,13.00,0.80,8.00,0.49,47.00,2.42,17.00,1942.00,0.88
G0400130103305,Arizona,Maricopa County,103305,1190.56,1205.00,1182.00,25.00,2.10,10.00,0.83,34.00,2.88,87.00,1182.00,7.36
G0400130103306,Arizona,Maricopa County,103306,1353.07,1357.00,1494.00,38.99,2.88,8.00,0.59,24.00,1.61,0.00,1494.00,0.00
G0400130103400,Arizona,Maricopa County,103400,2025.61,1828.60,1842.00,46.98,2.32,18.00,0.98,41.00,2.23,17.00,1842.00,0.92
G0400130103501,Arizona,Maricopa County,103501,881.77,1172.00,1254.00,21.84,2.48,10.00,0.85,14.00,1.12,93.00,1254.00,7.42
G0400130103502,Arizona,Maricopa County,103502,1990.60,2556.00,2619.00,41.17,2.07,11.00,0.43,70.00,2.67,0.00,2619.00,0.00
G0400130103604,Arizona,Maricopa County,103604,1826.00,2067.00,1980.00,23.00,1.26,99.00,4.79,24.00,1.21,29.00,1980.00,1.46
G0400130103605,Arizona,Maricopa County,103605,2383.00,2525.00,2546.00,55.00,2.31,23.00,0.91,48.00,1.89,0.00,2546.00,0.00
G0400130103606,Arizona,Maricopa County,103606,1293.00,1721.00,1846.00,49.00,3.79,24.00,1.39,43.00,2.33,40.00,1846.00,2.17
G0400130103607,Arizona,Maricopa County,103607,1253.37,1832.00,1868.00,46.05,3.67,21.00,1.15,38.00,2.03,29.00,1868.00,1.55
G0400130103608,Arizona,Maricopa County,103608,891.00,1092.00,1586.00,10.00,1.12,9.00,0.82,49.00,3.09,20.00,1586.00,1.26
G0400130103609,Arizona,Maricopa County,103609,2461.00,2606.00,2533.00,17.00,0.69,8.00,0.31,12.00,0.47,0.00,2533.00,0.00
G0400130103611,Arizona,Maricopa County,103611,1530.63,1857.00,2365.00,53.95,3.52,12.00,0.65,38.00,1.61,108.00,2365.00,4.57
G0400130103612,Arizona,Maricopa County,103612,1301.00,2401.00,2463.00,31.00,2.38,9.00,0.37,20.00,0.81,0.00,2463.00,0.00
G0400130103614,Arizona,Maricopa County,103614,1234.35,1248.00,1252.00,20.13,1.63,12.00,0.96,31.00,2.48,13.00,1252.00,1.04
G0400130103615,Arizona,Maricopa County,103615,1806.90,1823.00,1938.00,27.29,1.51,48.00,2.63,16.00,0.83,63.00,1938.00,3.25
G0400130103701,Arizona,Maricopa County,103701,1672.00,2368.00,2558.00,16.00,0.96,27.00,1.14,87.00,3.40,0.00,2558.00,0.00
G0400130103702,Arizona,Maricopa County,103702,1261.00,1533.00,1731.00,36.00,2.85,16.00,1.04,29.00,1.68,0.00,1731.00,0.00
G0400130103900,Arizona,Maricopa County,103900,2368.00,2408.00,2418.00,33.00,1.39,27.00,1.12,38.00,1.57,51.00,2418.00,2.11
G0400130104000,Arizona,Maricopa County,104000,2321.00,2724.00,2831.00,20.00,0.86,11.00,0.40,66.00,2.33,12.00,2831.00,0.42
G0400130104100,Arizona,Maricopa County,104100,2671.00,2471.00,2625.00,44.00,1.65,19.00,0.77,69.00,2.63,0.00,2625.00,0.00
G0400130104202,Arizona,Maricopa County,104202,1819.00,1882.00,1882.00,52.00,2.86,17.00,0.90,45.00,2.39,0.00,1882.00,0.00
G0400130104203,Arizona,Maricopa County,104203,2393.00,2385.00,2379.00,29.00,1.21,14.00,0.59,51.00,2.14,0.00,2379.00,0.00
G0400130104204,Arizona,Maricopa County,104204,1121.00,1124.00,1126.00,33.00,2.94,3.00,0.27,34.00,3.02,50.00,1126.00,4.44
G0400130104205,Arizona,Maricopa County,104205,2516.06,2404.06,2603.00,30.00,1.19,12.00,0.50,48.00,1.84,150.00,2603.00,5.76
G0400130104206,Arizona,Maricopa County,104206,1445.00,1488.00,1474.00,21.00,1.45,6.00,0.40,41.00,2.78,44.00,1474.00,2.99
G0400130104207,Arizona,Maricopa County,104207,1887.00,1790.00,1925.00,21.00,1.11,4.00,0.22,36.00,1.87,0.00,1925.00,0.00
G0400130104212,Arizona,Maricopa County,104212,1988.00,2318.00,2321.00,37.00,1.86,12.00,0.52,28.00,1.21,0.00,2321.00,0.00
G0400130104214,Arizona,Maricopa County,104214,763.00,856.00,768.00,18.00,2.36,3.00,0.35,9.00,1.17,0.00,768.00,0.00
G0400130104215,Arizona,Maricopa County,104215,1680.00,1737.00,1727.00,37.00,2.20,11.00,0.63,28.00,1.62,16.00,1727.00,0.93
G0400130104216,Arizona,Maricopa County,104216,1869.00,2015.00,2040.00,21.00,1.12,3.00,0.15,20.00,0.98,40.00,2040.00,1.96
G0400130104217,Arizona,Maricopa County,104217,2099.00,2073.00,2059.00,40.00,1.91,12.00,0.58,35.00,1.70,0.00,2059.00,0.00
G0400130104218,Arizona,Maricopa County,104218,1192.00,1621.00,1640.00,33.00,2.77,4.00,0.25,27.00,1.65,0.00,1640.00,0.00
G0400130104219,Arizona,Maricopa County,104219,1034.00,1034.00,1026.00,13.00,1.26,3.00,0.29,25.00,2.44,11.00,1026.00,1.07
G0400130104221,Arizona,Maricopa County,104221,1982.00,2008.00,2145.00,57.00,2.88,6.00,0.30,76.00,3.54,0.00,2145.00,0.00
G0400130104222,Arizona,Maricopa County,104222,1682.00,2042.00,2268.00,43.00,2.56,8.00,0.39,43.00,1.90,37.00,2268.00,1.63
G0400130104223,Arizona,Maricopa County,104223,564.73,588.00,644.00,7.00,1.24,0.00,0.00,4.00,0.62,68.00,644.00,10.56
G0400130104224,Arizona,Maricopa County,104224,1832.27,2530.00,2553.00,31.00,1.69,26.00,1.03,24.00,0.94,0.00,2553.00,0.00
G0400130104225,Arizona,Maricopa County,104225,1154.00,1391.00,1398.00,13.00,1.13,9.00,0.65,27.00,1.93,0.00,1398.00,0.00
G0400130104226,Arizona,Maricopa County,104226,1456.00,1521.00,1914.00,26.00,1.79,9.00,0.59,31.00,1.62,0.00,1914.00,0.00
G0400130104227,Arizona,Maricopa County,104227,845.00,830.00,842.00,12.00,1.42,4.00,0.48,11.00,1.31,0.00,842.00,0.00
G0400130104301,Arizona,Maricopa County,104301,1263.00,1259.00,1269.00,27.00,2.14,11.00,0.87,46.00,3.62,83.00,1269.00,6.54
G0400130104302,Arizona,Maricopa County,104302,2205.00,2190.00,2201.00,29.00,1.32,16.00,0.73,34.00,1.54,0.00,2201.00,0.00
G0400130104401,Arizona,Maricopa County,104401,2288.00,2362.00,2374.00,22.00,0.96,8.00,0.34,39.00,1.64,58.00,2374.00,2.44
G0400130104402,Arizona,Maricopa County,104402,571.00,1230.00,1370.00,18.00,3.15,0.00,0.00,19.00,1.39,0.00,1370.00,0.00
G0400130104501,Arizona,Maricopa County,104501,1545.00,1527.00,1560.00,23.00,1.49,3.00,0.20,27.00,1.73,28.00,1560.00,1.79
G0400130104502,Arizona,Maricopa County,104502,1697.00,1563.00,1721.00,19.00,1.12,11.00,0.70,27.00,1.57,150.00,1721.00,8.72
G0400130104600,Arizona,Maricopa County,104600,1882.76,1860.00,1970.00,18.58,0.99,10.00,0.54,19.00,0.96,0.00,1970.00,0.00
G0400130104701,Arizona,Maricopa County,104701,1462.00,1732.00,1699.00,46.00,3.15,29.00,1.67,44.00,2.59,0.00,1699.00,0.00
G0400130104702,Arizona,Maricopa County,104702,2088.00,2063.99,2110.00,17.00,0.81,26.00,1.26,34.00,1.61,0.00,2110.00,0.00
G0400130104801,Arizona,Maricopa County,104801,1565.00,1602.00,1645.00,39.00,2.49,7.00,0.44,31.00,1.88,0.00,1645.00,0.00
G0400130104802,Arizona,Maricopa County,104802,2739.00,2835.00,2776.00,60.00,2.19,16.00,0.56,32.00,1.15,0.00,2776.00,0.00
G0400130104900,Arizona,Maricopa County,104900,1744.00,1665.00,1672.00,42.00,2.41,5.00,0.30,38.00,2.27,13.00,1672.00,0.78
G0400130105002,Arizona,Maricopa County,105002,1209.55,1286.34,1290.00,49.12,4.06,31.00,2.41,66.00,5.12,51.00,1290.00,3.95
G0400130105003,Arizona,Maricopa County,105003,1424.16,1741.14,1763.00,39.08,2.74,29.00,1.67,55.00,3.12,35.00,1763.00,1.99
G0400130105004,Arizona,Maricopa County,105004,1258.84,1384.86,1470.00,52.92,4.20,26.00,1.88,59.00,4.01,0.00,1470.00,0.00
G0400130105101,Arizona,Maricopa County,105101,1758.40,1799.00,1795.00,48.97,2.78,7.00,0.39,32.00,1.78,0.00,1795.00,0.00
G0400130105102,Arizona,Maricopa County,105102,1899.00,2483.00,2562.00,41.00,2.16,25.00,1.01,75.00,2.93,110.00,2562.00,4.29
G0400130105103,Arizona,Maricopa County,105103,1227.60,1331.00,1386.00,34.03,2.77,26.00,1.95,43.00,3.10,38.00,1386.00,2.74
G0400130105200,Arizona,Maricopa County,105200,2674.00,2978.01,3019.00,57.00,2.13,20.00,0.67,54.00,1.79,13.00,3019.00,0.43
G0400130105300,Arizona,Maricopa County,105300,2564.00,2489.00,2518.00,42.00,1.64,13.00,0.52,54.00,2.14,0.00,2518.00,0.00
G0400130105400,Arizona,Maricopa County,105400,1501.00,1533.00,1536.00,26.00,1.73,10.00,0.65,33.00,2.15,0.00,1536.00,0.00
G0400130105501,Arizona,Maricopa County,105501,989.00,1049.00,1047.00,11.00,1.11,3.00,0.29,14.00,1.34,0.00,1047.00,0.00
G0400130105502,Arizona,Maricopa County,105502,994.00,1029.00,1027.00,0.00,0.00,4.00,0.39,0.00,0.00,24.00,1027.00,2.34
G0400130105503,Arizona,Maricopa County,105503,1974.00,1983.00,2054.00,15.00,0.76,5.00,0.25,8.00,0.39,0.00,2054.00,0.00
G0400130105601,Arizona,Maricopa County,105601,1221.94,1219.94,1229.00,19.00,1.55,16.00,1.31,26.00,2.12,0.00,1229.00,0.00
G0400130105602,Arizona,Maricopa County,105602,2426.00,2456.00,2510.00,36.00,1.48,4.00,0.16,41.00,1.63,18.00,2510.00,0.72
G0400130105701,Arizona,Maricopa County,105701,1229.00,1225.00,1227.00,21.00,1.71,8.00,0.65,23.00,1.87,0.00,1227.00,0.00
G0400130105702,Arizona,Maricopa County,105702,1443.00,1447.00,1448.00,24.00,1.66,10.00,0.69,45.00,3.11,0.00,1448.00,0.00
G0400130105800,Arizona,Maricopa County,105800,2108.00,2172.00,2166.00,17.00,0.81,9.00,0.41,62.00,2.86,107.00,2166.00,4.94
G0400130105900,Arizona,Maricopa County,105900,1996.00,2219.00,2253.00,62.00,3.11,15.00,0.68,23.00,1.02,17.00,2253.00,0.75
G0400130106001,Arizona,Maricopa County,106001,629.00,662.00,668.00,16.00,2.54,4.00,0.60,8.00,1.20,0.00,668.00,0.00
G0400130106002,Arizona,Maricopa County,106002,1049.00,1099.00,1169.00,26.00,2.48,5.00,0.45,25.00,2.14,0.00,1169.00,0.00
G0400130106003,Arizona,Maricopa County,106003,1373.00,1369.00,1405.00,10.00,0.73,5.00,0.37,16.00,1.14,24.00,1405.00,1.71
G0400130106100,Arizona,Maricopa County,106100,2080.00,2466.00,2856.00,25.00,1.20,21.00,0.85,23.00,0.81,82.00,2856.00,2.87
G0400130106200,Arizona,Maricopa County,106200,1223.00,1311.00,1341.00,21.00,1.72,10.00,0.76,15.00,1.12,0.00,1341.00,0.00
G0400130106300,Arizona,Maricopa County,106300,2185.00,2604.00,2752.00,26.00,1.19,14.00,0.54,17.00,0.62,0.00,2752.00,0.00
G0400130106400,Arizona,Maricopa County,106400,1603.00,1557.00,1493.00,20.00,1.25,11.00,0.71,20.00,1.34,38.00,1493.00,2.55
G0400130106501,Arizona,Maricopa County,106501,1654.00,1729.00,1671.00,44.00,2.66,6.00,0.35,17.00,1.02,46.00,1671.00,2.75
G0400130106502,Arizona,Maricopa County,106502,2091.00,2115.00,2113.00,30.00,1.43,41.00,1.94,37.00,1.75,11.00,2113.00,0.52
G0400130106600,Arizona,Maricopa County,106600,1735.00,1740.00,1769.00,25.00,1.44,18.00,1.03,37.00,2.09,0.00,1769.00,0.00
G0400130106701,Arizona,Maricopa County,106701,1737.00,1741.00,2057.00,20.00,1.15,3.00,0.17,23.00,1.12,62.00,2057.00,3.01
G0400130106702,Arizona,Maricopa County,106702,644.00,639.00,649.00,8.00,1.24,9.00,1.41,35.00,5.39,7.00,649.00,1.08
G0400130106703,Arizona,Maricopa County,106703,920.00,935.00,974.00,27.00,2.93,10.00,1.07,23.00,2.36,37.00,974.00,3.80
G0400130106801,Arizona,Maricopa County,106801,2159.00,2142.00,2136.00,15.00,0.69,7.00,0.33,25.00,1.17,62.00,2136.00,2.90
G0400130106802,Arizona,Maricopa County,106802,1532.00,1524.00,1535.00,17.00,1.11,8.00,0.52,68.00,4.43,0.00,1535.00,0.00
G0400130106900,Arizona,Maricopa County,106900,2170.00,2212.00,2297.00,30.00,1.38,18.00,0.81,72.00,3.13,14.00,2297.00,0.61
G0400130107000,Arizona,Maricopa County,107000,2681.00,2711.00,2732.00,34.00,1.27,17.00,0.63,71.00,2.60,0.00,2732.00,0.00
G0400130107101,Arizona,Maricopa County,107101,1240.00,1247.00,1241.00,28.00,2.26,7.00,0.56,30.00,2.42,0.00,1241.00,0.00
G0400130107102,Arizona,Maricopa County,107102,1649.00,1754.00,1830.00,35.00,2.12,26.00,1.48,35.00,1.91,0.00,1830.00,0.00
G0400130107201,Arizona,Maricopa County,107201,1584.00,1529.00,1548.00,29.00,1.83,5.00,0.33,26.00,1.68,0.00,1548.00,0.00
G0400130107202,Arizona,Maricopa County,107202,1407.00,1401.00,1400.00,29.00,2.06,17.00,1.21,35.00,2.50,10.00,1400.00,0.71
G0400130107300,Arizona,Maricopa County,107300,2412.00,2333.00,2354.00,41.00,1.70,26.00,1.11,68.00,2.89,0.00,2354.00,0.00
G0400130107400,Arizona,Maricopa County,107400,2997.00,3024.00,3235.00,28.00,0.93,17.00,0.56,71.00,2.19,0.00,3235.00,0.00
G0400130107500,Arizona,Maricopa County,107500,1860.00,1852.00,1848.00,51.00,2.74,15.00,0.81,34.00,1.84,0.00,1848.00,0.00
G0400130107601,Arizona,Maricopa County,107601,1936.00,2081.00,1930.00,33.00,1.70,15.00,0.72,30.00,1.55,0.00,1930.00,0.00
G0400130107602,Arizona,Maricopa County,107602,1393.00,1440.00,1442.00,15.00,1.08,12.00,0.83,19.00,1.32,0.00,1442.00,0.00
G0400130107700,Arizona,Maricopa County,107700,1898.00,1905.00,2225.00,11.00,0.58,45.00,2.36,54.00,2.43,0.00,2225.00,0.00
G0400130107800,Arizona,Maricopa County,107800,1563.00,1849.00,1950.00,61.00,3.90,56.00,3.03,83.00,4.26,17.00,1950.00,0.87
G0400130107900,Arizona,Maricopa County,107900,1974.45,1981.66,1992.00,43.88,2.22,6.00,0.30,31.00,1.56,19.00,1992.00,0.95
G0400130108000,Arizona,Maricopa County,108000,1178.17,1198.17,1219.00,25.00,2.12,8.00,0.67,19.00,1.56,94.00,1219.00,7.71
G0400130108100,Arizona,Maricopa County,108100,917.00,896.00,902.00,20.00,2.18,18.00,2.01,17.00,1.88,0.00,902.00,0.00
G0400130108200,Arizona,Maricopa County,108200,1442.00,1654.00,1641.00,24.00,1.66,12.00,0.73,28.00,1.71,16.00,1641.00,0.98
G0400130108301,Arizona,Maricopa County,108301,1786.00,1818.00,1858.00,17.00,0.95,16.00,0.88,45.00,2.42,26.00,1858.00,1.40
G0400130108302,Arizona,Maricopa County,108302,1624.00,1625.00,1620.00,25.00,1.54,9.00,0.55,29.00,1.79,29.00,1620.00,1.79
G0400130108400,Arizona,Maricopa County,108400,2755.00,2880.00,3136.00,29.00,1.05,48.00,1.67,81.00,2.58,0.00,3136.00,0.00
G0400130108501,Arizona,Maricopa County,108501,866.00,1167.00,1179.00,23.00,2.66,2.00,0.17,33.00,2.80,0.00,1179.00,0.00
G0400130108502,Arizona,Maricopa County,108502,1703.00,1990.00,2469.00,66.00,3.88,45.00,2.26,92.00,3.73,29.00,2469.00,1.17
G0400130108601,Arizona,Maricopa County,108601,1373.00,1305.00,1403.00,6.00,0.44,18.00,1.38,43.00,3.06,27.00,1403.00,1.92
G0400130108602,Arizona,Maricopa County,108602,2152.00,2138.00,2679.00,34.00,1.58,7.00,0.33,34.00,1.27,24.00,2679.00,0.90
G0400130108802,Arizona,Maricopa County,108802,1636.00,1717.00,1138.00,17.00,1.04,5.00,0.29,28.00,2.46,20.00,1138.00,1.76
G0400130108901,Arizona,Maricopa County,108901,1373.00,1377.00,1373.00,12.00,0.87,6.00,0.44,24.00,1.75,106.00,1373.00,7.72
G0400130108902,Arizona,Maricopa County,108902,2373.00,2368.00,2081.00,42.00,1.77,8.00,0.34,46.00,2.21,32.00,2081.00,1.54
G0400130109001,Arizona,Maricopa County,109001,1720.00,1777.00,1750.00,14.00,0.81,2.00,0.11,16.00,0.91,46.00,1750.00,2.63
G0400130109002,Arizona,Maricopa County,109002,1784.00,1735.00,1738.00,16.00,0.90,12.00,0.69,11.00,0.63,0.00,1738.00,0.00
G0400130109003,Arizona,Maricopa County,109003,2009.00,2007.00,2006.00,15.00,0.75,7.00,0.35,16.00,0.80,26.00,2006.00,1.30
G0400130109101,Arizona,Maricopa County,109101,894.00,893.00,913.00,18.00,2.01,10.00,1.12,10.00,1.10,84.00,913.00,9.20
G0400130109102,Arizona,Maricopa County,109102,1710.00,1722.00,1724.00,35.00,2.05,19.00,1.10,31.00,1.80,18.00,1724.00,1.04
G0400130109200,Arizona,Maricopa County,109200,1724.00,1683.00,1703.00,11.00,0.64,4.00,0.24,13.00,0.76,8.00,1703.00,0.47
G0400130109300,Arizona,Maricopa County,109300,1146.00,1147.00,1153.00,33.00,2.88,4.00,0.35,23.00,1.99,26.00,1153.00,2.25
G0400130109400,Arizona,Maricopa County,109400,2601.00,2594.00,2596.00,80.00,3.08,17.00,0.66,68.00,2.62,0.00,2596.00,0.00
G0400130109500,Arizona,Maricopa County,109500,1321.00,1371.00,1405.00,50.00,3.79,9.00,0.66,57.00,4.06,8.00,1405.00,0.57
G0400130109601,Arizona,Maricopa County,109601,1409.00,1408.00,1411.00,36.00,2.56,14.00,0.99,35.00,2.48,0.00,1411.00,0.00
G0400130109602,Arizona,Maricopa County,109602,1751.00,1712.00,1815.00,39.00,2.23,8.00,0.47,37.00,2.04,0.00,1815.00,0.00
G0400130109603,Arizona,Maricopa County,109603,1252.00,1243.00,1247.00,34.00,2.72,10.00,0.80,28.00,2.25,0.00,1247.00,0.00
G0400130109604,Arizona,Maricopa County,109604,1106.00,1115.00,1057.00,42.00,3.80,9.00,0.81,46.00,4.35,24.00,1057.00,2.27
G0400130109701,Arizona,Maricopa County,109701,2243.00,2290.00,2649.00,82.00,3.66,15.00,0.66,17.00,0.64,90.00,2649.00,3.40
G0400130109702,Arizona,Maricopa County,109702,1320.00,1300.06,1308.00,24.00,1.82,3.00,0.23,11.00,0.84,0.00,1308.00,0.00
G0400130109703,Arizona,Maricopa County,109703,798.00,794.00,886.00,16.00,2.01,4.00,0.50,20.00,2.26,0.00,886.00,0.00
G0400130109704,Arizona,Maricopa County,109704,612.00,613.00,612.00,10.00,1.63,7.00,1.14,7.00,1.14,19.00,612.00,3.10
G0400130109705,Arizona,Maricopa County,109705,493.00,493.00,492.00,13.00,2.64,0.00,0.00,3.00,0.61,48.00,492.00,9.76
G0400130109801,Arizona,Maricopa County,109801,1125.00,1069.00,1107.00,40.00,3.56,7.00,0.65,11.00,0.99,0.00,1107.00,0.00
G0400130109802,Arizona,Maricopa County,109802,1197.00,1188.00,1199.00,17.00,1.42,2.00,0.17,48.00,4.00,0.00,1199.00,0.00
G0400130109900,Arizona,Maricopa County,109900,1748.00,1744.00,1954.00,37.00,2.12,8.00,0.46,28.00,1.43,0.00,1954.00,0.00
G0400130110001,Arizona,Maricopa County,110001,1049.00,1047.00,1076.00,31.00,2.96,7.00,0.67,25.00,2.32,24.00,1076.00,2.23
G0400130110002,Arizona,Maricopa County,110002,1261.00,1258.00,1273.00,23.00,1.82,36.00,2.86,21.00,1.65,25.00,1273.00,1.96
G0400130110100,Arizona,Maricopa County,110100,2002.00,1979.00,1988.00,26.00,1.30,2.00,0.10,19.00,0.96,0.00,1988.00,0.00
G0400130110400,Arizona,Maricopa County,110400,2595.00,2490.00,2478.00,64.00,2.47,22.00,0.88,41.00,1.65,46.00,2478.00,1.86
G0400130110501,Arizona,Maricopa County,110501,1348.00,1793.00,2191.00,9.00,0.67,14.00,0.78,138.00,6.30,18.00,2191.00,0.82
G0400130110502,Arizona,Maricopa County,110502,1031.00,1584.00,1676.00,10.00,0.97,7.00,0.44,182.00,10.86,18.00,1676.00,1.07
G0400130110600,Arizona,Maricopa County,110600,2421.00,2562.00,2649.00,85.00,3.51,14.00,0.55,51.00,1.93,0.00,2649.00,0.00
G0400130110701,Arizona,Maricopa County,110701,1012.00,963.00,1324.00,11.00,1.09,11.00,1.14,37.00,2.79,0.00,1324.00,0.00
G0400130110702,Arizona,Maricopa County,110702,1579.00,1572.00,1610.00,12.00,0.76,12.00,0.76,36.00,2.24,53.00,1610.00,3.29
G0400130110801,Arizona,Maricopa County,110801,2525.00,2545.00,2535.00,25.00,0.99,6.00,0.24,54.00,2.13,0.00,2535.00,0.00
G0400130110802,Arizona,Maricopa County,110802,1088.00,1093.00,1112.00,25.00,2.30,15.00,1.37,29.00,2.61,37.00,1112.00,3.33
G0400130110901,Arizona,Maricopa County,110901,1663.00,1634.00,1751.00,17.00,1.02,8.00,0.49,31.00,1.77,0.00,1751.00,0.00
G0400130110902,Arizona,Maricopa County,110902,2172.00,2128.00,2216.00,18.00,0.83,14.00,0.66,40.00,1.81,53.00,2216.00,2.39
G0400130111000,Arizona,Maricopa County,111000,2305.00,2301.00,2428.00,22.00,0.95,13.00,0.56,28.00,1.15,100.00,2428.00,4.12
G0400130111100,Arizona,Maricopa County,111100,2032.00,2015.00,2058.00,16.00,0.79,23.00,1.14,30.00,1.46,25.00,2058.00,1.21
G0400130111201,Arizona,Maricopa County,111201,2936.00,2935.00,2939.00,22.00,0.75,7.00,0.24,57.00,1.94,64.00,2939.00,2.18
G0400130111202,Arizona,Maricopa County,111202,609.65,569.00,912.00,4.00,0.66,1.00,0.18,4.00,0.44,55.00,912.00,6.03
G0400130111203,Arizona,Maricopa County,111203,676.35,675.00,939.00,8.00,1.18,0.00,0.00,0.00,0.00,12.00,939.00,1.28
G0400130111204,Arizona,Maricopa County,111204,1091.00,1293.00,1484.00,2.00,0.18,1.00,0.08,13.00,0.88,58.00,1484.00,3.91
G0400130111300,Arizona,Maricopa County,111300,2333.00,2722.00,2552.00,20.00,0.86,14.00,0.51,40.00,1.57,63.00,2552.00,2.47
G0400130111401,Arizona,Maricopa County,111401,1404.00,1396.00,1406.00,7.00,0.50,10.00,0.72,24.00,1.71,0.00,1406.00,0.00
G0400130111402,Arizona,Maricopa County,111402,1539.00,1543.00,1556.00,7.00,0.45,8.00,0.52,28.00,1.80,0.00,1556.00,0.00
G0400130111501,Arizona,Maricopa County,111501,653.00,654.00,656.00,9.00,1.38,4.00,0.61,10.00,1.52,11.00,656.00,1.68
G0400130111502,Arizona,Maricopa County,111502,2268.00,2199.00,2291.00,28.00,1.23,17.00,0.77,34.00,1.48,11.00,2291.00,0.48
G0400130111601,Arizona,Maricopa County,111601,1167.00,1140.00,1138.00,15.00,1.29,16.00,1.40,20.00,1.76,59.00,1138.00,5.18
G0400130111602,Arizona,Maricopa County,111602,2029.00,2019.00,1819.00,15.00,0.74,7.00,0.35,19.00,1.04,47.00,1819.00,2.58
G0400130111700,Arizona,Maricopa County,111700,2654.00,2629.00,2691.00,61.00,2.30,54.00,2.05,79.00,2.94,19.00,2691.00,0.71
G0400130111800,Arizona,Maricopa County,111800,2171.00,2039.00,2361.00,59.00,2.72,47.00,2.31,123.00,5.21,44.00,2361.00,1.86
G0400130111900,Arizona,Maricopa County,111900,1159.00,1215.00,1199.00,24.00,2.07,18.00,1.48,28.00,2.34,65.00,1199.00,5.42
G0400130112100,Arizona,Maricopa County,112100,1047.00,1008.00,1035.00,21.00,2.01,9.00,0.89,18.00,1.74,0.00,1035.00,0.00
G0400130112201,Arizona,Maricopa County,112201,1125.00,1123.00,1149.00,18.00,1.60,3.00,0.27,18.00,1.57,0.00,1149.00,0.00
G0400130112202,Arizona,Maricopa County,112202,1468.00,1462.00,1504.00,19.00,1.29,7.00,0.48,17.00,1.13,9.00,1504.00,0.60
G0400130112301,Arizona,Maricopa County,112301,1788.00,1769.00,1800.00,16.00,0.89,3.00,0.17,15.00,0.83,55.00,1800.00,3.06
G0400130112302,Arizona,Maricopa County,112302,2233.00,2226.00,2227.00,58.00,2.60,8.00,0.36,36.00,1.62,0.00,2227.00,0.00
