GISJOIN,GEOGYEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,Asian_1990,Asian_2000,Asian_2010
G0400130071503,2010,Arizona,4,Maricopa County,13,71503,0,9,20
G0400130071504,2010,Arizona,4,Maricopa County,13,71504,2,10,30
G0400130071505,2010,Arizona,4,Maricopa County,13,71505,1,21.98,56
G0400130071506,2010,Arizona,4,Maricopa County,13,71506,6,12,21
G0400130071509,2010,Arizona,4,Maricopa County,13,71509,7,121,207
G0400130071510,2010,Arizona,4,Maricopa County,13,71510,100,197,172
G0400130071511,2010,Arizona,4,Maricopa County,13,71511,15,39,172
G0400130071512,2010,Arizona,4,Maricopa County,13,71512,69,191,175
G0400130071513,2010,Arizona,4,Maricopa County,13,71513,26,35,64
G0400130071514,2010,Arizona,4,Maricopa County,13,71514,0.25,134,135
G0400130071515,2010,Arizona,4,Maricopa County,13,71515,10.75,48,136
G0400130071516,2010,Arizona,4,Maricopa County,13,71516,3.72,11,63
G0400130071517,2010,Arizona,4,Maricopa County,13,71517,11.28,76,133
G0400130071600,2010,Arizona,4,Maricopa County,13,71600,3,17,32
G0400130071701,2010,Arizona,4,Maricopa County,13,71701,1,1,141
G0400130071702,2010,Arizona,4,Maricopa County,13,71702,6,9,18
G0400130071801,2010,Arizona,4,Maricopa County,13,71801,8,23,31
G0400130071802,2010,Arizona,4,Maricopa County,13,71802,9,16,30
G0400130071903,2010,Arizona,4,Maricopa County,13,71903,85,74,63
G0400130071906,2010,Arizona,4,Maricopa County,13,71906,58,139,296
G0400130071909,2010,Arizona,4,Maricopa County,13,71909,0,73,85
G0400130071910,2010,Arizona,4,Maricopa County,13,71910,63,92,102
G0400130071911,2010,Arizona,4,Maricopa County,13,71911,24,57,160
G0400130071912,2010,Arizona,4,Maricopa County,13,71912,26,24,25
G0400130071913,2010,Arizona,4,Maricopa County,13,71913,4,99,138
G0400130071914,2010,Arizona,4,Maricopa County,13,71914,20,45,30
G0400130071915,2010,Arizona,4,Maricopa County,13,71915,36,43,45
G0400130082002,2010,Arizona,4,Maricopa County,13,82002,69,97,106
G0400130082007,2010,Arizona,4,Maricopa County,13,82007,64,44,42
G0400130082008,2010,Arizona,4,Maricopa County,13,82008,40,102,128
G0400130082009,2010,Arizona,4,Maricopa County,13,82009,48,49,32
G0400130082010,2010,Arizona,4,Maricopa County,13,82010,56,79,59
G0400130082012,2010,Arizona,4,Maricopa County,13,82012,24,73,288
G0400130082016,2010,Arizona,4,Maricopa County,13,82016,0,0,181
G0400130082017,2010,Arizona,4,Maricopa County,13,82017,0,4,241
G0400130082018,2010,Arizona,4,Maricopa County,13,82018,50,137,139
G0400130082019,2010,Arizona,4,Maricopa County,13,82019,45,129,101
G0400130082020,2010,Arizona,4,Maricopa County,13,82020,27,126,156
G0400130082021,2010,Arizona,4,Maricopa County,13,82021,1,91,48
G0400130082022,2010,Arizona,4,Maricopa County,13,82022,0,39,201
G0400130082023,2010,Arizona,4,Maricopa County,13,82023,0,71,267
G0400130082024,2010,Arizona,4,Maricopa County,13,82024,0,2,148
G0400130082025,2010,Arizona,4,Maricopa County,13,82025,0,1,75
G0400130082026,2010,Arizona,4,Maricopa County,13,82026,0,0,297
G0400130082027,2010,Arizona,4,Maricopa County,13,82027,0,0,219
G0400130082028,2010,Arizona,4,Maricopa County,13,82028,16,137,126
G0400130082203,2010,Arizona,4,Maricopa County,13,82203,0,0,215
G0400130082204,2010,Arizona,4,Maricopa County,13,82204,0,0,204
G0400130082205,2010,Arizona,4,Maricopa County,13,82205,0,0,100
G0400130082206,2010,Arizona,4,Maricopa County,13,82206,0,0,177
G0400130082207,2010,Arizona,4,Maricopa County,13,82207,0,4,21
G0400130082208,2010,Arizona,4,Maricopa County,13,82208,2.1,2,34
G0400130082209,2010,Arizona,4,Maricopa County,13,82209,3,3,5
G0400130082210,2010,Arizona,4,Maricopa County,13,82210,0,0,113
G0400130082211,2010,Arizona,4,Maricopa County,13,82211,0.9,8,171
G0400130083000,2010,Arizona,4,Maricopa County,13,83000,25,21,61
G0400130092305,2010,Arizona,4,Maricopa County,13,92305,126,87,101
G0400130092306,2010,Arizona,4,Maricopa County,13,92306,95,202,220
G0400130092307,2010,Arizona,4,Maricopa County,13,92307,138,166,372
G0400130092308,2010,Arizona,4,Maricopa County,13,92308,215,251,205
G0400130092309,2010,Arizona,4,Maricopa County,13,92309,206,212,192
G0400130092311,2010,Arizona,4,Maricopa County,13,92311,49,61,62
G0400130092312,2010,Arizona,4,Maricopa County,13,92312,48,132,262
G0400130092401,2010,Arizona,4,Maricopa County,13,92401,88,87,84
G0400130092402,2010,Arizona,4,Maricopa County,13,92402,42,70,68
G0400130092500,2010,Arizona,4,Maricopa County,13,92500,43,123,241
G0400130092600,2010,Arizona,4,Maricopa County,13,92600,30,28,90
G0400130092705,2010,Arizona,4,Maricopa County,13,92705,41,48,271
G0400130092708,2010,Arizona,4,Maricopa County,13,92708,10,11,56
G0400130092709,2010,Arizona,4,Maricopa County,13,92709,79,88,104
G0400130092710,2010,Arizona,4,Maricopa County,13,92710,13,74,125
G0400130092711,2010,Arizona,4,Maricopa County,13,92711,3,31,201
G0400130092712,2010,Arizona,4,Maricopa County,13,92712,21,92,174
G0400130092713,2010,Arizona,4,Maricopa County,13,92713,33,177,233
G0400130092715,2010,Arizona,4,Maricopa County,13,92715,52.81,38,108
G0400130092716,2010,Arizona,4,Maricopa County,13,92716,86.19,77,59
G0400130092717,2010,Arizona,4,Maricopa County,13,92717,74,51,216
G0400130092718,2010,Arizona,4,Maricopa County,13,92718,38,28,146
G0400130092719,2010,Arizona,4,Maricopa County,13,92719,7,84,123
G0400130092720,2010,Arizona,4,Maricopa County,13,92720,42,47,127
G0400130092721,2010,Arizona,4,Maricopa County,13,92721,0,0,367
G0400130092723,2010,Arizona,4,Maricopa County,13,92723,8,51,71
G0400130092724,2010,Arizona,4,Maricopa County,13,92724,36,40,37
G0400130092801,2010,Arizona,4,Maricopa County,13,92801,45,19.08,37
G0400130092802,2010,Arizona,4,Maricopa County,13,92802,37,26,67
G0400130092900,2010,Arizona,4,Maricopa County,13,92900,31,19.92,9
G0400130093001,2010,Arizona,4,Maricopa County,13,93001,51,51,49
G0400130093002,2010,Arizona,4,Maricopa County,13,93002,47,51,101
G0400130093101,2010,Arizona,4,Maricopa County,13,93101,62,97,66
G0400130093104,2010,Arizona,4,Maricopa County,13,93104,21,41,41
G0400130093105,2010,Arizona,4,Maricopa County,13,93105,45,44,16
G0400130093106,2010,Arizona,4,Maricopa County,13,93106,29,52,62
G0400130093200,2010,Arizona,4,Maricopa County,13,93200,40,47,145
G0400130103205,2010,Arizona,4,Maricopa County,13,103205,52,28,44
G0400130103206,2010,Arizona,4,Maricopa County,13,103206,32,26,25
G0400130103207,2010,Arizona,4,Maricopa County,13,103207,21,30,43
G0400130103208,2010,Arizona,4,Maricopa County,13,103208,40,59,116
G0400130103209,2010,Arizona,4,Maricopa County,13,103209,84,151,163
G0400130103210,2010,Arizona,4,Maricopa County,13,103210,43,148,167
G0400130103211,2010,Arizona,4,Maricopa County,13,103211,153,105,105
G0400130103212,2010,Arizona,4,Maricopa County,13,103212,90,82,92
G0400130103214,2010,Arizona,4,Maricopa County,13,103214,60,110,140
G0400130103215,2010,Arizona,4,Maricopa County,13,103215,44,76,62
G0400130103216,2010,Arizona,4,Maricopa County,13,103216,68,116,280
G0400130103217,2010,Arizona,4,Maricopa County,13,103217,127,203,348
G0400130103219,2010,Arizona,4,Maricopa County,13,103219,27,85,124
G0400130103220,2010,Arizona,4,Maricopa County,13,103220,10,104,240
G0400130103302,2010,Arizona,4,Maricopa County,13,103302,77,79,94
G0400130103303,2010,Arizona,4,Maricopa County,13,103303,27,67,98
G0400130103304,2010,Arizona,4,Maricopa County,13,103304,23,41,55
G0400130103305,2010,Arizona,4,Maricopa County,13,103305,20,14,11
G0400130103306,2010,Arizona,4,Maricopa County,13,103306,19,42,26
G0400130103400,2010,Arizona,4,Maricopa County,13,103400,53,46,60
G0400130103501,2010,Arizona,4,Maricopa County,13,103501,29.74,75,97
G0400130103502,2010,Arizona,4,Maricopa County,13,103502,47.27,120,147
G0400130103604,2010,Arizona,4,Maricopa County,13,103604,29,204,218
G0400130103605,2010,Arizona,4,Maricopa County,13,103605,111,175,203
G0400130103606,2010,Arizona,4,Maricopa County,13,103606,16,112,164
G0400130103607,2010,Arizona,4,Maricopa County,13,103607,70.16,201,177
G0400130103608,2010,Arizona,4,Maricopa County,13,103608,26,89,319
G0400130103609,2010,Arizona,4,Maricopa County,13,103609,77,142,98
G0400130103611,2010,Arizona,4,Maricopa County,13,103611,109.84,162,205
G0400130103612,2010,Arizona,4,Maricopa County,13,103612,52,119,111
G0400130103614,2010,Arizona,4,Maricopa County,13,103614,66.07,58,56
G0400130103615,2010,Arizona,4,Maricopa County,13,103615,32.4,126,81
G0400130103701,2010,Arizona,4,Maricopa County,13,103701,38,182,215
G0400130103702,2010,Arizona,4,Maricopa County,13,103702,29,42,48
G0400130103900,2010,Arizona,4,Maricopa County,13,103900,49,101,93
G0400130104000,2010,Arizona,4,Maricopa County,13,104000,43,130,221
G0400130104100,2010,Arizona,4,Maricopa County,13,104100,92,99,88
G0400130104202,2010,Arizona,4,Maricopa County,13,104202,78,92,108
G0400130104203,2010,Arizona,4,Maricopa County,13,104203,169,158,191
G0400130104204,2010,Arizona,4,Maricopa County,13,104204,50,66,69
G0400130104205,2010,Arizona,4,Maricopa County,13,104205,109,137,149
G0400130104206,2010,Arizona,4,Maricopa County,13,104206,49,108,285
G0400130104207,2010,Arizona,4,Maricopa County,13,104207,156,113,127
G0400130104212,2010,Arizona,4,Maricopa County,13,104212,185,324,250
G0400130104214,2010,Arizona,4,Maricopa County,13,104214,41,28,39
G0400130104215,2010,Arizona,4,Maricopa County,13,104215,85,117,79
G0400130104216,2010,Arizona,4,Maricopa County,13,104216,174,394,240
G0400130104217,2010,Arizona,4,Maricopa County,13,104217,142,212,182
G0400130104218,2010,Arizona,4,Maricopa County,13,104218,56,234,174
G0400130104219,2010,Arizona,4,Maricopa County,13,104219,49,54,62
G0400130104221,2010,Arizona,4,Maricopa County,13,104221,156,174,239
G0400130104222,2010,Arizona,4,Maricopa County,13,104222,127,204,171
G0400130104223,2010,Arizona,4,Maricopa County,13,104223,54,39,72
G0400130104224,2010,Arizona,4,Maricopa County,13,104224,121,330,342
G0400130104225,2010,Arizona,4,Maricopa County,13,104225,44,93,53
G0400130104226,2010,Arizona,4,Maricopa County,13,104226,147,99,137
G0400130104227,2010,Arizona,4,Maricopa County,13,104227,36,31,31
G0400130104301,2010,Arizona,4,Maricopa County,13,104301,35,53,41
G0400130104302,2010,Arizona,4,Maricopa County,13,104302,53,92,137
G0400130104401,2010,Arizona,4,Maricopa County,13,104401,40,68,63
G0400130104402,2010,Arizona,4,Maricopa County,13,104402,9,366,764
G0400130104501,2010,Arizona,4,Maricopa County,13,104501,306,353,94
G0400130104502,2010,Arizona,4,Maricopa County,13,104502,352,262,108
G0400130104600,2010,Arizona,4,Maricopa County,13,104600,51.52,32,64
G0400130104701,2010,Arizona,4,Maricopa County,13,104701,27,25,59
G0400130104702,2010,Arizona,4,Maricopa County,13,104702,16,41,34
G0400130104801,2010,Arizona,4,Maricopa County,13,104801,43,62,70
G0400130104802,2010,Arizona,4,Maricopa County,13,104802,94,124,113
G0400130104900,2010,Arizona,4,Maricopa County,13,104900,76,59,84
G0400130105002,2010,Arizona,4,Maricopa County,13,105002,21,35.23,103
G0400130105003,2010,Arizona,4,Maricopa County,13,105003,60,112,187
G0400130105004,2010,Arizona,4,Maricopa County,13,105004,30,61,117
G0400130105101,2010,Arizona,4,Maricopa County,13,105101,58,74,90
G0400130105102,2010,Arizona,4,Maricopa County,13,105102,98,134,179
G0400130105103,2010,Arizona,4,Maricopa County,13,105103,63,64,137
G0400130105200,2010,Arizona,4,Maricopa County,13,105200,59,124,135
G0400130105300,2010,Arizona,4,Maricopa County,13,105300,57,64,72
G0400130105400,2010,Arizona,4,Maricopa County,13,105400,40,34,47
G0400130105501,2010,Arizona,4,Maricopa County,13,105501,32,117,45
G0400130105502,2010,Arizona,4,Maricopa County,13,105502,61,96,30
G0400130105503,2010,Arizona,4,Maricopa County,13,105503,69,85,82
G0400130105601,2010,Arizona,4,Maricopa County,13,105601,27,48,60
G0400130105602,2010,Arizona,4,Maricopa County,13,105602,90,114,338
G0400130105701,2010,Arizona,4,Maricopa County,13,105701,89,139,135
G0400130105702,2010,Arizona,4,Maricopa County,13,105702,56,133,103
G0400130105800,2010,Arizona,4,Maricopa County,13,105800,110,333,248
G0400130105900,2010,Arizona,4,Maricopa County,13,105900,92,181,191
G0400130106001,2010,Arizona,4,Maricopa County,13,106001,8,18,12
G0400130106002,2010,Arizona,4,Maricopa County,13,106002,9,11,21
G0400130106003,2010,Arizona,4,Maricopa County,13,106003,25,42,55
G0400130106100,2010,Arizona,4,Maricopa County,13,106100,64,47,84
G0400130106200,2010,Arizona,4,Maricopa County,13,106200,32,53,63
G0400130106300,2010,Arizona,4,Maricopa County,13,106300,60,74,134
G0400130106400,2010,Arizona,4,Maricopa County,13,106400,50,72,74
G0400130106501,2010,Arizona,4,Maricopa County,13,106501,17,48,63
G0400130106502,2010,Arizona,4,Maricopa County,13,106502,38,47,69
G0400130106600,2010,Arizona,4,Maricopa County,13,106600,71,64,69
G0400130106701,2010,Arizona,4,Maricopa County,13,106701,28,75,322
G0400130106702,2010,Arizona,4,Maricopa County,13,106702,11,9,29
G0400130106703,2010,Arizona,4,Maricopa County,13,106703,35,69,75
G0400130106801,2010,Arizona,4,Maricopa County,13,106801,85,41,64
G0400130106802,2010,Arizona,4,Maricopa County,13,106802,43,84,98
G0400130106900,2010,Arizona,4,Maricopa County,13,106900,137,426,376
G0400130107000,2010,Arizona,4,Maricopa County,13,107000,101,270,238
G0400130107101,2010,Arizona,4,Maricopa County,13,107101,70,192,175
G0400130107102,2010,Arizona,4,Maricopa County,13,107102,88,234,283
G0400130107201,2010,Arizona,4,Maricopa County,13,107201,37,133,396
G0400130107202,2010,Arizona,4,Maricopa County,13,107202,30,166,223
G0400130107300,2010,Arizona,4,Maricopa County,13,107300,79,249,212
G0400130107400,2010,Arizona,4,Maricopa County,13,107400,137,195,210
G0400130107500,2010,Arizona,4,Maricopa County,13,107500,22,34,56
G0400130107601,2010,Arizona,4,Maricopa County,13,107601,39,62,77
G0400130107602,2010,Arizona,4,Maricopa County,13,107602,44,39,67
G0400130107700,2010,Arizona,4,Maricopa County,13,107700,70,59,170
G0400130107800,2010,Arizona,4,Maricopa County,13,107800,27,53,57
G0400130107900,2010,Arizona,4,Maricopa County,13,107900,41,137.77,103
G0400130108000,2010,Arizona,4,Maricopa County,13,108000,46.9,33.95,46
G0400130108100,2010,Arizona,4,Maricopa County,13,108100,29,25,32
G0400130108200,2010,Arizona,4,Maricopa County,13,108200,45,52,83
G0400130108301,2010,Arizona,4,Maricopa County,13,108301,44,60,82
G0400130108302,2010,Arizona,4,Maricopa County,13,108302,43,40,40
G0400130108400,2010,Arizona,4,Maricopa County,13,108400,87,80,112
G0400130108501,2010,Arizona,4,Maricopa County,13,108501,20,34,89
G0400130108502,2010,Arizona,4,Maricopa County,13,108502,49,124,200
G0400130108601,2010,Arizona,4,Maricopa County,13,108601,25,15,23
G0400130108602,2010,Arizona,4,Maricopa County,13,108602,94,74,82
G0400130108802,2010,Arizona,4,Maricopa County,13,108802,48,61,45
G0400130108901,2010,Arizona,4,Maricopa County,13,108901,66,53,46
G0400130108902,2010,Arizona,4,Maricopa County,13,108902,49,98,69
G0400130109001,2010,Arizona,4,Maricopa County,13,109001,23,186,588
G0400130109002,2010,Arizona,4,Maricopa County,13,109002,59,107,340
G0400130109003,2010,Arizona,4,Maricopa County,13,109003,46,117,43
G0400130109101,2010,Arizona,4,Maricopa County,13,109101,54,214,139
G0400130109102,2010,Arizona,4,Maricopa County,13,109102,52,138,124
G0400130109200,2010,Arizona,4,Maricopa County,13,109200,133,137,73
G0400130109300,2010,Arizona,4,Maricopa County,13,109300,32,54,54
G0400130109400,2010,Arizona,4,Maricopa County,13,109400,71,105,62
G0400130109500,2010,Arizona,4,Maricopa County,13,109500,67,82,75
G0400130109601,2010,Arizona,4,Maricopa County,13,109601,80,78,20
G0400130109602,2010,Arizona,4,Maricopa County,13,109602,75,79,51
G0400130109603,2010,Arizona,4,Maricopa County,13,109603,136,91,32
G0400130109604,2010,Arizona,4,Maricopa County,13,109604,29,44,14
G0400130109701,2010,Arizona,4,Maricopa County,13,109701,166,120,58
G0400130109702,2010,Arizona,4,Maricopa County,13,109702,31,48,46
G0400130109703,2010,Arizona,4,Maricopa County,13,109703,44,39,40
G0400130109704,2010,Arizona,4,Maricopa County,13,109704,16,17,12
G0400130109705,2010,Arizona,4,Maricopa County,13,109705,40,42,15
G0400130109801,2010,Arizona,4,Maricopa County,13,109801,41,38,29
G0400130109802,2010,Arizona,4,Maricopa County,13,109802,57,68,44
G0400130109900,2010,Arizona,4,Maricopa County,13,109900,88,119,91
G0400130110001,2010,Arizona,4,Maricopa County,13,110001,74,44,21
G0400130110002,2010,Arizona,4,Maricopa County,13,110002,70,25,20
G0400130110100,2010,Arizona,4,Maricopa County,13,110100,160,159,115
G0400130110400,2010,Arizona,4,Maricopa County,13,110400,186,201,156
G0400130110501,2010,Arizona,4,Maricopa County,13,110501,22,64,185
G0400130110502,2010,Arizona,4,Maricopa County,13,110502,17,44,58
G0400130110600,2010,Arizona,4,Maricopa County,13,110600,51,74,98
G0400130110701,2010,Arizona,4,Maricopa County,13,110701,19,38,90
G0400130110702,2010,Arizona,4,Maricopa County,13,110702,30,62,63
G0400130110801,2010,Arizona,4,Maricopa County,13,110801,73,67,94
G0400130110802,2010,Arizona,4,Maricopa County,13,110802,19,51,32
G0400130110901,2010,Arizona,4,Maricopa County,13,110901,45,52,57
G0400130110902,2010,Arizona,4,Maricopa County,13,110902,48,44,52
G0400130111000,2010,Arizona,4,Maricopa County,13,111000,35,105,117
G0400130111100,2010,Arizona,4,Maricopa County,13,111100,91,92,91
G0400130111201,2010,Arizona,4,Maricopa County,13,111201,89,85,55
G0400130111202,2010,Arizona,4,Maricopa County,13,111202,11,14,34
G0400130111203,2010,Arizona,4,Maricopa County,13,111203,21,18,47
G0400130111204,2010,Arizona,4,Maricopa County,13,111204,31,81,50
G0400130111300,2010,Arizona,4,Maricopa County,13,111300,94,159,171
G0400130111401,2010,Arizona,4,Maricopa County,13,111401,48,35,34
G0400130111402,2010,Arizona,4,Maricopa County,13,111402,24,43,59
G0400130111501,2010,Arizona,4,Maricopa County,13,111501,9,13,4
G0400130111502,2010,Arizona,4,Maricopa County,13,111502,68,76,47
G0400130111601,2010,Arizona,4,Maricopa County,13,111601,68,59,55
G0400130111602,2010,Arizona,4,Maricopa County,13,111602,39,19,15
G0400130111700,2010,Arizona,4,Maricopa County,13,111700,52,73,81
G0400130111800,2010,Arizona,4,Maricopa County,13,111800,30,39,61
G0400130111900,2010,Arizona,4,Maricopa County,13,111900,34,30,50
G0400130112100,2010,Arizona,4,Maricopa County,13,112100,28,15,7
G0400130112201,2010,Arizona,4,Maricopa County,13,112201,16,11,9
G0400130112202,2010,Arizona,4,Maricopa County,13,112202,142,85,44
G0400130112301,2010,Arizona,4,Maricopa County,13,112301,91,47,23
G0400130112302,2010,Arizona,4,Maricopa County,13,112302,236,193,89
G0400130112401,2010,Arizona,4,Maricopa County,13,112401,76,112,53
G0400130112402,2010,Arizona,4,Maricopa County,13,112402,86,44,33
G0400130112502,2010,Arizona,4,Maricopa County,13,112502,54,54,35
G0400130112503,2010,Arizona,4,Maricopa County,13,112503,126,88,65
G0400130112504,2010,Arizona,4,Maricopa County,13,112504,32,32,17
G0400130112505,2010,Arizona,4,Maricopa County,13,112505,60,39,50
G0400130112507,2010,Arizona,4,Maricopa County,13,112507,25,14,19
G0400130112508,2010,Arizona,4,Maricopa County,13,112508,23,25,9
G0400130112509,2010,Arizona,4,Maricopa County,13,112509,5,20,128
G0400130112510,2010,Arizona,4,Maricopa County,13,112510,0,3,79
G0400130112511,2010,Arizona,4,Maricopa County,13,112511,17,7,231
G0400130112512,2010,Arizona,4,Maricopa County,13,112512,17,20,16
G0400130112513,2010,Arizona,4,Maricopa County,13,112513,7,2,177
G0400130112514,2010,Arizona,4,Maricopa County,13,112514,1,2,211
G0400130112601,2010,Arizona,4,Maricopa County,13,112601,39,14,36
G0400130112602,2010,Arizona,4,Maricopa County,13,112602,27,9,19
G0400130112700,2010,Arizona,4,Maricopa County,13,112700,17,28,20
G0400130112900,2010,Arizona,4,Maricopa County,13,112900,35,30,69
G0400130113000,2010,Arizona,4,Maricopa County,13,113000,28,13,31
G0400130113100,2010,Arizona,4,Maricopa County,13,113100,9,58,89
G0400130113201,2010,Arizona,4,Maricopa County,13,113201,8,5,6
G0400130113202,2010,Arizona,4,Maricopa County,13,113202,13,4,5
G0400130113203,2010,Arizona,4,Maricopa County,13,113203,13,4,12
G0400130113300,2010,Arizona,4,Maricopa County,13,113300,38,52,27
G0400130113400,2010,Arizona,4,Maricopa County,13,113400,3.93,4.45,4
G0400130113501,2010,Arizona,4,Maricopa County,13,113501,11,16,57
