"STATEFP00","COUNTYFP00","TRACT4","TRACT2","MISSING","TRACTCE00","GEOID_1990"
"04","013","5227","40",TRUE,"522740",NA
"04","013","5227","41",TRUE,"522741",NA
"04","013","5227","42",TRUE,"522742",NA
"04","013","5227","43",TRUE,"522743",NA
"04","013","5227","44",TRUE,"522744",NA
"04","013","5227","45",TRUE,"522745",NA
"04","013","5227","46",TRUE,"522746",NA
"04","013","5227","47",TRUE,"522747",NA
"04","013","5227","48",TRUE,"522748",NA
"04","013","5227","49",TRUE,"522749",NA
"04","013","5227","57",TRUE,"522757",NA
"04","013","5228","00",FALSE,"522800","522800"
"04","013","5229","01",FALSE,"522901","522901"
"04","013","5229","02",FALSE,"522902","522902"
"04","013","5230","02",FALSE,"523002","523002"
"04","013","5230","03",FALSE,"523003","523003"
"04","013","5230","05",FALSE,"523005","523005"
"04","013","5230","06",FALSE,"523006","523006"
"04","013","5231","02",FALSE,"523102","523102"
"04","013","5231","03",FALSE,"523103","523103"
"04","013","5231","04",FALSE,"523104","523104"
"04","013","7233","01",TRUE,"723301",NA
"04","013","7233","02",TRUE,"723302",NA
"04","013","9407","00",TRUE,"940700",NA
"04","013","9410","00",TRUE,"941000",NA
"04","013","9411","00",TRUE,"941100",NA
