GISJOIN,STATE,COUNTY,TRACTA,HousingUnits_1990,HousingUnits_2000,HousingUnits_2010,VacantForSale_1990,ForSalePercent_1990,VacantForSale_2000,ForSalePercent_2000,VacantForSale_2010,ForSalePercent_2010,Forsale_2015,HousingUnits_2015,ForSalePercent_2015
G0400130816700,Arizona,Maricopa County,816700,3.81,4.56,683,0,0,0,0,44,6.44,22,683,3.22
G0400130816800,Arizona,Maricopa County,816800,30,62,885,0,0,1,1.61,37,4.18,0,885,0
G0400130816900,Arizona,Maricopa County,816900,134,161,1037,3,2.24,0,0,53,5.11,28,1037,2.7
G0400130817000,Arizona,Maricopa County,817000,202,422,1094,3,1.49,5,1.18,43,3.93,52,1094,4.75
G0400130817100,Arizona,Maricopa County,817100,130,140,2877,7,5.38,3,2.14,85,2.95,83,2877,2.88
G0400130817200,Arizona,Maricopa County,817200,476,1021,1934,17,3.57,17,1.67,67,3.46,44,1934,2.28
G0400130817300,Arizona,Maricopa County,817300,16,1332,3612,0,0,13,0.98,36,1,0,3612,0
G0400130817400,Arizona,Maricopa County,817400,2077,2130,2159,64,3.08,32,1.5,67,3.1,44,2159,2.04
G0400130817500,Arizona,Maricopa County,817500,1843,2046,2061,63,3.42,32,1.56,34,1.65,0,2061,0
G0400130817600,Arizona,Maricopa County,817600,161,245,308,0,0,1,0.41,9,2.92,0,308,0
G0400130940700,Arizona,Maricopa County,940700,31,49,58,1,3.23,0,0,0,0,0,58,0
G0400130941000,Arizona,Maricopa County,941000,745,674,819,1,0.13,0,0,2,0.24,20,819,2.44
G0400130941100,Arizona,Maricopa County,941100,13,11,16,0,0,0,0,0,0,53,16,331.25
G0400130941200,Arizona,Maricopa County,941200,165,275,308,2,1.21,0,0,1,0.32,51,308,16.56
G0400130941300,Arizona,Maricopa County,941300,2130.53,2515.42,2609,59.79,2.81,32.99,1.31,36,1.38,28,2609,1.07
G0400130980100,Arizona,Maricopa County,980100,115,0,0,0,0,0,0,0,0,54,0,0
G0400130980400,Arizona,Maricopa County,980400,1,5,6,0,0,0,0,1,16.67,59,6,983.33
G0400130980500,Arizona,Maricopa County,980500,0,3,0,0,0,0,0,0,0,49,0,0
G0400130980600,Arizona,Maricopa County,980600,0,0,0,0,0,0,0,0,0,0,0,0
G0400130980700,Arizona,Maricopa County,980700,0,10,3,0,0,0,0,0,0,17,3,566.67
