GISJOIN,STATE,COUNTY,TRACTA,TotalEthnicityCount_1990,TotalEthnicityCount_2000,TotalEthnicityCount_2010,NotHispanicLatino_1990,NotHispanicPercent_1990,NotHispanicLatino_2000,NotHispanicPercent_2000,NotHispanicLatino_2010,NotHispanicPercent_2010,HispanicLatino_1990,HispanicPercent_1990,HispanicLatino_2000,HispanicPercent_2000,HispanicLatino_2010,HispanicPercent_2010,NotHispanic_2015,Hispanic_2015,HispanicPercent_2015,Total_2015.y
G0400130615300,Arizona,Maricopa County,615300,824,1405,2259,787,95.51,1329,94.59,2103,93.09,37,4.49,76,5.41,156,6.91,145,935,70,548
G0400130617800,Arizona,Maricopa County,617800,1940,3254,2613,1821,93.87,2914,89.55,2350,89.93,119,6.13,340,10.45,263,10.07,1426,5322,71,3099
G0400130061402,Arizona,Maricopa County,61402,2953.31,3713.58,5505,1208.69,40.93,894.94,24.1,1512,27.47,1744.62,59.07,2818.64,75.9,3993,72.53,717,3376,72,1961
G0400130613500,Arizona,Maricopa County,613500,16,892,4082,16,100,877,98.32,3617,88.61,0,0,15,1.68,465,11.39,583,5772,73,3331
G0400130082027,Arizona,Maricopa County,82027,76,55,3978,21,27.63,36,65.45,1934,48.62,55,72.37,19,34.55,2044,51.38,597,5701,73,3279
G0400130615700,Arizona,Maricopa County,615700,653,3304,2991,641,98.16,3073,93.01,2724,91.07,12,1.84,231,6.99,267,8.93,909,5857,75,3343
G0400130617500,Arizona,Maricopa County,617500,2630,3517,3316,2622,99.7,3396,96.56,3130,94.39,8,0.3,121,3.44,186,5.61,1197,7185,75,4099
G0400130082022,Arizona,Maricopa County,82022,312,1550,4171,275,88.14,1057,68.19,2201,52.77,37,11.86,493,31.81,1970,47.23,589,5004,75,2844
G0400130113000,Arizona,Maricopa County,113000,1623,1615,1895,1162,71.6,1070,66.25,1571,82.9,461,28.4,545,33.75,324,17.1,174,2003,77,1130
G0400130082205,Arizona,Maricopa County,82205,13,9,5124,8,61.54,4,44.44,1793,34.99,5,38.46,5,55.56,3331,65.01,1043,6271,79,3498
G0400130071915,Arizona,Maricopa County,71915,3086,3640,3439,2733,88.56,2857,78.49,2279,66.27,353,11.44,783,21.51,1160,33.73,429,2396,79,1332
G0400130616600,Arizona,Maricopa County,616600,5654,6020,5696,5292,93.6,5359,89.02,4541,79.72,362,6.4,661,10.98,1155,20.28,173,1560,80,866
G0400130092716,Arizona,Maricopa County,92716,3333.58,3984,3908,2707.54,81.22,2333,58.56,1285,32.88,626.04,18.78,1651,41.44,2623,67.12,357,3675,80,2033
G0400130615600,Arizona,Maricopa County,615600,7,2716,3776,7,100,2688,98.97,3544,93.86,0,0,28,1.03,232,6.14,659,4006,82,2190
G0400130082017,Arizona,Maricopa County,82017,5,4,4275,3,60,4,100,1878,43.93,2,40,0,0,2397,56.07,719,4974,87,2658
G0400130061041,Arizona,Maricopa County,61041,15.3,3.07,4319,2.83,18.5,0,0,2404,55.66,12.47,81.5,3.07,100,1915,44.34,198,733,87,390
G0400130614800,Arizona,Maricopa County,614800,3600,4625,4154,3444,95.67,4232,91.5,3492,84.06,156,4.33,393,8.5,662,15.94,107,1019,89,542
G0400130061047,Arizona,Maricopa County,61047,3.41,2.51,3264,3.12,91.5,2.51,100,2513,76.99,0.29,8.5,0,0,751,23.01,1028,7868,89,4153
G0400130103614,Arizona,Maricopa County,103614,3379.94,3306,2998,3223.83,95.38,3052,92.32,2634,87.86,156.11,4.62,254,7.68,364,12.14,414,2382,90,1253
G0400130613600,Arizona,Maricopa County,613600,311.83,3252,3967,303.86,97.44,2975,91.48,3547,89.41,7.97,2.56,277,8.52,420,10.59,612,6708,90,3525
G0400130421601,Arizona,Maricopa County,421601,2763,3114,3326,2531,91.6,2302,73.92,1670,50.21,232,8.4,812,26.08,1656,49.79,107,2075,90,1087
G0400130082207,Arizona,Maricopa County,82207,1009.81,1336,2394,773.03,76.55,866,64.82,989,41.31,236.78,23.45,470,35.18,1405,58.69,453,3979,100,2040
G0400130061042,Arizona,Maricopa County,61042,93.94,292,2120,91.94,97.87,271,92.81,1561,73.63,2,2.13,21,7.19,559,26.37,0,0,0,0
G0400130114600,Arizona,Maricopa County,114600,1199,2109,1914,376,31.36,254,12.04,204,10.66,823,68.64,1855,87.96,1710,89.34,0,0,0,0
G0400130422618,Arizona,Maricopa County,422618,954.35,3263,2954,949.35,99.48,3244,99.42,2914,98.65,5,0.52,19,0.58,40,1.35,0,0,0,0
