GISJOIN,STATE,COUNTY,TRACTA,TotalEthnicityCount_1990,TotalEthnicityCount_2000,TotalEthnicityCount_2010,NotHispanicLatino_1990,NotHispanicPercent_1990,NotHispanicLatino_2000,NotHispanicPercent_2000,NotHispanicLatino_2010,NotHispanicPercent_2010,HispanicLatino_1990,HispanicPercent_1990,HispanicLatino_2000,HispanicPercent_2000,HispanicLatino_2010,HispanicPercent_2010,NotHispanic_2015,Hispanic_2015,HispanicPercent_2015,Total_2015.y
G0400130071903,Arizona,Maricopa County,71903,5897,6483,6306,5074,86.04,5246,80.92,4628,73.39,823,13.96,1237,19.08,1678,26.61,45,0,0,45
G0400130107201,Arizona,Maricopa County,107201,3135,4703,4301,2547,81.24,2446,52.01,1861,43.27,588,18.76,2257,47.99,2440,56.73,123,0,0,76
G0400130420214,Arizona,Maricopa County,420214,2908,3233,3511,2782,95.67,2972,91.93,2906,82.77,126,4.33,261,8.07,605,17.23,4332,0,0,4332
G0400130422510,Arizona,Maricopa County,422510,611,3075,3416,594,97.22,2849,92.65,2942,86.12,17,2.78,226,7.35,474,13.88,10,0,0,6
G0400130814600,Arizona,Maricopa County,814600,279,3855,4461,229,82.08,3241,84.07,3593,80.54,50,17.92,614,15.93,868,19.46,2942,0,0,2942
G0400130815800,Arizona,Maricopa County,815800,41,1,4083,3,7.32,1,100,3397,83.2,38,92.68,0,0,686,16.8,5334,0,0,5334
G0400130216838,Arizona,Maricopa County,216838,2062.53,5083.64,4791,1978.84,95.94,4891.7,96.22,4507,94.07,83.69,4.06,191.94,3.78,284,5.93,2429,12,0.5,2419
G0400130422644,Arizona,Maricopa County,422644,0.32,288.64,7287,0.32,100,281.78,97.62,6472,88.82,0,0,6.86,2.38,815,11.18,4928,29,0.71,4105
G0400130940700,Arizona,Maricopa County,940700,133,143,151,126,94.74,140,97.9,142,94.04,7,5.26,3,2.1,9,5.96,2688,20,0.74,2698
G0400130420708,Arizona,Maricopa County,420708,2220,3125,3754,2159,97.25,2889,92.45,2993,79.73,61,2.75,236,7.55,761,20.27,3482,26,0.79,3308
G0400130815700,Arizona,Maricopa County,815700,19.8,470,5525,4.95,25,402,85.53,4551,82.37,14.85,75,68,14.47,974,17.63,6241,53,0.85,6213
G0400130103611,Arizona,Maricopa County,103611,4067.54,4732,5121,3914.81,96.25,4527,95.67,4683,91.45,152.73,3.75,205,4.33,438,8.55,3518,31,0.87,3549
G0400130216851,Arizona,Maricopa County,216851,357.73,2710.32,4143,351.55,98.27,2648.55,97.72,4006,96.69,6.18,1.73,61.77,2.28,137,3.31,4141,34,1,3387
G0400130116719,Arizona,Maricopa County,116719,162,6774,6404,143,88.27,6142,90.67,5521,86.21,19,11.73,632,9.33,883,13.79,5241,59,1.12,5261
G0400130420213,Arizona,Maricopa County,420213,861,1798,1753,859,99.77,1786,99.33,1737,99.09,2,0.23,12,0.67,16,0.91,2743,34,1.22,2777
G0400130104302,Arizona,Maricopa County,104302,3511,3897,3209,3268,93.08,3331,85.48,2398,74.73,243,6.92,566,14.52,811,25.27,1203,11,1.37,801
G0400130319705,Arizona,Maricopa County,319705,3491,3459,3412,2978,85.31,2651,76.64,2411,70.66,513,14.69,808,23.36,1001,29.34,6167,89,1.43,6236
G0400130611500,Arizona,Maricopa County,611500,12.55,433.31,5639,12.55,100,405.21,93.52,5196,92.14,0,0,28.1,6.48,443,7.86,4758,58,1.43,4049
G0400130612000,Arizona,Maricopa County,612000,87.76,320.27,2710,81.75,93.15,302.27,94.38,2536,93.58,6.01,6.85,18,5.62,174,6.42,5817,77,1.58,4860
G0400130814300,Arizona,Maricopa County,814300,674,3901,4040,509,75.52,3350,85.88,3399,84.13,165,24.48,551,14.12,641,15.87,2820,47,1.65,2854
G0400130116400,Arizona,Maricopa County,116400,3597,4711,5604,1389,38.62,1226,26.02,1424,25.41,2208,61.38,3485,73.98,4180,74.59,2825,39,1.67,2335
G0400130420116,Arizona,Maricopa County,420116,1852,2334,2865,1773,95.73,2204,94.43,2600,90.75,79,4.27,130,5.57,265,9.25,1441,25,1.71,1466
G0400130217101,Arizona,Maricopa County,217101,2661,2827,2466,2533,95.19,2596,91.83,2182,88.48,128,4.81,231,8.17,284,11.52,2497,46,1.81,2543
G0400130422643,Arizona,Maricopa County,422643,0.28,2584.36,5789,0.28,100,2276.22,88.08,4871,84.14,0,0,308.14,11.92,918,15.86,3960,73,1.89,3857
G0400130216849,Arizona,Maricopa County,216849,155.43,4538.41,6736,152.1,97.86,4453.62,98.13,6449,95.74,3.33,2.14,84.79,1.87,287,4.26,6555,107,1.91,5591
G0400130611600,Arizona,Maricopa County,611600,60.74,814.64,3062,60.74,100,763.25,93.69,2813,91.87,0,0,51.39,6.31,249,8.13,4562,77,2.02,3816
G0400130103305,Arizona,Maricopa County,103305,2569.38,3524,3092,2065.08,80.37,1643,46.62,1014,32.79,504.3,19.63,1881,53.38,2078,67.21,4725,97,2.02,4807
G0400130816500,Arizona,Maricopa County,816500,922.31,1135,3883,482.21,52.28,982,86.52,3313,85.32,440.1,47.72,153,13.48,570,14.68,1532,34,2.18,1559
G0400130319202,Arizona,Maricopa County,319202,2609,3427,3232,2246,86.09,2329,67.96,2104,65.1,363,13.91,1098,32.04,1128,34.9,2832,64,2.21,2896
G0400130061023,Arizona,Maricopa County,61023,697,1460,9200,568,81.49,1240,84.93,5884,63.96,129,18.51,220,15.07,3316,36.04,4804,84,2.34,3591
G0400130116718,Arizona,Maricopa County,116718,884,1882,2599,832,94.12,1635,86.88,2149,82.69,52,5.88,247,13.12,450,17.31,2627,64,2.38,2691
G0400130115801,Arizona,Maricopa County,115801,3162,4532,3862,1056,33.4,885,19.53,831,21.52,2106,66.6,3647,80.47,3031,78.48,2222,50,2.38,2099
G0400130422106,Arizona,Maricopa County,422106,4125,5204,5624,3514,85.19,3214,61.76,2455,43.65,611,14.81,1990,38.24,3169,56.35,3750,71,2.46,2890
G0400130116500,Arizona,Maricopa County,116500,4205,4786,4920,1543,36.69,1122,23.44,927,18.84,2662,63.31,3664,76.56,3993,81.16,2695,69,2.5,2755
G0400130614300,Arizona,Maricopa County,614300,140,3415.63,3124,140,100,3210.63,94,2886,92.38,0,0,205,6,238,7.62,5073,95,2.57,3703
G0400130216901,Arizona,Maricopa County,216901,2388,2831,2705,2339,97.95,2709,95.69,2579,95.34,49,2.05,122,4.31,126,4.66,2438,64,2.57,2494
G0400130421302,Arizona,Maricopa County,421302,4527,6407,5978,3614,79.83,3238,50.54,2343,39.19,913,20.17,3169,49.46,3635,60.81,2656,61,2.6,2348
G0400130980600,Arizona,Maricopa County,980600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,2830,79,2.72,2909
G0400130103304,Arizona,Maricopa County,103304,2832,4637,4674,2484,87.71,2002,43.17,1329,28.43,348,12.29,2635,56.83,3345,71.57,4511,128,2.76,4639
G0400130320001,Arizona,Maricopa County,320001,3017,5948,7023,2609,86.48,4820,81.04,5620,80.02,408,13.52,1128,18.96,1403,19.98,2738,80,2.84,2818
G0400130050702,Arizona,Maricopa County,50702,3134,4003,5280,2174,69.37,2219,55.43,2479,46.95,960,30.63,1784,44.57,2801,53.05,3338,68,2.86,2379
G0400130816200,Arizona,Maricopa County,816200,0,0,3982,0,0,0,0,3286,82.52,0,0,0,0,696,17.48,2706,78,2.91,2683
G0400130116704,Arizona,Maricopa County,116704,3888.27,5487.7,7105,2883.76,74.17,3691.48,67.27,4880,68.68,1004.51,25.83,1796.22,32.73,2225,31.32,4896,115,2.97,3869
G0400130216848,Arizona,Maricopa County,216848,225.41,4603.37,6026,219.84,97.53,4448.56,96.64,5798,96.22,5.57,2.47,154.81,3.36,228,3.78,6095,157,2.99,5244
G0400130420115,Arizona,Maricopa County,420115,1702,1992,2577,1519,89.25,1637,82.18,1891,73.38,183,10.75,355,17.82,686,26.62,3089,98,3.07,3187
G0400130320100,Arizona,Maricopa County,320100,2237,2140,2558,2061,92.13,1804,84.3,2191,85.65,176,7.87,336,15.7,367,14.35,1973,70,3.43,2043
G0400130616300,Arizona,Maricopa County,616300,1101,1614,2044,1009,91.64,1477,91.51,1781,87.13,92,8.36,137,8.49,263,12.87,2631,95,3.51,2709
G0400130422640,Arizona,Maricopa County,422640,393.65,1345,4647,393.65,100,1249,92.86,4016,86.42,0,0,96,7.14,631,13.58,3413,127,3.59,3540
G0400130071909,Arizona,Maricopa County,71909,1370,3824,3797,1272,92.85,3159,82.61,2798,73.69,98,7.15,665,17.39,999,26.31,3886,107,3.74,2864
G0400130116717,Arizona,Maricopa County,116717,1995,3553,4021,1854,92.93,3009,84.69,3136,77.99,141,7.07,544,15.31,885,22.01,4907,147,3.79,3882
G0400130061020,Arizona,Maricopa County,61020,7,295.82,3835,6,85.71,233.65,78.98,2965,77.31,1,14.29,62.17,21.02,870,22.69,2982,104,3.87,2685
G0400130814900,Arizona,Maricopa County,814900,996,3077.99,3015,920,92.37,2751.99,89.41,2606,86.43,76,7.63,326,10.59,409,13.57,4520,183,3.96,4626
G0400130614400,Arizona,Maricopa County,614400,1422,3535.37,3567,1376,96.77,3237.37,91.57,3118,87.41,46,3.23,298,8.43,449,12.59,4781,156,4.06,3845
G0400130611900,Arizona,Maricopa County,611900,587.46,989.64,3171,417.46,71.06,614.27,62.07,2690,84.83,170,28.94,375.37,37.93,481,15.17,3855,144,4.13,3483
G0400130422507,Arizona,Maricopa County,422507,1716,4783,4523,1645,95.86,4501,94.1,4107,90.8,71,4.14,282,5.9,416,9.2,2571,64,4.32,1483
G0400130422641,Arizona,Maricopa County,422641,85,3178,6346,61,71.76,2774,87.29,4959,78.14,24,28.24,404,12.71,1387,21.86,3803,137,4.33,3162
G0400130614600,Arizona,Maricopa County,614600,2762,7229,6628,2598,94.06,6540,90.47,5714,86.21,164,5.94,689,9.53,914,13.79,3249,132,4.55,2902
G0400130941000,Arizona,Maricopa County,941000,2729,2662,2931,2388,87.5,2375,89.22,2501,85.33,341,12.5,287,10.78,430,14.67,5977,210,4.63,4539
G0400130061018,Arizona,Maricopa County,61018,7.68,2499.18,4660,2.88,37.5,2446.35,97.89,4574,98.15,4.8,62.5,52.83,2.11,86,1.85,3677,147,4.66,3155
G0400130422642,Arizona,Maricopa County,422642,16.92,1259,5715,16.92,100,1116,88.64,4801,84.01,0,0,143,11.36,914,15.99,3858,179,4.75,3772
G0400130092801,Arizona,Maricopa County,92801,4104.35,5736.19,4756,2375,57.87,1657.11,28.89,1095,23.02,1729.35,42.13,4079.08,71.11,3661,76.98,2452,110,4.77,2306
G0400130421502,Arizona,Maricopa County,421502,2795,3439,3390,2252,80.57,1957,56.91,1510,44.54,543,19.43,1482,43.09,1880,55.46,2066,82,4.9,1675
G0400130117200,Arizona,Maricopa County,117200,3660,3430,1353,296,8.09,270,7.87,139,10.27,3364,91.91,3160,92.13,1214,89.73,1720,81,4.91,1651
G0400130611400,Arizona,Maricopa County,611400,0.25,1975.39,6232,0.25,100,1795.26,90.88,5697,91.42,0,0,180.13,9.12,535,8.58,3113,106,5.1,2077
G0400130980100,Arizona,Maricopa County,980100,373,0,0,342,91.69,0,0,0,0,31,8.31,0,0,0,#DIV/0!,3263,153,5.14,2978
G0400130216818,Arizona,Maricopa County,216818,3042,5976,6644,2980,97.96,5792,96.92,6345,95.5,62,2.04,184,3.08,299,4.5,2795,118,5.33,2213
G0400130216813,Arizona,Maricopa County,216813,3113,4137,4041,3053,98.07,4022,97.22,3885,96.14,60,1.93,115,2.78,156,3.86,2495,109,5.53,1972
G0400130614700,Arizona,Maricopa County,614700,2349.67,3185.09,2612,2203.49,93.78,2595.8,81.5,2036,77.95,146.18,6.22,589.29,18.5,576,22.05,2915,145,5.65,2567
G0400130319000,Arizona,Maricopa County,319000,3732,3823,9107,3459,92.68,3511,91.84,7926,87.03,273,7.32,312,8.16,1181,12.97,3253,182,5.7,3193
G0400130614200,Arizona,Maricopa County,614200,205.02,5261,4891,205.02,100,4934,93.78,4516,92.33,0,0,327,6.22,375,7.67,1189,65,5.95,1093
G0400130319908,Arizona,Maricopa County,319908,2671,2327,2211,2436,91.2,1967,84.53,1768,79.96,235,8.8,360,15.47,443,20.04,4075,170,6.02,2822
G0400130104402,Arizona,Maricopa County,104402,774,1910,2538,737,95.22,1733,90.73,2110,83.14,37,4.78,177,9.27,428,16.86,3847,205,6.18,3319
G0400130115400,Arizona,Maricopa County,115400,2481,2879,2232,537,21.64,352,12.23,259,11.6,1944,78.36,2527,87.77,1973,88.4,2843,188,6.2,3031
G0400130619700,Arizona,Maricopa County,619700,2358,3683,3443,2206,93.55,3246,88.13,2814,81.73,152,6.45,437,11.87,629,18.27,4884,248,6.24,3973
G0400130941300,Arizona,Maricopa County,941300,4842.05,6399.3,6293,4229.52,87.35,5312.55,83.02,5406,85.9,612.53,12.65,1086.75,16.98,887,14.1,3421,220,6.43,3420
G0400130105003,Arizona,Maricopa County,105003,4008.16,4959.26,4549,3904.16,97.41,4800.26,96.79,4408,96.9,104,2.59,159,3.21,141,3.1,4321,227,6.45,3519
G0400130116702,Arizona,Maricopa County,116702,5651,7436,7839,2822,49.94,2255,30.33,2372,30.26,2829,50.06,5181,69.67,5467,69.74,2901,161,6.45,2495
G0400130422403,Arizona,Maricopa County,422403,1733,5692,5189,1516,87.48,5015,88.11,4277,82.42,217,12.52,677,11.89,912,17.58,2772,134,6.52,2056
G0400130108000,Arizona,Maricopa County,108000,3267.73,3544.85,3467,3197.73,97.86,3438.85,97.01,3313,95.56,70,2.14,106,2.99,154,4.44,6876,421,6.66,6322
G0400130071802,Arizona,Maricopa County,71802,3608,3570,3302,3583,99.31,3526,98.77,3177,96.21,25,0.69,44,1.23,125,3.79,3945,199,6.75,2950
G0400130318501,Arizona,Maricopa County,318501,3420,3333,3200,3111,90.96,2849,85.48,2532,79.13,309,9.04,484,14.52,668,20.88,3662,183,6.84,2674
G0400130104401,Arizona,Maricopa County,104401,4222,5133,5017,3960,93.79,3949,76.93,3124,62.27,262,6.21,1184,23.07,1893,37.73,2730,160,6.88,2325
G0400130104701,Arizona,Maricopa County,104701,2309,2899,2474,2117,91.68,2242,77.34,1792,72.43,192,8.32,657,22.66,682,27.57,4045,226,6.98,3240
G0400130071506,Arizona,Maricopa County,71506,4265,4261,4260,4235,99.3,4205,98.69,4162,97.7,30,0.7,56,1.31,98,2.3,4793,276,7,3942
G0400130216839,Arizona,Maricopa County,216839,2900.07,4253.2,3953,2806.45,96.77,4107.82,96.58,3782,95.67,93.62,3.23,145.38,3.42,171,4.33,2800,164,7.01,2338
G0400130422102,Arizona,Maricopa County,422102,3765,4419,4354,2906,77.18,2703,61.17,2241,51.47,859,22.82,1716,38.83,2113,48.53,3796,279,7.02,3973
G0400130071504,Arizona,Maricopa County,71504,3741,3582,3394,3734,99.81,3565,99.53,3332,98.17,7,0.19,17,0.47,62,1.83,2385,131,7.04,1861
G0400130040526,Arizona,Maricopa County,40526,25.51,764,2365,25.51,100,753,98.56,2312,97.76,0,0,11,1.44,53,2.24,3418,159,7.05,2255
G0400130420704,Arizona,Maricopa County,420704,3587,5345,4910,3382,94.28,4813,90.05,4215,85.85,205,5.72,532,9.95,695,14.15,5412,283,7.1,3985
G0400130421400,Arizona,Maricopa County,421400,3206,2864,2415,2138,66.69,1953,68.19,1570,65.01,1068,33.31,911,31.81,845,34.99,2154,118,7.15,1650
G0400130040531,Arizona,Maricopa County,40531,364,3314,3395,363,99.73,3094,93.36,3033,89.34,1,0.27,220,6.64,362,10.66,4570,263,7.32,3593
G0400130112302,Arizona,Maricopa County,112302,5430,7744,6754,3519,64.81,2423,31.29,1123,16.63,1911,35.19,5321,68.71,5631,83.37,4007,224,7.39,3031
G0400130421202,Arizona,Maricopa County,421202,3811,5079,3764,3467,90.97,3792,74.66,2476,65.78,344,9.03,1287,25.34,1288,34.22,6209,470,7.47,6292
G0400130050701,Arizona,Maricopa County,50701,1451,1723,5092,968,66.71,861,49.97,2593,50.92,483,33.29,862,50.03,2499,49.08,4699,311,7.5,4148
G0400130216844,Arizona,Maricopa County,216844,67.53,762,2965,65.65,97.22,745,97.77,2821,95.14,1.88,2.78,17,2.23,144,4.86,2378,153,7.52,2035
G0400130061024,Arizona,Maricopa County,61024,422,438,2177,298,70.62,315,71.92,1304,59.9,124,29.38,123,28.08,873,40.1,4300,267,7.63,3501
G0400130422302,Arizona,Maricopa County,422302,5237,5446,4774,4833,92.29,4519,82.98,3375,70.7,404,7.71,927,17.02,1399,29.3,2590,180,7.64,2356
G0400130112100,Arizona,Maricopa County,112100,3363,4204,3838,1157,34.4,615,14.63,420,10.94,2206,65.6,3589,85.37,3418,89.06,5397,304,7.64,3977
G0400130422002,Arizona,Maricopa County,422002,3379,3861,3885,2425,71.77,1794,46.46,1249,32.15,954,28.23,2067,53.54,2636,67.85,2349,121,7.66,1579
G0400130107602,Arizona,Maricopa County,107602,2382,2792,2680,2181,91.56,2210,79.15,2036,75.97,201,8.44,582,20.85,644,24.03,2730,163,7.71,2113
G0400130061022,Arizona,Maricopa County,61022,58,2411,8869,39,67.24,1775,73.62,5558,62.67,19,32.76,636,26.38,3311,37.33,3457,195,7.78,2507
G0400130811900,Arizona,Maricopa County,811900,79,4308,5544,68,86.08,3857,89.53,4841,87.32,11,13.92,451,10.47,703,12.68,4414,287,7.82,3669
G0400130422001,Arizona,Maricopa County,422001,3334,4578,4126,1940,58.19,1253,27.37,771,18.69,1394,41.81,3325,72.63,3355,81.31,4553,331,7.89,4195
G0400130421001,Arizona,Maricopa County,421001,3771,4106,3556,3347,88.76,2786,67.85,2403,67.58,424,11.24,1320,32.15,1153,32.42,2268,131,7.98,1642
G0400130111300,Arizona,Maricopa County,111300,4757,6386,5447,4118,86.57,4407,69.01,3210,58.93,639,13.43,1979,30.99,2237,41.07,5726,358,8,4473
G0400130061025,Arizona,Maricopa County,61025,0,0,7445,0,#DIV/0!,0,0,6173,82.91,0,0,0,0,1272,17.09,3545,218,8.12,2684
G0400130421902,Arizona,Maricopa County,421902,4541,6239,5902,3396,74.79,2459,39.41,1348,22.84,1145,25.21,3780,60.59,4554,77.16,3573,225,8.23,2733
G0400130071512,Arizona,Maricopa County,71512,4218,6207,5917,3778,89.57,5482,88.32,4909,82.96,440,10.43,725,11.68,1008,17.04,2209,132,8.26,1599
G0400130319101,Arizona,Maricopa County,319101,2628,3188,2942,2393,91.06,2458,77.1,2187,74.34,235,8.94,730,22.9,755,25.66,2793,199,8.38,2374
G0400130071801,Arizona,Maricopa County,71801,4818,5028,5148,4780,99.21,4948,98.41,4919,95.55,38,0.79,80,1.59,229,4.45,3817,266,8.52,3123
G0400130216816,Arizona,Maricopa County,216816,4764.41,5734.36,5531,4639.4,97.38,5562.3,97,5292,95.68,125.01,2.62,172.06,3,239,4.32,5167,277,8.52,3251
G0400130813300,Arizona,Maricopa County,813300,185,284,4816,82,44.32,170,59.86,4298,89.24,103,55.68,114,40.14,518,10.76,5382,364,8.58,4244
G0400130320007,Arizona,Maricopa County,320007,5533,5950,6674,4716,85.23,4533,76.18,4485,67.2,817,14.77,1417,23.82,2189,32.8,3336,242,8.6,2815
G0400130061015,Arizona,Maricopa County,61015,1,5881,5757,1,100,4685,79.66,3930,68.26,0,0,1196,20.34,1827,31.74,6880,430,8.62,4991
G0400130113700,Arizona,Maricopa County,113700,4760,6952,7720,3527,74.1,3101,44.61,3602,46.66,1233,25.9,3851,55.39,4118,53.34,6355,385,8.62,4468
G0400130611000,Arizona,Maricopa County,611000,0.48,1,2461,0.47,97.92,1,100,2213,89.92,0.01,2.08,0,0,248,10.08,3980,333,8.65,3851
G0400130113203,Arizona,Maricopa County,113203,2565,3172,2317,777,30.29,638,20.11,543,23.44,1788,69.71,2534,79.89,1774,76.56,384,28,8.81,318
G0400130111602,Arizona,Maricopa County,111602,4450,6819,5055,2408,54.11,1324,19.42,954,18.87,2042,45.89,5495,80.58,4101,81.13,5828,420,8.9,4717
G0400130092721,Arizona,Maricopa County,92721,95,99,2801,54,56.84,81,81.82,2012,71.83,41,43.16,18,18.18,789,28.17,3444,264,8.93,2955
G0400130092719,Arizona,Maricopa County,92719,379,3194,4277,324,85.49,2361,73.92,2414,56.44,55,14.51,833,26.08,1863,43.56,3164,195,8.94,2181
G0400130813800,Arizona,Maricopa County,813800,58,2829,2962,50,86.21,2782,98.34,2896,97.77,8,13.79,47,1.66,66,2.23,3699,299,9.08,3293
G0400130112513,Arizona,Maricopa County,112513,370,779,8131,291,78.65,390,50.06,2453,30.17,79,21.35,389,49.94,5678,69.83,5202,390,9.21,4236
G0400130061021,Arizona,Maricopa County,61021,0,0,1753,0,0,0,0,1252,71.42,0,0,0,0,501,28.58,3548,241,9.69,2488
G0400130112514,Arizona,Maricopa County,112514,155,148,3633,113,72.9,89,60.14,1887,51.94,42,27.1,59,39.86,1746,48.06,3108,256,9.73,2632
G0400130319910,Arizona,Maricopa County,319910,1411,3914,4011,1306,92.56,3587,91.65,3607,89.93,105,7.44,327,8.35,404,10.07,5675,433,9.76,4438
G0400130216850,Arizona,Maricopa County,216850,523.92,3823,4168,504.79,96.35,3646,95.37,3894,93.43,19.13,3.65,177,4.63,274,6.57,5064,386,9.79,3942
G0400130422205,Arizona,Maricopa County,422205,1854,1715,1384,1719,92.72,1495,87.17,1177,85.04,135,7.28,220,12.83,207,14.96,2332,231,9.84,2348
G0400130216840,Arizona,Maricopa County,216840,691,3924,4594,671,97.11,3787,96.51,4414,96.08,20,2.89,137,3.49,180,3.92,3877,284,9.98,2847
G0400130617900,Arizona,Maricopa County,617900,1030,2285,2691,981,95.24,2152,94.18,2437,90.56,49,4.76,133,5.82,254,9.44,3174,279,10.03,2782
G0400130061012,Arizona,Maricopa County,61012,932,4493,7680,650,69.74,3488,77.63,5708,74.32,282,30.26,1005,22.37,1972,25.68,2093,202,10.08,2003
G0400130116300,Arizona,Maricopa County,116300,4834,6357,6118,2916,60.32,3230,50.81,2622,42.86,1918,39.68,3127,49.19,3496,57.14,5549,500,10.19,4905
G0400130422105,Arizona,Maricopa County,422105,2805,2978,3178,2327,82.96,2138,71.79,1654,52.05,478,17.04,840,28.21,1524,47.95,1994,144,10.21,1410
G0400130319907,Arizona,Maricopa County,319907,2382,2473,2225,2253,94.58,2331,94.26,2040,91.69,129,5.42,142,5.74,185,8.31,2196,176,10.25,1717
G0400130071910,Arizona,Maricopa County,71910,5091,6878,6218,3670,72.09,4818,70.05,3831,61.61,1421,27.91,2060,29.95,2387,38.39,2576,212,10.3,2059
G0400130107601,Arizona,Maricopa County,107601,3054,3330,2800,2772,90.77,2698,81.02,2247,80.25,282,9.23,632,18.98,553,19.75,2464,191,10.39,1838
G0400130113400,Arizona,Maricopa County,113400,1101.29,943.96,684,832.96,75.63,673.73,71.37,433,63.3,268.33,24.37,270.23,28.63,251,36.7,3162,323,10.41,3104
G0400130612600,Arizona,Maricopa County,612600,139.07,2521,2342,134.07,96.4,2387,94.68,2178,93,5,3.6,134,5.32,164,7,4059,296,10.43,2837
G0400130422617,Arizona,Maricopa County,422617,26,6432,5866,22,84.62,5706,88.71,4973,84.78,4,15.38,726,11.29,893,15.22,6762,488,10.53,4633
G0400130816400,Arizona,Maricopa County,816400,87.21,468,6823,69.14,79.28,393,83.97,5835,85.52,18.07,20.72,75,16.03,988,14.48,3930,400,10.57,3786
G0400130106100,Arizona,Maricopa County,106100,4536,5172,5282,4325,95.35,4608,89.1,4450,84.25,211,4.65,564,10.9,832,15.75,3771,358,10.57,3387
G0400130420206,Arizona,Maricopa County,420206,2950.99,4269,3595,2902.26,98.35,4123,96.58,3362,93.52,48.73,1.65,146,3.42,233,6.48,2954,273,10.57,2582
G0400130422212,Arizona,Maricopa County,422212,5049,4677,4142,4818,95.42,4345,92.9,3696,89.23,231,4.58,332,7.1,446,10.77,4220,338,10.79,3133
G0400130115700,Arizona,Maricopa County,115700,4575,5194,6427,1387,30.32,806,15.52,1031,16.04,3188,69.68,4388,84.48,5396,83.96,4112,343,10.89,3149
G0400130723308,Arizona,Maricopa County,723308,303.62,2482.48,7519,259.24,85.38,2206.52,88.88,6310,83.92,44.38,14.62,275.96,11.12,1209,16.08,3125,245,10.9,2247
G0400130061014,Arizona,Maricopa County,61014,20,7,4905,5,25,5,71.43,3149,64.2,15,75,2,28.57,1756,35.8,6098,499,11,4537
G0400130612200,Arizona,Maricopa County,612200,35.01,6.38,3383,31.02,88.6,6.38,100,3056,90.33,3.99,11.4,0,0,327,9.67,4131,400,11.11,3601
G0400130612500,Arizona,Maricopa County,612500,668.93,1331,4306,651.93,97.46,1217,91.44,4028,93.54,17,2.54,114,8.56,278,6.46,2392,282,11.23,2511
G0400130112202,Arizona,Maricopa County,112202,3614,4617,4305,1839,50.89,1135,24.58,856,19.88,1775,49.11,3482,75.42,3449,80.12,2615,222,11.26,1972
G0400130061019,Arizona,Maricopa County,61019,1085,3847,3161,738,68.02,2803,72.86,1952,61.75,347,31.98,1044,27.14,1209,38.25,1796,188,11.28,1667
G0400130421102,Arizona,Maricopa County,421102,5662,6477,5280,5036,88.94,4547,70.2,3678,69.66,626,11.06,1930,29.8,1602,30.34,7032,568,11.3,5027
G0400130110902,Arizona,Maricopa County,110902,3728,4580,4304,3251,87.2,2901,63.34,2273,52.81,477,12.8,1679,36.66,2031,47.19,3213,346,11.36,3046
G0400130114402,Arizona,Maricopa County,114402,2109,2381,2014,557,26.41,470,19.74,402,19.96,1552,73.59,1911,80.26,1612,80.04,3426,281,11.49,2446
G0400130108400,Arizona,Maricopa County,108400,4570,5351,4888,4111,89.96,4172,77.97,3619,74.04,459,10.04,1179,22.03,1269,25.96,1797,136,11.54,1178
G0400130116203,Arizona,Maricopa County,116203,974,2120,4760,656,67.35,1353,63.82,3032,63.7,318,32.65,767,36.18,1728,36.3,3484,296,11.65,2541
G0400130116733,Arizona,Maricopa County,116733,57.76,203,283,57.76,100,195,96.06,259,91.52,0,0,8,3.94,24,8.48,3936,287,11.8,2432
G0400130421801,Arizona,Maricopa County,421801,2716,2748,2733,2348,86.45,1797,65.39,1264,46.25,368,13.55,951,34.61,1469,53.75,6094,470,11.83,3974
G0400130523006,Arizona,Maricopa County,523006,4568,5981,5448,4030,88.22,4679,78.23,3796,69.68,538,11.78,1302,21.77,1652,30.32,3290,270,11.92,2266
G0400130110600,Arizona,Maricopa County,110600,4633,5728,4881,3859,83.29,3612,63.06,3173,65.01,774,16.71,2116,36.94,1708,34.99,3029,324,11.94,2713
G0400130216842,Arizona,Maricopa County,216842,200.13,2853,3556,194.55,97.21,2750,96.39,3380,95.05,5.58,2.79,103,3.61,176,4.95,3871,405,11.95,3389
G0400130108901,Arizona,Maricopa County,108901,2682,3273,2508,2343,87.36,2046,62.51,1588,63.32,339,12.64,1227,37.49,920,36.68,3128,402,12,3350
G0400130103608,Arizona,Maricopa County,103608,1834,2648,3587,1721,93.84,2233,84.33,2883,80.37,113,6.16,415,15.67,704,19.63,4510,401,12.02,3337
G0400130420501,Arizona,Maricopa County,420501,5500,6372,6278,4569,83.07,4420,69.37,3635,57.9,931,16.93,1952,30.63,2643,42.1,3366,322,12.19,2641
G0400130112301,Arizona,Maricopa County,112301,4137,5961,5017,1850,44.72,930,15.6,687,13.69,2287,55.28,5031,84.4,4330,86.31,3855,293,12.33,2377
G0400130319706,Arizona,Maricopa County,319706,3319,4923,4946,2975,89.64,3632,73.78,2725,55.1,344,10.36,1291,26.22,2221,44.9,3482,416,12.36,3366
G0400130104501,Arizona,Maricopa County,104501,3250,4603,3697,2730,84,2174,47.23,1588,42.95,520,16,2429,52.77,2109,57.05,5098,469,12.41,3780
