GISJOIN,STATE,COUNTY,TRACTA,TotalEthnicityCount_1990,TotalEthnicityCount_2000,TotalEthnicityCount_2010,NotHispanicLatino_1990,NotHispanicPercent_1990,NotHispanicLatino_2000,NotHispanicPercent_2000,NotHispanicLatino_2010,NotHispanicPercent_2010,HispanicLatino_1990,HispanicPercent_1990,HispanicLatino_2000,HispanicPercent_2000,HispanicLatino_2010,HispanicPercent_2010,NotHispanic_2015,Hispanic_2015,HispanicPercent_2015
G0400130422629,Arizona,Maricopa County,422629,944.00,2518.00,3626.00,906.00,95.97,2238.00,88.88,2846.00,78.49,38.00,4.03,280.00,11.12,780.00,21.51,3547.00,617.00,37.64
G0400130422630,Arizona,Maricopa County,422630,2769.00,3972.00,3870.00,2591.00,93.57,3537.00,89.05,3126.00,80.78,178.00,6.43,435.00,10.95,744.00,19.22,2204.00,333.00,31.39
G0400130422631,Arizona,Maricopa County,422631,166.08,2046.00,3883.00,164.08,98.80,1807.00,88.32,3331.00,85.78,2.00,1.20,239.00,11.68,552.00,14.22,1647.00,1012.00,99.22
G0400130422632,Arizona,Maricopa County,422632,1621.00,3158.00,3975.00,1444.00,89.08,2660.00,84.23,3199.00,80.48,177.00,10.92,498.00,15.77,776.00,19.52,2392.00,1133.00,105.59
G0400130422633,Arizona,Maricopa County,422633,342.00,1875.00,2753.00,335.00,97.95,1693.00,90.29,2296.00,83.40,7.00,2.05,182.00,9.71,457.00,16.60,1137.00,167.00,33.74
G0400130422634,Arizona,Maricopa County,422634,3723.00,3993.00,4191.00,3257.00,87.48,3141.00,78.66,2822.00,67.33,466.00,12.52,852.00,21.34,1369.00,32.67,4632.00,2848.00,122.13
G0400130422635,Arizona,Maricopa County,422635,329.00,724.00,1111.00,329.00,100.00,718.00,99.17,971.00,87.40,0.00,0.00,6.00,0.83,140.00,12.60,4054.00,2596.00,106.18
G0400130422636,Arizona,Maricopa County,422636,380.00,1779.00,2489.00,333.00,87.63,1597.00,89.77,2086.00,83.81,47.00,12.37,182.00,10.23,403.00,16.19,2973.00,1411.00,87.10
G0400130422637,Arizona,Maricopa County,422637,1562.00,3143.00,3325.00,1465.00,93.79,2792.00,88.83,2765.00,83.16,97.00,6.21,351.00,11.17,560.00,16.84,3520.00,2232.00,116.25
G0400130422638,Arizona,Maricopa County,422638,64.00,1334.00,4096.00,53.00,82.81,1175.00,88.08,3314.00,80.91,11.00,17.19,159.00,11.92,782.00,19.09,4828.00,2098.00,85.22
G0400130422639,Arizona,Maricopa County,422639,3441.00,4317.00,3658.00,3427.00,99.59,4259.00,98.66,3562.00,97.38,14.00,0.41,58.00,1.34,96.00,2.62,1753.00,156.00,29.43
G0400130422640,Arizona,Maricopa County,422640,393.65,1345.00,4647.00,393.65,100.00,1249.00,92.86,4016.00,86.42,0.00,0.00,96.00,7.14,631.00,13.58,3413.00,127.00,5.79
G0400130422641,Arizona,Maricopa County,422641,85.00,3178.00,6346.00,61.00,71.76,2774.00,87.29,4959.00,78.14,24.00,28.24,404.00,12.71,1387.00,21.86,3803.00,137.00,7.90
G0400130422642,Arizona,Maricopa County,422642,16.92,1259.00,5715.00,16.92,100.00,1116.00,88.64,4801.00,84.01,0.00,0.00,143.00,11.36,914.00,15.99,3858.00,179.00,8.55
G0400130422643,Arizona,Maricopa County,422643,0.28,2584.36,5789.00,0.28,100.00,2276.22,88.08,4871.00,84.14,0.00,0.00,308.14,11.92,918.00,15.86,3960.00,73.00,3.75
G0400130422644,Arizona,Maricopa County,422644,0.32,288.64,7287.00,0.32,100.00,281.78,97.62,6472.00,88.82,0.00,0.00,6.86,2.38,815.00,11.18,4928.00,29.00,1.38
G0400130422646,Arizona,Maricopa County,422646,0.00,0.00,7730.00,0.00,#DIV/0!,0.00,0.00,6423.00,83.09,0.00,0.00,0.00,0.00,1307.00,16.91,5369.00,658.00,34.20
G0400130522800,Arizona,Maricopa County,522800,2490.00,1039.00,1685.00,2339.00,93.94,910.00,87.58,1490.00,88.43,151.00,6.06,129.00,12.42,195.00,11.57,4599.00,1197.00,66.24
G0400130522901,Arizona,Maricopa County,522901,2509.00,3672.00,4410.00,2230.00,88.88,3103.00,84.50,3238.00,73.42,279.00,11.12,569.00,15.50,1172.00,26.58,3490.00,375.00,25.53
G0400130522903,Arizona,Maricopa County,522903,2593.35,4716.00,5168.00,1538.20,59.31,1749.00,37.09,1474.00,28.52,1055.15,40.69,2967.00,62.91,3694.00,71.48,2097.00,411.00,33.01
G0400130522904,Arizona,Maricopa County,522904,3036.65,4493.00,4549.00,1573.80,51.83,1831.00,40.75,1585.00,34.84,1462.85,48.17,2662.00,59.25,2964.00,65.16,2055.00,795.00,65.76
G0400130523002,Arizona,Maricopa County,523002,5456.00,6611.00,5832.00,4074.00,74.67,3296.00,49.86,2349.00,40.28,1382.00,25.33,3315.00,50.14,3483.00,59.72,4949.00,1192.00,45.71
G0400130523003,Arizona,Maricopa County,523003,4861.00,6320.00,6568.00,4207.00,86.55,4389.00,69.45,4005.00,60.98,654.00,13.45,1931.00,30.55,2563.00,39.02,3905.00,560.00,32.86
G0400130523005,Arizona,Maricopa County,523005,3329.00,4911.00,4853.00,3052.00,91.68,4203.00,85.58,3918.00,80.73,277.00,8.32,708.00,14.42,935.00,19.27,819.00,2085.00,282.90
G0400130523006,Arizona,Maricopa County,523006,4568.00,5981.00,5448.00,4030.00,88.22,4679.00,78.23,3796.00,69.68,538.00,11.78,1302.00,21.77,1652.00,30.32,3290.00,270.00,25.00
G0400130523102,Arizona,Maricopa County,523102,2749.00,5595.00,5327.00,1092.00,39.72,2836.00,50.69,2400.00,45.05,1657.00,60.28,2759.00,49.31,2927.00,54.95,3240.00,419.00,33.82
G0400130523103,Arizona,Maricopa County,523103,2303.00,6543.00,5839.00,1996.00,86.67,5537.00,84.62,4499.00,77.05,307.00,13.33,1006.00,15.38,1340.00,22.95,996.00,2018.00,227.77
G0400130523104,Arizona,Maricopa County,523104,3772.00,6456.00,6026.00,1501.00,39.79,2595.00,40.20,3048.00,50.58,2271.00,60.21,3861.00,59.80,2978.00,49.42,4688.00,1380.00,58.67
G0400130610000,Arizona,Maricopa County,610000,2575.28,3744.00,7044.00,2214.28,85.98,3256.00,86.97,6029.00,85.59,361.00,14.02,488.00,13.03,1015.00,14.41,2842.00,1128.00,72.82
G0400130610100,Arizona,Maricopa County,610100,151.08,286.90,1322.00,149.08,98.68,275.60,96.06,1218.00,92.13,2.00,1.32,11.30,3.94,104.00,7.87,3233.00,2617.00,114.23
G0400130610200,Arizona,Maricopa County,610200,38.74,714.17,7612.00,37.42,96.59,682.29,95.54,7095.00,93.21,1.32,3.41,31.88,4.46,517.00,6.79,3121.00,798.00,37.66
G0400130610300,Arizona,Maricopa County,610300,39.91,652.95,8959.00,39.52,99.02,624.43,95.63,8025.00,89.57,0.39,0.98,28.52,4.37,934.00,10.43,2156.00,2529.00,149.91
G0400130610400,Arizona,Maricopa County,610400,5.02,105.79,5129.00,5.02,100.00,101.02,95.49,4583.00,89.35,0.00,0.00,4.77,4.51,546.00,10.65,2077.00,2597.00,220.27
G0400130610500,Arizona,Maricopa County,610500,1049.71,3475.62,6496.00,984.52,93.79,3291.26,94.70,6014.00,92.58,65.19,6.21,184.36,5.30,482.00,7.42,1250.00,2588.00,213.18
G0400130610600,Arizona,Maricopa County,610600,20.25,9.16,5546.00,19.15,94.57,9.09,99.24,5075.00,91.51,1.10,5.43,0.07,0.76,471.00,8.49,1288.00,3177.00,267.88
G0400130610700,Arizona,Maricopa County,610700,1830.86,4112.40,7193.00,1757.86,96.01,3910.31,95.09,6740.00,93.70,73.00,3.99,202.09,4.91,453.00,6.30,2719.00,947.00,78.98
G0400130610800,Arizona,Maricopa County,610800,12.15,53.00,3505.00,12.15,100.00,49.00,92.45,3210.00,91.58,0.00,0.00,4.00,7.55,295.00,8.42,2250.00,2023.00,121.57
G0400130610900,Arizona,Maricopa County,610900,773.95,2214.31,6027.00,730.08,94.33,2081.36,94.00,5453.00,90.48,43.87,5.67,132.95,6.00,574.00,9.52,2823.00,671.00,44.79
G0400130611000,Arizona,Maricopa County,611000,0.48,1.00,2461.00,0.47,97.92,1.00,100.00,2213.00,89.92,0.01,2.08,0.00,0.00,248.00,10.08,3980.00,333.00,14.41
G0400130611100,Arizona,Maricopa County,611100,10.57,20.00,3270.00,10.45,98.86,20.00,100.00,2957.00,90.43,0.12,1.14,0.00,0.00,313.00,9.57,3738.00,2342.00,108.08
G0400130611200,Arizona,Maricopa County,611200,77.00,1503.00,5911.00,61.00,79.22,1392.00,92.61,5292.00,89.53,16.00,20.78,111.00,7.39,619.00,10.47,2673.00,394.00,36.35
G0400130611300,Arizona,Maricopa County,611300,0.33,15.74,4659.00,0.33,100.00,15.74,100.00,4193.00,90.00,0.00,0.00,0.00,0.00,466.00,10.00,2539.00,289.00,28.00
G0400130611400,Arizona,Maricopa County,611400,0.25,1975.39,6232.00,0.25,100.00,1795.26,90.88,5697.00,91.42,0.00,0.00,180.13,9.12,535.00,8.58,3113.00,106.00,6.98
G0400130611500,Arizona,Maricopa County,611500,12.55,433.31,5639.00,12.55,100.00,405.21,93.52,5196.00,92.14,0.00,0.00,28.10,6.48,443.00,7.86,4758.00,58.00,2.74
G0400130611600,Arizona,Maricopa County,611600,60.74,814.64,3062.00,60.74,100.00,763.25,93.69,2813.00,91.87,0.00,0.00,51.39,6.31,249.00,8.13,4562.00,77.00,3.27
G0400130611700,Arizona,Maricopa County,611700,1636.49,5273.00,6304.00,1575.82,96.29,4951.00,93.89,5792.00,91.88,60.67,3.71,322.00,6.11,512.00,8.12,3137.00,937.00,70.72
G0400130611800,Arizona,Maricopa County,611800,2174.50,7393.00,6540.00,2086.17,95.94,6849.00,92.64,5894.00,90.12,88.33,4.06,544.00,7.36,646.00,9.88,4555.00,775.00,43.88
G0400130611900,Arizona,Maricopa County,611900,587.46,989.64,3171.00,417.46,71.06,614.27,62.07,2690.00,84.83,170.00,28.94,375.37,37.93,481.00,15.17,3855.00,144.00,8.01
G0400130612000,Arizona,Maricopa County,612000,87.76,320.27,2710.00,81.75,93.15,302.27,94.38,2536.00,93.58,6.01,6.85,18.00,5.62,174.00,6.42,5817.00,77.00,2.96
G0400130612200,Arizona,Maricopa County,612200,35.01,6.38,3383.00,31.02,88.60,6.38,100.00,3056.00,90.33,3.99,11.40,0.00,0.00,327.00,9.67,4131.00,400.00,18.55
G0400130612300,Arizona,Maricopa County,612300,203.89,510.09,7278.00,195.89,96.08,494.09,96.86,6465.00,88.83,8.00,3.92,16.00,3.14,813.00,11.17,1314.00,2130.00,196.13
G0400130612400,Arizona,Maricopa County,612400,33.01,3123.52,6840.00,32.01,96.97,2911.52,93.21,6263.00,91.56,1.00,3.03,212.00,6.79,577.00,8.44,2460.00,2331.00,130.59
G0400130612500,Arizona,Maricopa County,612500,668.93,1331.00,4306.00,651.93,97.46,1217.00,91.44,4028.00,93.54,17.00,2.54,114.00,8.56,278.00,6.46,2392.00,282.00,18.86
G0400130612600,Arizona,Maricopa County,612600,139.07,2521.00,2342.00,134.07,96.40,2387.00,94.68,2178.00,93.00,5.00,3.60,134.00,5.32,164.00,7.00,4059.00,296.00,21.56
G0400130612700,Arizona,Maricopa County,612700,90.18,2426.00,2271.00,89.02,98.71,2327.00,95.92,2140.00,94.23,1.16,1.29,99.00,4.08,131.00,5.77,1216.00,158.00,32.31
G0400130612800,Arizona,Maricopa County,612800,170.82,2228.00,2110.00,154.98,90.73,2108.00,94.61,1979.00,93.79,15.84,9.27,120.00,5.39,131.00,6.21,1539.00,549.00,66.14
G0400130612900,Arizona,Maricopa County,612900,155.00,2149.00,2409.00,142.00,91.61,2019.00,93.95,2299.00,95.43,13.00,8.39,130.00,6.05,110.00,4.57,1472.00,3928.00,295.78
G0400130613000,Arizona,Maricopa County,613000,722.00,1813.00,2945.00,699.00,96.81,1735.00,95.70,2814.00,95.55,23.00,3.19,78.00,4.30,131.00,4.45,1087.00,2691.00,226.52
G0400130613100,Arizona,Maricopa County,613100,99.00,2460.00,2640.00,95.00,95.96,2418.00,98.29,2574.00,97.50,4.00,4.04,42.00,1.71,66.00,2.50,3061.00,2674.00,143.76
G0400130613200,Arizona,Maricopa County,613200,1464.00,3044.00,3552.00,1411.00,96.38,2918.00,95.86,3340.00,94.03,53.00,3.62,126.00,4.14,212.00,5.97,1617.00,3653.00,253.86
G0400130613300,Arizona,Maricopa County,613300,566.00,5748.00,7102.00,552.00,97.53,5503.00,95.74,6666.00,93.86,14.00,2.47,245.00,4.26,436.00,6.14,4384.00,1356.00,57.26
G0400130613400,Arizona,Maricopa County,613400,46.00,3542.69,3937.00,46.00,100.00,3276.64,92.49,3559.00,90.40,0.00,0.00,266.05,7.51,378.00,9.60,2078.00,2927.00,153.09
G0400130613500,Arizona,Maricopa County,613500,16.00,892.00,4082.00,16.00,100.00,877.00,98.32,3617.00,88.61,0.00,0.00,15.00,1.68,465.00,11.39,583.00,5772.00,358.29
G0400130613600,Arizona,Maricopa County,613600,311.83,3252.00,3967.00,303.86,97.44,2975.00,91.48,3547.00,89.41,7.97,2.56,277.00,8.52,420.00,10.59,612.00,6708.00,362.20
G0400130613700,Arizona,Maricopa County,613700,46.17,990.00,5341.00,45.14,97.77,911.00,92.02,4731.00,88.58,1.03,2.23,79.00,7.98,610.00,11.42,649.00,1983.00,243.31
G0400130613800,Arizona,Maricopa County,613800,848.00,3634.00,4075.00,800.00,94.34,3344.00,92.02,3713.00,91.12,48.00,5.66,290.00,7.98,362.00,8.88,3597.00,651.00,35.19
G0400130613900,Arizona,Maricopa County,613900,116.00,2915.00,6154.00,110.00,94.83,2666.00,91.46,5512.00,89.57,6.00,5.17,249.00,8.54,642.00,10.43,5897.00,1454.00,51.98
G0400130614000,Arizona,Maricopa County,614000,50.00,5083.00,4398.00,43.00,86.00,4656.00,91.60,3973.00,90.34,7.00,14.00,427.00,8.40,425.00,9.66,4333.00,917.00,42.67
G0400130614100,Arizona,Maricopa County,614100,56.00,5695.00,5724.00,1.00,1.79,5231.00,91.85,5189.00,90.65,55.00,98.21,464.00,8.15,535.00,9.35,3709.00,1442.00,59.64
G0400130614200,Arizona,Maricopa County,614200,205.02,5261.00,4891.00,205.02,100.00,4934.00,93.78,4516.00,92.33,0.00,0.00,327.00,6.22,375.00,7.67,1189.00,65.00,7.86
G0400130614300,Arizona,Maricopa County,614300,140.00,3415.63,3124.00,140.00,100.00,3210.63,94.00,2886.00,92.38,0.00,0.00,205.00,6.00,238.00,7.62,5073.00,95.00,4.86
G0400130614400,Arizona,Maricopa County,614400,1422.00,3535.37,3567.00,1376.00,96.77,3237.37,91.57,3118.00,87.41,46.00,3.23,298.00,8.43,449.00,12.59,4781.00,156.00,6.90
G0400130614500,Arizona,Maricopa County,614500,1285.00,3718.00,4656.00,1219.00,94.86,3110.00,83.65,3588.00,77.06,66.00,5.14,608.00,16.35,1068.00,22.94,1365.00,4536.00,329.65
G0400130614600,Arizona,Maricopa County,614600,2762.00,7229.00,6628.00,2598.00,94.06,6540.00,90.47,5714.00,86.21,164.00,5.94,689.00,9.53,914.00,13.79,3249.00,132.00,7.56
G0400130614700,Arizona,Maricopa County,614700,2349.67,3185.09,2612.00,2203.49,93.78,2595.80,81.50,2036.00,77.95,146.18,6.22,589.29,18.50,576.00,22.05,2915.00,145.00,9.78
G0400130614800,Arizona,Maricopa County,614800,3600.00,4625.00,4154.00,3444.00,95.67,4232.00,91.50,3492.00,84.06,156.00,4.33,393.00,8.50,662.00,15.94,107.00,1019.00,300.59
G0400130614900,Arizona,Maricopa County,614900,222.79,3197.23,3495.00,214.80,96.41,2970.27,92.90,3211.00,91.87,7.99,3.59,226.96,7.10,284.00,8.13,1617.00,3666.00,262.80
G0400130615000,Arizona,Maricopa County,615000,36.84,601.00,6630.00,35.70,96.91,581.00,96.67,6139.00,92.59,1.14,3.09,20.00,3.33,491.00,7.41,2170.00,5407.00,262.48
G0400130615100,Arizona,Maricopa County,615100,169.69,3470.00,3383.00,164.42,96.89,3278.00,94.47,3157.00,93.32,5.27,3.11,192.00,5.53,226.00,6.68,988.00,4150.00,377.62
G0400130615200,Arizona,Maricopa County,615200,117.47,2777.00,5386.00,111.88,95.24,2665.00,95.97,4979.00,92.44,5.59,4.76,112.00,4.03,407.00,7.56,1244.00,2732.00,207.44
G0400130615300,Arizona,Maricopa County,615300,824.00,1405.00,2259.00,787.00,95.51,1329.00,94.59,2103.00,93.09,37.00,4.49,76.00,5.41,156.00,6.91,145.00,935.00,343.75
G0400130615400,Arizona,Maricopa County,615400,2779.85,2820.95,2679.00,2766.85,99.53,2785.95,98.76,2628.00,98.10,13.00,0.47,35.00,1.24,51.00,1.90,1906.00,634.00,47.99
G0400130615500,Arizona,Maricopa County,615500,2626.15,3183.05,2817.00,2606.15,99.24,3159.05,99.25,2767.00,98.23,20.00,0.76,24.00,0.75,50.00,1.77,776.00,3045.00,277.83
G0400130615600,Arizona,Maricopa County,615600,7.00,2716.00,3776.00,7.00,100.00,2688.00,98.97,3544.00,93.86,0.00,0.00,28.00,1.03,232.00,6.14,659.00,4006.00,341.81
G0400130615700,Arizona,Maricopa County,615700,653.00,3304.00,2991.00,641.00,98.16,3073.00,93.01,2724.00,91.07,12.00,1.84,231.00,6.99,267.00,8.93,909.00,5857.00,369.29
G0400130615800,Arizona,Maricopa County,615800,3446.00,5291.00,4906.00,3271.00,94.92,4958.00,93.71,4508.00,91.89,175.00,5.08,333.00,6.29,398.00,8.11,1748.00,557.00,56.66
G0400130615900,Arizona,Maricopa County,615900,31.00,3262.00,4362.00,2.00,6.45,2957.00,90.65,3923.00,89.94,29.00,93.55,305.00,9.35,439.00,10.06,3229.00,472.00,24.96
G0400130616000,Arizona,Maricopa County,616000,121.00,1865.00,2237.00,119.00,98.35,1715.00,91.96,2035.00,90.97,2.00,1.65,150.00,8.04,202.00,9.03,3429.00,2459.00,106.36
G0400130616100,Arizona,Maricopa County,616100,2373.82,3443.00,3572.00,2218.20,93.44,3115.00,90.47,3126.00,87.51,155.62,6.56,328.00,9.53,446.00,12.49,1681.00,610.00,66.89
G0400130616200,Arizona,Maricopa County,616200,2762.18,3698.00,3219.00,2565.80,92.89,3301.00,89.26,2729.00,84.78,196.38,7.11,397.00,10.74,490.00,15.22,1151.00,3584.00,241.84
G0400130616300,Arizona,Maricopa County,616300,1101.00,1614.00,2044.00,1009.00,91.64,1477.00,91.51,1781.00,87.13,92.00,8.36,137.00,8.49,263.00,12.87,2631.00,95.00,5.90
G0400130616400,Arizona,Maricopa County,616400,3731.00,5162.00,5701.00,3560.00,95.42,4791.00,92.81,5190.00,91.04,171.00,4.58,371.00,7.19,511.00,8.96,1138.00,2257.00,206.12
G0400130616500,Arizona,Maricopa County,616500,2783.33,2770.91,3438.00,2610.51,93.79,2527.20,91.20,2780.00,80.86,172.82,6.21,243.71,8.80,658.00,19.14,1888.00,3701.00,193.57
G0400130616600,Arizona,Maricopa County,616600,5654.00,6020.00,5696.00,5292.00,93.60,5359.00,89.02,4541.00,79.72,362.00,6.40,661.00,10.98,1155.00,20.28,173.00,1560.00,315.79
G0400130616700,Arizona,Maricopa County,616700,4650.00,5364.00,4738.00,4374.00,94.06,4886.00,91.09,4047.00,85.42,276.00,5.94,478.00,8.91,691.00,14.58,1949.00,2542.00,170.72
G0400130616800,Arizona,Maricopa County,616800,5311.00,6152.00,5595.00,5027.00,94.65,5544.00,90.12,4690.00,83.82,284.00,5.35,608.00,9.88,905.00,16.18,511.00,2348.00,395.95
G0400130616900,Arizona,Maricopa County,616900,733.21,2553.77,4288.00,712.20,97.13,2383.73,93.34,3824.00,89.18,21.01,2.87,170.04,6.66,464.00,10.82,1400.00,240.00,40.89
G0400130617000,Arizona,Maricopa County,617000,3597.00,5822.00,5891.00,3440.00,95.64,5180.00,88.97,5041.00,85.57,157.00,4.36,642.00,11.03,850.00,14.43,662.00,2252.00,268.74
G0400130617100,Arizona,Maricopa County,617100,373.48,2629.16,2222.00,347.19,92.96,2480.25,94.34,2024.00,91.09,26.29,7.04,148.91,5.66,198.00,8.91,2746.00,915.00,64.30
G0400130617200,Arizona,Maricopa County,617200,442.58,2544.00,2538.00,422.24,95.40,2406.00,94.58,2354.00,92.75,20.34,4.60,138.00,5.42,184.00,7.25,3263.00,507.00,32.31
G0400130617300,Arizona,Maricopa County,617300,1040.97,2951.84,3030.00,1001.60,96.22,2767.75,93.76,2767.00,91.32,39.37,3.78,184.09,6.24,263.00,8.68,2971.00,615.00,34.19
G0400130617400,Arizona,Maricopa County,617400,3276.59,5192.78,6813.00,3266.56,99.69,5087.75,97.98,6351.00,93.22,10.03,0.31,105.03,2.02,462.00,6.78,1215.00,4502.00,342.62
G0400130617500,Arizona,Maricopa County,617500,2630.00,3517.00,3316.00,2622.00,99.70,3396.00,96.56,3130.00,94.39,8.00,0.30,121.00,3.44,186.00,5.61,1197.00,7185.00,287.06
G0400130617600,Arizona,Maricopa County,617600,1690.00,6060.00,6106.00,1596.00,94.44,5514.00,90.99,5260.00,86.14,94.00,5.56,546.00,9.01,846.00,13.86,959.00,2977.00,299.50
G0400130617700,Arizona,Maricopa County,617700,779.00,3203.00,3318.00,753.00,96.66,2849.00,88.95,2831.00,85.32,26.00,3.34,354.00,11.05,487.00,14.68,909.00,4513.00,369.01
G0400130617800,Arizona,Maricopa County,617800,1940.00,3254.00,2613.00,1821.00,93.87,2914.00,89.55,2350.00,89.93,119.00,6.13,340.00,10.45,263.00,10.07,1426.00,5322.00,358.87
G0400130617900,Arizona,Maricopa County,617900,1030.00,2285.00,2691.00,981.00,95.24,2152.00,94.18,2437.00,90.56,49.00,4.76,133.00,5.82,254.00,9.44,3174.00,279.00,16.57
G0400130618000,Arizona,Maricopa County,618000,2939.00,4681.00,4555.00,2750.00,93.57,4174.00,89.17,3949.00,86.70,189.00,6.43,507.00,10.83,606.00,13.30,4762.00,2358.00,81.20
G0400130618100,Arizona,Maricopa County,618100,4956.00,4899.00,4347.00,4726.00,95.36,4473.00,91.30,3897.00,89.65,230.00,4.64,426.00,8.70,450.00,10.35,3136.00,3555.00,166.28
G0400130618200,Arizona,Maricopa County,618200,3996.00,4191.00,3851.00,3752.00,93.89,3700.00,88.28,3115.00,80.89,244.00,6.11,491.00,11.72,736.00,19.11,2128.00,3332.00,242.86
G0400130618300,Arizona,Maricopa County,618300,3531.00,3408.00,3026.00,3307.00,93.66,3129.00,91.81,2593.00,85.69,224.00,6.34,279.00,8.19,433.00,14.31,1437.00,1688.00,186.52
G0400130618400,Arizona,Maricopa County,618400,4165.00,4169.00,3849.00,3877.00,93.09,3607.00,86.52,2960.00,76.90,288.00,6.91,562.00,13.48,889.00,23.10,4030.00,781.00,53.90
G0400130618500,Arizona,Maricopa County,618500,3503.00,4042.00,3647.00,3279.00,93.61,3553.00,87.90,2893.00,79.33,224.00,6.39,489.00,12.10,754.00,20.67,1723.00,3458.00,234.76
G0400130618600,Arizona,Maricopa County,618600,4431.00,4499.00,4241.00,4096.00,92.44,3795.00,84.35,3080.00,72.62,335.00,7.56,704.00,15.65,1161.00,27.38,1649.00,3039.00,264.72
G0400130618700,Arizona,Maricopa County,618700,2324.00,2977.00,2859.00,2175.00,93.59,2493.00,83.74,1981.00,69.29,149.00,6.41,484.00,16.26,878.00,30.71,2833.00,3838.00,168.93
G0400130618800,Arizona,Maricopa County,618800,4291.00,5533.00,5074.00,3837.00,89.42,4266.00,77.10,2966.00,58.45,454.00,10.58,1267.00,22.90,2108.00,41.55,3173.00,4733.00,230.65
G0400130618900,Arizona,Maricopa County,618900,4835.00,6523.00,6215.00,4585.00,94.83,5966.00,91.46,5171.00,83.20,250.00,5.17,557.00,8.54,1044.00,16.80,4414.00,797.00,52.64
G0400130619000,Arizona,Maricopa County,619000,1462.00,2881.00,3068.00,1409.00,96.37,2709.00,94.03,2743.00,89.41,53.00,3.63,172.00,5.97,325.00,10.59,2188.00,1414.00,107.69
G0400130619100,Arizona,Maricopa County,619100,2719.00,3085.00,2954.00,2560.00,94.15,2617.00,84.83,2223.00,75.25,159.00,5.85,468.00,15.17,731.00,24.75,2666.00,663.00,47.49
G0400130619200,Arizona,Maricopa County,619200,2451.00,4256.00,4453.00,2354.00,96.04,3779.00,88.79,3112.00,69.89,97.00,3.96,477.00,11.21,1341.00,30.11,2454.00,986.00,63.49
G0400130619300,Arizona,Maricopa County,619300,3217.00,3958.00,3972.00,3052.00,94.87,3233.00,81.68,2978.00,74.97,165.00,5.13,725.00,18.32,994.00,25.03,3521.00,913.00,42.39
G0400130619400,Arizona,Maricopa County,619400,1708.00,3018.00,4269.00,1597.00,93.50,2026.00,67.13,2824.00,66.15,111.00,6.50,992.00,32.87,1445.00,33.85,2266.00,2697.00,159.30
G0400130619500,Arizona,Maricopa County,619500,4007.00,4681.00,5092.00,3747.00,93.51,3855.00,82.35,3624.00,71.17,260.00,6.49,826.00,17.65,1468.00,28.83,2844.00,621.00,50.16
G0400130619600,Arizona,Maricopa County,619600,2253.00,2116.00,1912.00,2172.00,96.40,1923.00,90.88,1549.00,81.01,81.00,3.60,193.00,9.12,363.00,18.99,4006.00,960.00,41.49
G0400130619700,Arizona,Maricopa County,619700,2358.00,3683.00,3443.00,2206.00,93.55,3246.00,88.13,2814.00,81.73,152.00,6.45,437.00,11.87,629.00,18.27,4884.00,248.00,11.77
G0400130619800,Arizona,Maricopa County,619800,1148.00,4391.00,4312.00,1084.00,94.43,4104.00,93.46,3894.00,90.31,64.00,5.57,287.00,6.54,418.00,9.69,3660.00,1149.00,53.44
G0400130619900,Arizona,Maricopa County,619900,1573.97,6369.00,5990.00,1524.97,96.89,6112.00,95.96,5679.00,94.81,49.00,3.11,257.00,4.04,311.00,5.19,3282.00,614.00,44.30
G0400130723303,Arizona,Maricopa County,723303,2.36,31.40,26.00,1.94,82.20,28.34,90.25,21.00,80.77,0.42,17.80,3.06,9.75,5.00,19.23,2509.00,626.00,48.94
G0400130723304,Arizona,Maricopa County,723304,1612.18,2556.45,4230.00,1255.97,77.91,1863.54,72.90,2529.00,59.79,356.21,22.09,692.91,27.10,1701.00,40.21,2548.00,396.00,29.53
G0400130723305,Arizona,Maricopa County,723305,2746.96,2726.54,2745.00,1500.87,54.64,1363.54,50.01,1092.00,39.78,1246.09,45.36,1363.00,49.99,1653.00,60.22,1699.00,1639.00,133.36
G0400130723306,Arizona,Maricopa County,723306,101.04,171.46,5259.00,60.13,59.51,128.46,74.92,3105.00,59.04,40.91,40.49,43.00,25.08,2154.00,40.96,3991.00,1315.00,62.83
G0400130723307,Arizona,Maricopa County,723307,27.84,359.66,2186.00,22.85,82.08,320.60,89.14,1886.00,86.28,4.99,17.92,39.06,10.86,300.00,13.72,4222.00,501.00,22.22
G0400130723308,Arizona,Maricopa County,723308,303.62,2482.48,7519.00,259.24,85.38,2206.52,88.88,6310.00,83.92,44.38,14.62,275.96,11.12,1209.00,16.08,3125.00,245.00,20.75
G0400130810000,Arizona,Maricopa County,810000,47.00,1662.00,1711.00,35.00,74.47,1480.00,89.05,1504.00,87.90,12.00,25.53,182.00,10.95,207.00,12.10,2652.00,1386.00,84.77
G0400130810100,Arizona,Maricopa County,810100,6241.55,7028.17,6272.00,5934.44,95.08,6627.60,94.30,5773.00,92.04,307.11,4.92,400.57,5.70,499.00,7.96,2035.00,913.00,106.04
G0400130810200,Arizona,Maricopa County,810200,1375.85,3315.78,3412.00,1270.79,92.36,2973.63,89.68,2973.00,87.13,105.06,7.64,342.15,10.32,439.00,12.87,2916.00,2015.00,104.51
G0400130810300,Arizona,Maricopa County,810300,4440.13,5954.05,5557.00,4054.68,91.32,5284.77,88.76,4625.00,83.23,385.45,8.68,669.28,11.24,932.00,16.77,2768.00,1210.00,74.28
