GISJOIN,STATE,COUNTY,TRACTA,TotalEthnicityCount_1990,TotalEthnicityCount_2000,TotalEthnicityCount_2010,NotHispanicLatino_1990,NotHispanicPercent_1990,NotHispanicLatino_2000,NotHispanicPercent_2000,NotHispanicLatino_2010,NotHispanicPercent_2010,HispanicLatino_1990,HispanicPercent_1990,HispanicLatino_2000,HispanicPercent_2000,HispanicLatino_2010,HispanicPercent_2010,NotHispanic_2015,Hispanic_2015,HispanicPercent_2015
G0400130422506,Arizona,Maricopa County,422506,2225.00,5564.00,5072.00,2123.00,95.42,5001.00,89.88,4380.00,86.36,102.00,4.58,563.00,10.12,692.00,13.64,3944.00,614.00,53.30
G0400130422507,Arizona,Maricopa County,422507,1716.00,4783.00,4523.00,1645.00,95.86,4501.00,94.10,4107.00,90.80,71.00,4.14,282.00,5.90,416.00,9.20,2571.00,64.00,8.50
G0400130422508,Arizona,Maricopa County,422508,4205.00,4005.00,3670.00,3931.00,93.48,3556.00,88.79,3114.00,84.85,274.00,6.52,449.00,11.21,556.00,15.15,430.00,1691.00,292.56
G0400130422509,Arizona,Maricopa County,422509,2100.00,5778.00,5113.00,1946.00,92.67,5190.00,89.82,4292.00,83.94,154.00,7.33,588.00,10.18,821.00,16.06,846.00,3976.00,329.14
G0400130422510,Arizona,Maricopa County,422510,611.00,3075.00,3416.00,594.00,97.22,2849.00,92.65,2942.00,86.12,17.00,2.78,226.00,7.35,474.00,13.88,10.00,0.00,NA
G0400130422511,Arizona,Maricopa County,422511,545.00,2778.00,3044.00,515.00,94.50,2529.00,91.04,2581.00,84.79,30.00,5.50,249.00,8.96,463.00,15.21,0.00,69.00,287.50
G0400130422512,Arizona,Maricopa County,422512,100.94,5379.00,5037.00,72.68,72.00,4759.00,88.47,4155.00,82.49,28.26,28.00,620.00,11.53,882.00,17.51,2793.00,572.00,41.15
G0400130422513,Arizona,Maricopa County,422513,3411.00,4534.00,4280.00,3248.00,95.22,4070.00,89.77,3628.00,84.77,163.00,4.78,464.00,10.23,652.00,15.23,2848.00,269.00,29.89
G0400130422514,Arizona,Maricopa County,422514,2694.00,3863.00,4352.00,2453.00,91.05,3359.00,86.95,3492.00,80.24,241.00,8.95,504.00,13.05,860.00,19.76,652.00,234.00,109.35
G0400130422606,Arizona,Maricopa County,422606,805.06,3766.00,9135.00,737.32,91.59,3441.00,91.37,8193.00,89.69,67.74,8.41,325.00,8.63,942.00,10.31,3728.00,345.00,28.21
G0400130422607,Arizona,Maricopa County,422607,3632.00,4496.00,4148.00,3595.00,98.98,4374.00,97.29,3940.00,94.99,37.00,1.02,122.00,2.71,208.00,5.01,533.00,1027.00,265.37
G0400130422609,Arizona,Maricopa County,422609,3156.00,3809.00,3819.00,2832.00,89.73,3317.00,87.08,3032.00,79.39,324.00,10.27,492.00,12.92,787.00,20.61,2823.00,5963.00,255.59
G0400130422610,Arizona,Maricopa County,422610,2968.00,3088.00,3039.00,2944.00,99.19,3037.00,98.35,2955.00,97.24,24.00,0.81,51.00,1.65,84.00,2.76,671.00,1490.00,185.55
G0400130422615,Arizona,Maricopa County,422615,243.33,2664.00,6698.00,216.33,88.90,2368.00,88.89,5497.00,82.07,27.00,11.10,296.00,11.11,1201.00,17.93,295.00,2101.00,352.52
G0400130422616,Arizona,Maricopa County,422616,1116.06,2314.00,4513.00,1045.06,93.64,1994.00,86.17,3689.00,81.74,71.00,6.36,320.00,13.83,824.00,18.26,3096.00,434.00,28.05
G0400130422617,Arizona,Maricopa County,422617,26.00,6432.00,5866.00,22.00,84.62,5706.00,88.71,4973.00,84.78,4.00,15.38,726.00,11.29,893.00,15.22,6762.00,488.00,20.99
G0400130422618,Arizona,Maricopa County,422618,954.35,3263.00,2954.00,949.35,99.48,3244.00,99.42,2914.00,98.65,5.00,0.52,19.00,0.58,40.00,1.35,0.00,0.00,NA
G0400130422620,Arizona,Maricopa County,422620,539.00,2450.00,3261.00,512.00,94.99,2233.00,91.14,2824.00,86.60,27.00,5.01,217.00,8.86,437.00,13.40,2373.00,2572.00,134.80
G0400130422621,Arizona,Maricopa County,422621,135.00,2637.81,4302.00,116.00,85.93,2360.81,89.50,3752.00,87.22,19.00,14.07,277.00,10.50,550.00,12.78,2133.00,1270.00,96.80
G0400130422622,Arizona,Maricopa County,422622,661.00,4094.19,4237.00,628.00,95.01,3765.19,91.96,3670.00,86.62,33.00,4.99,329.00,8.04,567.00,13.38,2492.00,658.00,54.07
G0400130422623,Arizona,Maricopa County,422623,20.00,1244.00,4812.00,15.00,75.00,1134.00,91.16,4228.00,87.86,5.00,25.00,110.00,8.84,584.00,12.14,2091.00,2100.00,133.59
G0400130422624,Arizona,Maricopa County,422624,1568.00,2180.00,2771.00,1540.00,98.21,2142.00,98.26,2717.00,98.05,28.00,1.79,38.00,1.74,54.00,1.95,2343.00,536.00,52.45
G0400130422625,Arizona,Maricopa County,422625,2949.00,3726.00,3724.00,2782.00,94.34,3465.00,93.00,3121.00,83.81,167.00,5.66,261.00,7.00,603.00,16.19,3106.00,568.00,38.56
G0400130422626,Arizona,Maricopa County,422626,1693.00,2206.00,2510.00,1576.00,93.09,1960.00,88.85,2223.00,88.57,117.00,6.91,246.00,11.15,287.00,11.43,4626.00,959.00,50.31
G0400130422627,Arizona,Maricopa County,422627,2523.00,3148.00,3438.00,2358.00,93.46,2602.00,82.66,2497.00,72.63,165.00,6.54,546.00,17.34,941.00,27.37,1568.00,539.00,67.21
G0400130422628,Arizona,Maricopa County,422628,1861.00,2717.00,3616.00,1750.00,94.04,2078.00,76.48,2810.00,77.71,111.00,5.96,639.00,23.52,806.00,22.29,2192.00,620.00,66.67
