name,label,concept
P0080001,RACE[5] White,Population Subjects
P0080002,RACE[5] Black,Population Subjects
P0080003,"RACE[5] American Indian, Eskimo, or Aleu",Population Subjects
P0080004,RACE[5] Asian or Pacific Islander,Population Subjects
P0080005,RACE[5] Other race,Population Subjects
