GISJOIN,STATE,COUNTY,TRACTA,TotalIncome_2010,OnetwentyfivekPlusincome_2010,BelowPoverty_2010,BelowPovertyPercent_2010,HighestIncomePercent_2010,TotalIncome_2015,OnetwentyfivekPlusIncome_2015,BelowPoverty_2015,BelowPovertyPercent_2015
G0400130420206,Arizona,Maricopa County,420206,1585,91,280,17.67,5.74,1872,93,463,24.73
G0400130420207,Arizona,Maricopa County,420207,1210,49,403,33.31,4.05,1164,36,454,39
G0400130420208,Arizona,Maricopa County,420208,779,368,0,0,47.24,776,299,28,3.61
G0400130420209,Arizona,Maricopa County,420209,1855,306,185,9.97,16.5,1782,287,176,9.88
G0400130420210,Arizona,Maricopa County,420210,1290,577,12,0.93,44.73,1209,546,5,0.41
G0400130420211,Arizona,Maricopa County,420211,1138,144,111,9.75,12.65,1106,182,69,6.24
G0400130420212,Arizona,Maricopa County,420212,1297,303,50,3.86,23.36,1572,320,206,13.1
G0400130420213,Arizona,Maricopa County,420213,1644,309,81,4.93,18.8,1571,275,265,16.87
G0400130420214,Arizona,Maricopa County,420214,2493,201,400,16.04,8.06,2521,292,350,13.88
G0400130420215,Arizona,Maricopa County,420215,1052,274,0,0,26.05,1691,552,46,2.72
G0400130420216,Arizona,Maricopa County,420216,2515,355,734,29.18,14.12,2570,119,704,27.39
G0400130420301,Arizona,Maricopa County,420301,824,261,26,3.16,31.67,868,284,37,4.26
G0400130420302,Arizona,Maricopa County,420302,2258,209,334,14.79,9.26,2242,250,516,23.02
G0400130420303,Arizona,Maricopa County,420303,1388,135,213,15.35,9.73,1455,59,263,18.08
G0400130420304,Arizona,Maricopa County,420304,178,38,22,12.36,21.35,344,74,17,4.94
G0400130420401,Arizona,Maricopa County,420401,1856,487,340,18.32,26.24,1608,506,228,14.18
G0400130420402,Arizona,Maricopa County,420402,1933,378,158,8.17,19.56,1883,326,162,8.6
G0400130420501,Arizona,Maricopa County,420501,1356,314,39,2.88,23.16,1378,264,190,13.79
G0400130420503,Arizona,Maricopa County,420503,786,217,30,3.82,27.61,1091,246,78,7.15
G0400130420504,Arizona,Maricopa County,420504,2189,410,329,15.03,18.73,1993,475,279,14
G0400130420602,Arizona,Maricopa County,420602,948,5,619,65.3,0.53,834,28,535,64.15
G0400130420603,Arizona,Maricopa County,420603,1566,112,313,19.99,7.15,1580,246,474,30
G0400130420604,Arizona,Maricopa County,420604,2145,757,59,2.75,35.29,2725,988,125,4.59
G0400130420704,Arizona,Maricopa County,420704,2269,987,43,1.9,43.5,2028,721,193,9.52
G0400130420705,Arizona,Maricopa County,420705,718,28,67,9.33,3.9,820,102,34,4.15
G0400130420706,Arizona,Maricopa County,420706,1656,144,379,22.89,8.7,1629,77,468,28.73
G0400130420707,Arizona,Maricopa County,420707,2212,291,192,8.68,13.16,1891,229,244,12.9
G0400130420708,Arizona,Maricopa County,420708,2408,151,569,23.63,6.27,2030,216,402,19.8
G0400130420709,Arizona,Maricopa County,420709,1383,172,223,16.12,12.44,1575,190,380,24.13
G0400130420710,Arizona,Maricopa County,420710,1136,205,155,13.64,18.05,1055,280,34,3.22
G0400130420800,Arizona,Maricopa County,420800,2553,565,174,6.82,22.13,2431,615,157,6.46
G0400130420901,Arizona,Maricopa County,420901,1434,579,32,2.23,40.38,1280,484,170,13.28
G0400130420902,Arizona,Maricopa County,420902,364,0,114,31.32,0,246,0,105,42.68
G0400130421001,Arizona,Maricopa County,421001,1133,195,116,10.24,17.21,1135,156,163,14.36
G0400130421002,Arizona,Maricopa County,421002,829,42,154,18.58,5.07,931,131,87,9.34
G0400130421101,Arizona,Maricopa County,421101,1725,1052,48,2.78,60.99,1629,938,8,0.49
G0400130421102,Arizona,Maricopa County,421102,2341,885,85,3.63,37.8,2495,926,154,6.17
G0400130421201,Arizona,Maricopa County,421201,2592,657,59,2.28,25.35,3322,804,211,6.35
G0400130421202,Arizona,Maricopa County,421202,3527,98,759,21.52,2.78,3727,114,931,24.98
G0400130421302,Arizona,Maricopa County,421302,1264,301,55,4.35,23.81,1294,506,178,13.76
G0400130421303,Arizona,Maricopa County,421303,1901,101,257,13.52,5.31,1883,106,463,24.59
G0400130421304,Arizona,Maricopa County,421304,949,181,15,1.58,19.07,1162,144,80,6.88
G0400130421400,Arizona,Maricopa County,421400,987,421,37,3.75,42.65,854,355,29,3.4
G0400130421501,Arizona,Maricopa County,421501,2238,236,157,7.02,10.55,2231,193,348,15.6
G0400130421502,Arizona,Maricopa County,421502,780,266,65,8.33,34.1,897,249,103,11.48
G0400130421601,Arizona,Maricopa County,421601,445,0,135,30.34,0,492,13,152,30.89
G0400130421602,Arizona,Maricopa County,421602,1938,206,138,7.12,10.63,1897,240,209,11.02
G0400130421701,Arizona,Maricopa County,421701,1164,37,244,20.96,3.18,1387,127,283,20.4
G0400130421702,Arizona,Maricopa County,421702,1398,101,207,14.81,7.22,1663,157,324,19.48
G0400130421801,Arizona,Maricopa County,421801,1265,494,14,1.11,39.05,1979,647,90,4.55
G0400130421802,Arizona,Maricopa County,421802,1082,540,15,1.39,49.91,1099,525,29,2.64
G0400130421901,Arizona,Maricopa County,421901,1818,269,361,19.86,14.8,1601,279,129,8.06
G0400130421902,Arizona,Maricopa County,421902,1750,473,190,10.86,27.03,1765,390,225,12.75
G0400130422001,Arizona,Maricopa County,422001,2378,494,238,10.01,20.77,2791,550,414,14.83
G0400130422002,Arizona,Maricopa County,422002,853,284,124,14.54,33.29,910,295,50,5.49
G0400130422102,Arizona,Maricopa County,422102,2509,157,496,19.77,6.26,2367,168,557,23.53
G0400130422103,Arizona,Maricopa County,422103,1486,287,234,15.75,19.31,1586,277,124,7.82
G0400130422104,Arizona,Maricopa County,422104,1872,485,126,6.73,25.91,1884,388,100,5.31
G0400130422105,Arizona,Maricopa County,422105,682,275,8,1.17,40.32,768,307,53,6.9
G0400130422106,Arizona,Maricopa County,422106,1071,416,0,0,38.84,1399,659,80,5.72
G0400130422107,Arizona,Maricopa County,422107,2512,370,315,12.54,14.73,2378,573,198,8.33
G0400130422203,Arizona,Maricopa County,422203,2702,504,471,17.43,18.65,3105,831,408,13.14
G0400130422204,Arizona,Maricopa County,422204,1317,317,71,5.39,24.07,1423,570,38,2.67
G0400130422205,Arizona,Maricopa County,422205,822,108,107,13.02,13.14,1284,127,130,10.12
G0400130422209,Arizona,Maricopa County,422209,2657,724,131,4.93,27.25,2586,855,107,4.14
G0400130422210,Arizona,Maricopa County,422210,2370,275,391,16.5,11.6,2180,258,383,17.57
G0400130422211,Arizona,Maricopa County,422211,2217,257,439,19.8,11.59,2263,323,480,21.21
G0400130422212,Arizona,Maricopa County,422212,1464,746,61,4.17,50.96,1562,828,127,8.13
G0400130422213,Arizona,Maricopa County,422213,2192,729,99,4.52,33.26,2853,890,167,5.85
G0400130422215,Arizona,Maricopa County,422215,1706,577,57,3.34,33.82,2980,591,169,5.67
G0400130422216,Arizona,Maricopa County,422216,1582,69,305,19.28,4.36,1741,206,434,24.93
G0400130422217,Arizona,Maricopa County,422217,2073,196,308,14.86,9.45,2042,163,378,18.51
G0400130422218,Arizona,Maricopa County,422218,2053,723,196,9.55,35.22,3149,1430,302,9.59
G0400130422219,Arizona,Maricopa County,422219,1529,822,46,3.01,53.76,1444,873,16,1.11
G0400130422220,Arizona,Maricopa County,422220,1805,453,254,14.07,25.1,1659,333,141,8.5
G0400130422221,Arizona,Maricopa County,422221,1334,225,154,11.54,16.87,1649,266,171,10.37
G0400130422222,Arizona,Maricopa County,422222,2063,44,383,18.57,2.13,1909,91,620,32.48
G0400130422301,Arizona,Maricopa County,422301,1596,457,109,6.83,28.63,1907,559,116,6.08
G0400130422302,Arizona,Maricopa County,422302,1597,318,87,5.45,19.91,1619,446,303,18.72
G0400130422304,Arizona,Maricopa County,422304,1324,95,260,19.64,7.18,1213,67,343,28.28
G0400130422305,Arizona,Maricopa County,422305,1200,71,88,7.33,5.92,1231,221,150,12.19
G0400130422307,Arizona,Maricopa County,422307,1445,390,82,5.67,26.99,1520,364,146,9.61
G0400130422308,Arizona,Maricopa County,422308,1290,319,76,5.89,24.73,1259,427,45,3.57
G0400130422309,Arizona,Maricopa County,422309,2007,167,112,5.58,8.32,1801,194,150,8.33
G0400130422401,Arizona,Maricopa County,422401,0,0,0,0,0,40,15,0,0
G0400130422402,Arizona,Maricopa County,422402,1089,30,373,34.25,2.75,979,46,495,50.56
G0400130422403,Arizona,Maricopa County,422403,681,257,0,0,37.74,1051,450,20,1.9
G0400130422404,Arizona,Maricopa County,422404,1266,126,145,11.45,9.95,1379,202,225,16.32
G0400130422501,Arizona,Maricopa County,422501,1775,838,32,1.8,47.21,1804,766,19,1.05
G0400130422502,Arizona,Maricopa County,422502,987,341,55,5.57,34.55,1064,318,85,7.99
G0400130422503,Arizona,Maricopa County,422503,1217,350,57,4.68,28.76,1830,324,130,7.1
G0400130422504,Arizona,Maricopa County,422504,1967,0,337,17.13,0,3043,74,934,30.69
G0400130422506,Arizona,Maricopa County,422506,947,632,13,1.37,66.74,1152,548,45,3.91
G0400130422507,Arizona,Maricopa County,422507,758,314,9,1.19,41.42,753,435,31,4.12
G0400130422508,Arizona,Maricopa County,422508,576,58,275,47.74,10.07,578,2,247,42.73
G0400130422509,Arizona,Maricopa County,422509,1188,154,82,6.9,12.96,1208,65,107,8.86
G0400130422510,Arizona,Maricopa County,422510,0,0,0,0,0,0,0,0,0
G0400130422511,Arizona,Maricopa County,422511,0,0,0,0,0,24,0,0,0
G0400130422512,Arizona,Maricopa County,422512,1565,150,139,8.88,9.58,1390,182,160,11.51
G0400130422513,Arizona,Maricopa County,422513,805,413,11,1.37,51.3,900,473,6,0.67
G0400130422514,Arizona,Maricopa County,422514,179,0,45,25.14,0,214,4,96,44.86
G0400130422606,Arizona,Maricopa County,422606,2150,615,81,3.77,28.6,1223,444,68,5.56
G0400130422607,Arizona,Maricopa County,422607,394,0,132,33.5,0,387,34,217,56.07
G0400130422609,Arizona,Maricopa County,422609,2260,149,245,10.84,6.59,2333,101,363,15.56
G0400130422610,Arizona,Maricopa County,422610,568,57,130,22.89,10.04,803,0,236,29.39
G0400130422615,Arizona,Maricopa County,422615,682,21,259,37.98,3.08,596,14,187,31.38
G0400130422616,Arizona,Maricopa County,422616,1551,218,118,7.61,14.06,1547,267,196,12.67
G0400130422617,Arizona,Maricopa County,422617,1623,883,110,6.78,54.41,2325,960,91,3.91
G0400130422618,Arizona,Maricopa County,422618,18,9,0,0,50,0,0,0,0
G0400130422620,Arizona,Maricopa County,422620,1753,203,513,29.26,11.58,1908,104,566,29.66
G0400130422621,Arizona,Maricopa County,422621,1600,156,531,33.19,9.75,1312,146,339,25.84
G0400130422622,Arizona,Maricopa County,422622,1165,107,125,10.73,9.18,1217,114,82,6.74
G0400130422623,Arizona,Maricopa County,422623,1671,11,376,22.5,0.66,1572,68,579,36.83
G0400130422624,Arizona,Maricopa County,422624,1069,217,101,9.45,20.3,1022,206,67,6.56
G0400130422625,Arizona,Maricopa County,422625,1519,109,136,8.95,7.18,1473,286,144,9.78
G0400130422626,Arizona,Maricopa County,422626,1837,437,143,7.78,23.79,1906,394,90,4.72
G0400130422627,Arizona,Maricopa County,422627,683,114,27,3.95,16.69,802,135,67,8.35
G0400130422628,Arizona,Maricopa County,422628,928,165,28,3.02,17.78,930,179,79,8.49
G0400130422629,Arizona,Maricopa County,422629,1744,396,83,4.76,22.71,1639,385,117,7.14
G0400130422630,Arizona,Maricopa County,422630,1076,334,67,6.23,31.04,1061,227,84,7.92
G0400130422631,Arizona,Maricopa County,422631,850,16,289,34,1.88,1020,39,329,32.25
G0400130422632,Arizona,Maricopa County,422632,1086,91,162,14.92,8.38,1073,83,179,16.68
G0400130422633,Arizona,Maricopa County,422633,588,143,70,11.9,24.32,495,117,26,5.25
G0400130422634,Arizona,Maricopa County,422634,2159,197,299,13.85,9.12,2332,171,398,17.07
G0400130422635,Arizona,Maricopa County,422635,2185,162,299,13.68,7.41,2445,234,463,18.94
G0400130422636,Arizona,Maricopa County,422636,1651,75,330,19.99,4.54,1620,191,366,22.59
G0400130422637,Arizona,Maricopa County,422637,1987,369,522,26.27,18.57,1920,261,238,12.4
G0400130422638,Arizona,Maricopa County,422638,2318,212,174,7.51,9.15,2462,341,168,6.82
G0400130422639,Arizona,Maricopa County,422639,460,133,107,23.26,28.91,530,175,42,7.92
G0400130422640,Arizona,Maricopa County,422640,2170,60,740,34.1,2.76,2192,71,560,25.55
G0400130422641,Arizona,Maricopa County,422641,1656,733,163,9.84,44.26,1735,472,204,11.76
G0400130422642,Arizona,Maricopa County,422642,1864,748,197,10.57,40.13,2094,918,259,12.37
G0400130422643,Arizona,Maricopa County,422643,1845,942,90,4.88,51.06,1947,860,133,6.83
G0400130422644,Arizona,Maricopa County,422644,1777,546,152,8.55,30.73,2102,862,133,6.33
G0400130422646,Arizona,Maricopa County,422646,1968,367,157,7.98,18.65,1924,448,100,5.2
G0400130522800,Arizona,Maricopa County,522800,846,216,17,2.01,25.53,1807,475,194,10.74
G0400130522901,Arizona,Maricopa County,522901,1049,450,98,9.34,42.9,1469,612,97,6.6
G0400130522903,Arizona,Maricopa County,522903,1497,104,473,31.6,6.95,1245,109,343,27.55
G0400130522904,Arizona,Maricopa County,522904,1129,83,153,13.55,7.35,1209,74,324,26.8
G0400130523002,Arizona,Maricopa County,523002,2616,550,434,16.59,21.02,2608,500,170,6.52
G0400130523003,Arizona,Maricopa County,523003,870,218,32,3.68,25.06,1704,496,118,6.92
G0400130523005,Arizona,Maricopa County,523005,642,20,10,1.56,3.12,737,123,69,9.36
G0400130523006,Arizona,Maricopa County,523006,917,318,24,2.62,34.68,1080,552,106,9.81
G0400130523102,Arizona,Maricopa County,523102,1264,525,66,5.22,41.53,1239,567,79,6.38
G0400130523103,Arizona,Maricopa County,523103,749,20,332,44.33,2.67,886,18,439,49.55
G0400130523104,Arizona,Maricopa County,523104,2287,231,192,8.4,10.1,2352,367,295,12.54
G0400130610000,Arizona,Maricopa County,610000,1260,24,251,19.92,1.9,1549,103,446,28.79
G0400130610100,Arizona,Maricopa County,610100,2510,147,600,23.9,5.86,2291,144,752,32.82
G0400130610200,Arizona,Maricopa County,610200,2107,71,642,30.47,3.37,2119,50,713,33.65
G0400130610300,Arizona,Maricopa County,610300,1647,27,457,27.75,1.64,1687,95,525,31.12
G0400130610400,Arizona,Maricopa County,610400,952,67,193,20.27,7.04,1179,30,237,20.1
G0400130610500,Arizona,Maricopa County,610500,1261,51,246,19.51,4.04,1214,20,353,29.08
G0400130610600,Arizona,Maricopa County,610600,1076,62,198,18.4,5.76,1186,23,350,29.51
G0400130610700,Arizona,Maricopa County,610700,1231,243,232,18.85,19.74,1199,94,285,23.77
G0400130610800,Arizona,Maricopa County,610800,1853,92,503,27.15,4.96,1664,127,537,32.27
G0400130610900,Arizona,Maricopa County,610900,1552,122,379,24.42,7.86,1498,43,289,19.29
G0400130611000,Arizona,Maricopa County,611000,2310,166,579,25.06,7.19,2311,251,721,31.2
G0400130611100,Arizona,Maricopa County,611100,2112,154,463,21.92,7.29,2167,303,338,15.6
G0400130611200,Arizona,Maricopa County,611200,1108,261,81,7.31,23.56,1084,281,109,10.06
G0400130611300,Arizona,Maricopa County,611300,1078,454,101,9.37,42.12,1032,508,94,9.11
G0400130611400,Arizona,Maricopa County,611400,1635,348,200,12.23,21.28,1519,199,210,13.82
G0400130611500,Arizona,Maricopa County,611500,2050,1079,97,4.73,52.63,2120,1058,129,6.08
G0400130611600,Arizona,Maricopa County,611600,2448,378,311,12.7,15.44,2355,402,392,16.65
G0400130611700,Arizona,Maricopa County,611700,1256,188,156,12.42,14.97,1325,290,236,17.81
G0400130611800,Arizona,Maricopa County,611800,1659,577,35,2.11,34.78,1766,523,168,9.51
G0400130611900,Arizona,Maricopa County,611900,1762,892,110,6.24,50.62,1797,821,127,7.07
G0400130612000,Arizona,Maricopa County,612000,2408,1028,54,2.24,42.69,2597,1046,149,5.74
G0400130612200,Arizona,Maricopa County,612200,1977,442,237,11.99,22.36,2156,522,178,8.26
G0400130612300,Arizona,Maricopa County,612300,1166,130,224,19.21,11.15,1086,171,218,20.07
G0400130612400,Arizona,Maricopa County,612400,1603,200,202,12.6,12.48,1785,344,361,20.22
G0400130612500,Arizona,Maricopa County,612500,1375,11,394,28.65,0.8,1495,56,425,28.43
G0400130612600,Arizona,Maricopa County,612600,1289,362,33,2.56,28.08,1373,610,52,3.79
G0400130612700,Arizona,Maricopa County,612700,470,221,17,3.62,47.02,489,267,0,0
G0400130612800,Arizona,Maricopa County,612800,724,35,263,36.33,4.83,830,142,168,20.24
G0400130612900,Arizona,Maricopa County,612900,1389,77,222,15.98,5.54,1328,109,180,13.55
G0400130613000,Arizona,Maricopa County,613000,1133,42,443,39.1,3.71,1188,15,466,39.23
G0400130613100,Arizona,Maricopa County,613100,1840,122,537,29.18,6.63,1860,298,559,30.05
G0400130613200,Arizona,Maricopa County,613200,1367,76,552,40.38,5.56,1439,55,553,38.43
G0400130613300,Arizona,Maricopa County,613300,2395,277,259,10.81,11.57,2368,457,603,25.46
G0400130613400,Arizona,Maricopa County,613400,1720,126,620,36.05,7.33,1912,100,755,39.49
G0400130613500,Arizona,Maricopa County,613500,1578,74,478,30.29,4.69,1611,41,785,48.73
G0400130613600,Arizona,Maricopa County,613600,1845,43,783,42.44,2.33,1852,75,901,48.65
G0400130613700,Arizona,Maricopa County,613700,920,8,486,52.83,0.87,815,29,368,45.15
G0400130613800,Arizona,Maricopa County,613800,1852,338,292,15.77,18.25,1850,320,224,12.11
G0400130613900,Arizona,Maricopa County,613900,2673,408,388,14.52,15.26,2797,498,383,13.69
G0400130614000,Arizona,Maricopa County,614000,2070,539,215,10.39,26.04,2149,521,143,6.65
G0400130614100,Arizona,Maricopa County,614100,2132,206,300,14.07,9.66,2418,233,396,16.38
G0400130614200,Arizona,Maricopa County,614200,851,48,310,36.43,5.64,827,62,145,17.53
G0400130614300,Arizona,Maricopa County,614300,2031,1124,214,10.54,55.34,1953,1092,63,3.23
G0400130614400,Arizona,Maricopa County,614400,2294,723,202,8.81,31.52,2262,926,208,9.2
G0400130614500,Arizona,Maricopa County,614500,1232,23,299,24.27,1.87,1376,67,275,19.99
G0400130614600,Arizona,Maricopa County,614600,1664,101,455,27.34,6.07,1746,115,504,28.87
G0400130614700,Arizona,Maricopa County,614700,1456,357,167,11.47,24.52,1483,445,185,12.47
G0400130614800,Arizona,Maricopa County,614800,423,0,243,57.45,0,339,11,251,74.04
G0400130614900,Arizona,Maricopa County,614900,1248,117,247,19.79,9.38,1395,88,180,12.9
G0400130615000,Arizona,Maricopa County,615000,2263,29,600,26.51,1.28,2060,71,1180,57.28
G0400130615100,Arizona,Maricopa County,615100,1019,86,310,30.42,8.44,1099,37,324,29.48
G0400130615200,Arizona,Maricopa County,615200,1298,63,404,31.12,4.85,1317,32,757,57.48
G0400130615300,Arizona,Maricopa County,615300,488,17,236,48.36,3.48,272,8,67,24.63
G0400130615400,Arizona,Maricopa County,615400,1350,175,164,12.15,12.96,1321,143,248,18.77
G0400130615500,Arizona,Maricopa County,615500,934,50,321,34.37,5.35,1096,30,342,31.2
G0400130615600,Arizona,Maricopa County,615600,1277,29,439,34.38,2.27,1172,6,517,44.11
G0400130615700,Arizona,Maricopa County,615700,1661,94,348,20.95,5.66,1586,93,344,21.69
G0400130615800,Arizona,Maricopa County,615800,1130,333,149,13.19,29.47,983,299,81,8.24
G0400130615900,Arizona,Maricopa County,615900,2102,336,429,20.41,15.98,1891,733,252,13.33
G0400130616000,Arizona,Maricopa County,616000,2155,167,566,26.26,7.75,2312,289,558,24.13
G0400130616100,Arizona,Maricopa County,616100,1012,215,95,9.39,21.25,912,239,122,13.38
G0400130616200,Arizona,Maricopa County,616200,1421,9,794,55.88,0.63,1482,34,531,35.83
G0400130616300,Arizona,Maricopa County,616300,1871,92,393,21,4.92,1611,156,394,24.46
G0400130616400,Arizona,Maricopa County,616400,1008,0,243,24.11,0,1095,16,383,34.98
G0400130616500,Arizona,Maricopa County,616500,2018,128,530,26.26,6.34,1912,44,558,29.18
G0400130616600,Arizona,Maricopa County,616600,564,35,209,37.06,6.21,494,22,118,23.89
G0400130616700,Arizona,Maricopa County,616700,1325,104,438,33.06,7.85,1489,88,350,23.51
G0400130616800,Arizona,Maricopa County,616800,598,23,87,14.55,3.85,593,23,120,20.24
G0400130616900,Arizona,Maricopa County,616900,607,115,75,12.36,18.95,587,95,144,24.53
G0400130617000,Arizona,Maricopa County,617000,858,53,154,17.95,6.18,838,38,277,33.05
G0400130617100,Arizona,Maricopa County,617100,1684,104,432,25.65,6.18,1423,82,682,47.93
G0400130617200,Arizona,Maricopa County,617200,1535,567,234,15.24,36.94,1569,659,172,10.96
G0400130617300,Arizona,Maricopa County,617300,1880,166,494,26.28,8.83,1799,251,335,18.62
G0400130617400,Arizona,Maricopa County,617400,1064,61,310,29.14,5.73,1314,15,358,27.25
G0400130617500,Arizona,Maricopa County,617500,2271,32,621,27.34,1.41,2503,72,1012,40.43
G0400130617600,Arizona,Maricopa County,617600,972,69,265,27.26,7.1,994,32,239,24.04
G0400130617700,Arizona,Maricopa County,617700,1182,120,70,5.92,10.15,1223,67,279,22.81
G0400130617800,Arizona,Maricopa County,617800,1656,89,381,23.01,5.37,1483,69,351,23.67
G0400130617900,Arizona,Maricopa County,617900,1748,410,310,17.73,23.46,1684,422,174,10.33
G0400130618000,Arizona,Maricopa County,618000,2814,222,972,34.54,7.89,2904,309,1099,37.84
G0400130618100,Arizona,Maricopa County,618100,2154,117,387,17.97,5.43,2138,90,786,36.76
G0400130618200,Arizona,Maricopa County,618200,1357,0,335,24.69,0,1372,65,301,21.94
G0400130618300,Arizona,Maricopa County,618300,1306,12,634,48.55,0.92,905,15,388,42.87
G0400130618400,Arizona,Maricopa County,618400,1375,248,219,15.93,18.04,1449,382,266,18.36
G0400130618500,Arizona,Maricopa County,618500,1639,54,521,31.79,3.29,1473,16,598,40.6
G0400130618600,Arizona,Maricopa County,618600,1190,70,255,21.43,5.88,1148,49,432,37.63
G0400130618700,Arizona,Maricopa County,618700,2235,48,384,17.18,2.15,2272,90,858,37.76
G0400130618800,Arizona,Maricopa County,618800,2379,158,487,20.47,6.64,2052,165,377,18.37
G0400130618900,Arizona,Maricopa County,618900,1384,338,67,4.84,24.42,1514,426,72,4.76
G0400130619000,Arizona,Maricopa County,619000,1337,106,362,27.08,7.93,1313,73,371,28.26
G0400130619100,Arizona,Maricopa County,619100,1515,307,271,17.89,20.26,1396,282,242,17.34
G0400130619200,Arizona,Maricopa County,619200,1607,281,152,9.46,17.49,1553,307,210,13.52
G0400130619300,Arizona,Maricopa County,619300,2193,380,428,19.52,17.33,2154,418,697,32.36
G0400130619400,Arizona,Maricopa County,619400,1584,49,598,37.75,3.09,1693,8,766,45.25
G0400130619500,Arizona,Maricopa County,619500,1216,367,70,5.76,30.18,1238,303,143,11.55
G0400130619600,Arizona,Maricopa County,619600,2168,586,332,15.31,27.03,2314,253,259,11.19
G0400130619700,Arizona,Maricopa County,619700,2317,737,107,4.62,31.81,2107,622,139,6.6
G0400130619800,Arizona,Maricopa County,619800,2310,162,370,16.02,7.01,2150,162,471,21.91
G0400130619900,Arizona,Maricopa County,619900,1347,154,152,11.28,11.43,1386,241,119,8.59
G0400130723303,Arizona,Maricopa County,723303,1291,82,210,16.27,6.35,1279,126,251,19.62
G0400130723304,Arizona,Maricopa County,723304,1272,198,191,15.02,15.57,1341,323,127,9.47
G0400130723305,Arizona,Maricopa County,723305,1166,86,219,18.78,7.38,1229,63,309,25.14
G0400130723306,Arizona,Maricopa County,723306,2069,87,454,21.94,4.2,2093,113,627,29.96
G0400130723307,Arizona,Maricopa County,723307,2066,377,311,15.05,18.25,2255,453,402,17.83
G0400130723308,Arizona,Maricopa County,723308,1271,576,44,3.46,45.32,1181,679,47,3.98
G0400130810000,Arizona,Maricopa County,810000,1400,225,197,14.07,16.07,1635,184,180,11.01
G0400130810100,Arizona,Maricopa County,810100,768,167,25,3.26,21.74,861,339,14,1.63
G0400130810200,Arizona,Maricopa County,810200,1609,144,256,15.91,8.95,1928,309,128,6.64
G0400130810300,Arizona,Maricopa County,810300,1640,83,136,8.29,5.06,1629,163,222,13.63
G0400130810400,Arizona,Maricopa County,810400,1149,120,212,18.45,10.44,1071,18,500,46.69
G0400130810500,Arizona,Maricopa County,810500,1502,141,179,11.92,9.39,1455,95,367,25.22
G0400130810600,Arizona,Maricopa County,810600,1110,119,34,3.06,10.72,1041,72,89,8.55
G0400130810700,Arizona,Maricopa County,810700,1114,115,209,18.76,10.32,1208,49,231,19.12
G0400130810800,Arizona,Maricopa County,810800,1413,207,103,7.29,14.65,1356,203,224,16.52
G0400130810900,Arizona,Maricopa County,810900,1324,128,248,18.73,9.67,1403,285,170,12.12
G0400130811000,Arizona,Maricopa County,811000,707,107,96,13.58,15.13,652,107,31,4.75
G0400130811100,Arizona,Maricopa County,811100,1331,134,115,8.64,10.07,1816,243,68,3.74
G0400130811200,Arizona,Maricopa County,811200,1729,23,301,17.41,1.33,1721,17,427,24.81
G0400130811300,Arizona,Maricopa County,811300,2442,603,403,16.5,24.69,2288,524,434,18.97
G0400130811400,Arizona,Maricopa County,811400,1129,39,317,28.08,3.45,1213,50,296,24.4
G0400130811500,Arizona,Maricopa County,811500,1057,17,86,8.14,1.61,1094,27,237,21.66
G0400130811600,Arizona,Maricopa County,811600,1292,36,167,12.93,2.79,1287,46,216,16.78
G0400130811700,Arizona,Maricopa County,811700,1335,138,144,10.79,10.34,1393,77,232,16.65
G0400130811800,Arizona,Maricopa County,811800,1265,154,68,5.38,12.17,1178,32,126,10.7
G0400130811900,Arizona,Maricopa County,811900,1135,380,78,6.87,33.48,1931,626,127,6.58
G0400130812000,Arizona,Maricopa County,812000,2065,266,216,10.46,12.88,2509,272,203,8.09
G0400130812100,Arizona,Maricopa County,812100,999,44,325,32.53,4.4,931,55,279,29.97
G0400130812200,Arizona,Maricopa County,812200,1979,91,329,16.62,4.6,2505,276,412,16.45
G0400130812300,Arizona,Maricopa County,812300,597,0,253,42.38,0,597,9,200,33.5
G0400130812400,Arizona,Maricopa County,812400,1400,45,141,10.07,3.21,1224,32,299,24.43
G0400130812500,Arizona,Maricopa County,812500,1684,77,466,27.67,4.57,1638,125,359,21.92
G0400130812600,Arizona,Maricopa County,812600,1379,10,360,26.11,0.73,1526,40,576,37.75
G0400130812700,Arizona,Maricopa County,812700,1192,35,300,25.17,2.94,1259,90,572,45.43
G0400130812800,Arizona,Maricopa County,812800,1248,67,348,27.88,5.37,1212,0,264,21.78
G0400130812900,Arizona,Maricopa County,812900,2124,82,726,34.18,3.86,1965,92,402,20.46
G0400130813000,Arizona,Maricopa County,813000,1978,136,443,22.4,6.88,1735,44,610,35.16
G0400130813100,Arizona,Maricopa County,813100,1846,597,139,7.53,32.34,1798,505,139,7.73
G0400130813200,Arizona,Maricopa County,813200,1657,311,263,15.87,18.77,1789,287,267,14.92
G0400130813300,Arizona,Maricopa County,813300,2468,904,128,5.19,36.63,2237,912,84,3.76
G0400130813400,Arizona,Maricopa County,813400,1891,110,275,14.54,5.82,1696,221,297,17.51
G0400130813500,Arizona,Maricopa County,813500,2466,260,451,18.29,10.54,2269,256,376,16.57
G0400130813600,Arizona,Maricopa County,813600,1211,329,180,14.86,27.17,1218,294,160,13.14
G0400130813700,Arizona,Maricopa County,813700,1836,238,196,10.68,12.96,1653,203,257,15.55
G0400130813800,Arizona,Maricopa County,813800,645,40,95,14.73,6.2,1676,248,147,8.77
G0400130813900,Arizona,Maricopa County,813900,1172,34,454,38.74,2.9,1351,31,391,28.94
