GISJOIN,STATE,COUNTY,TRACTA,TotalIncome_2010,OnetwentyfivekPlusincome_2010,BelowPoverty_2010,BelowPovertyPercent_2010,HighestIncomePercent_2010,TotalIncome_2015,OnetwentyfivekPlusIncome_2015,BelowPoverty_2015,BelowPovertyPercent_2015
G0400130115300,Arizona,Maricopa County,115300,2010,262,104,5.17,13.03,2052,766,94,4.58
G0400130115400,Arizona,Maricopa County,115400,2192,75,670,30.57,3.42,2034,32,665,32.69
G0400130115500,Arizona,Maricopa County,115500,2102,110,404,19.22,5.23,2190,86,470,21.46
G0400130115600,Arizona,Maricopa County,115600,1010,363,9,0.89,35.94,1018,290,61,5.99
G0400130115700,Arizona,Maricopa County,115700,1906,301,167,8.76,15.79,1961,280,348,17.75
G0400130115801,Arizona,Maricopa County,115801,1359,74,188,13.83,5.45,1199,119,158,13.18
G0400130115802,Arizona,Maricopa County,115802,2314,299,337,14.56,12.92,2669,272,505,18.92
G0400130115900,Arizona,Maricopa County,115900,1215,53,207,17.04,4.36,1355,59,182,13.43
G0400130116000,Arizona,Maricopa County,116000,1563,133,180,11.52,8.51,1444,126,277,19.18
G0400130116100,Arizona,Maricopa County,116100,1678,427,10,0.6,25.45,1704,468,126,7.39
G0400130116202,Arizona,Maricopa County,116202,777,261,31,3.99,33.59,1397,672,28,2
G0400130116203,Arizona,Maricopa County,116203,1170,531,68,5.81,45.38,1360,547,122,8.97
G0400130116204,Arizona,Maricopa County,116204,1254,524,55,4.39,41.79,1133,491,7,0.62
G0400130116205,Arizona,Maricopa County,116205,1103,138,149,13.51,12.51,1060,297,112,10.57
G0400130116300,Arizona,Maricopa County,116300,2231,615,174,7.8,27.57,3114,947,116,3.73
G0400130116400,Arizona,Maricopa County,116400,1514,481,93,6.14,31.77,1446,434,129,8.92
G0400130116500,Arizona,Maricopa County,116500,1569,60,285,18.16,3.82,1595,90,288,18.06
G0400130116602,Arizona,Maricopa County,116602,424,90,95,22.41,21.23,509,118,26,5.11
